112488, CAPRELSA , CAPRELSA, NOT FOUND, CPR REVEST 100 MG x 30, AZN
112489, CAPRELSA , CAPRELSA, NOT FOUND, CPR REVEST 300 MG x 30, AZN
51540, CASODEX , CASODEX, NOT FOUND, CPR REVEST 50 MG x 28, AZN
64170, CRESTOR , CRESTOR, NOT FOUND, CPR REVEST 10 MG x 10, AZN
64171, CRESTOR , CRESTOR, NOT FOUND, CPR REVEST 10 MG x 30, AZN
64172, CRESTOR , CRESTOR, NOT FOUND, CPR REVEST 20 MG x 10, AZN
64173, CRESTOR , CRESTOR, NOT FOUND, CPR REVEST 20 MG x 30, AZN
75013, CRESTOR , CRESTOR, NOT FOUND, CPR REVEST 40 MG x 30, AZN
80117, CRESTOR , CRESTOR, NOT FOUND, CPR REVEST 5 MG x 10, AZN
80116, CRESTOR , CRESTOR, NOT FOUND, CPR REVEST 5 MG x 30, AZN
112490, CRESTOR , CRESTOR, NOT FOUND, CPR REVEST 5 MG x 60, AZN
