62537, BAMBEC , BAMBEC, NOT FOUND, SOLN ORAL 1 MG 100 ML x 1 (/ML), AZN
33868, BRICANYL , BRICANYL, NOT FOUND, DURILES 5 MG x 10, AZN
30744, BRICANYL , BRICANYL, NOT FOUND, GOTAS 10 MG 10 ML x 1 (/ML), AZN
46108, BRICANYL , BRICANYL, NOT FOUND, XAR. 0.30 MG 100 ML x 1 (/ML), AZN
46110, BRICANYL EXP. , BRICANYL EXP, NOT FOUND, XAR. 100 ML x 1, AZN
81094, BRILINTA , BRILINTA, NOT FOUND, CPR REVEST 90 MG x 20, AZN
81092, BRILINTA , BRILINTA, NOT FOUND, CPR REVEST 90 MG x 30, AZN
81097, BRILINTA , BRILINTA, NOT FOUND, CPR REVEST 90 MG x 60, AZN
56254, BUDECORT , BUDECORT, NOT FOUND, SPRAY NASAL 32 Y x 120 (/DOS), AZN
56255, BUDECORT , BUDECORT, NOT FOUND, SPRAY NASAL 64 Y x 120 (/DOS), AZN
73632, BYETTA , BYETTA, NOT FOUND, CANETAS 60D 10 Y 2.40 ML x 1 (/DOS), AZN
73631, BYETTA , BYETTA, NOT FOUND, CANETAS 60D 5 Y 1.20 ML x 1 (/DOS), AZN
