500214110033417; DICETEL; DICETEL; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; ABT
500214110033517; DICETEL; DICETEL; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 20; ABT
500214050031608; DUSPATALIN; DUSPATALIN; NOT FOUND; 200 MG CAP GEL DUR LIB PROLONG CT BL AL/AL X 30; ABT
500214050031703; DUSPATALIN; DUSPATALIN; NOT FOUND; 200 MG CAP GEL DUR LIB PROLONG CT BL AL/AL X 14; ABT
500202701117319; DILACORON; DILACORON; NOT FOUND; 120 MG COM REV RETARD CT BL AL PLAS INC X 20; ABT
500202703111318; DILACORON; DILACORON; NOT FOUND; 240 MG COM REV RETARD CT BL AL PLAS AMB X 30; ABT
500202705112311; DILACORON; DILACORON; NOT FOUND; 80MG COM REV CT BL AL PLAS AMB X 30; ABT
500214100033217; DUPHASTON; DUPHASTON; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 14; ABT
500214100033307; DUPHASTON; DUPHASTON; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 28; ABT
532001001116313; DUPHASTON; DUPHASTON; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 14; ABT
532001002112311; DUPHASTON; DUPHASTON; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 28; ABT
500202801111118; DIMETICONA; DIMETICONA; DIMETICONA; 40 MG COM CT BL AL PLAS INC X 20; ABT
500202901132125; DIPIRONA; DIPIRONA; DIPIRONA; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML; ABT
500202902139123; DIPIRONA; DIPIRONA; DIPIRONA; 500 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; ABT
500202602119313; DEPAKOTE SPRINKLE; DEPAKOTE SPRINKLE; NOT FOUND; 125 MG CAP GEL MCGRAN CT FR VD AMB X 10; ABT
500202601112315; DEPAKOTE SPRINKLE; DEPAKOTE SPRINKLE; NOT FOUND; 125 MG CAP GEL MCGRAN CT FR VD AMB X 30; ABT
500202603115311; DEPAKOTE SPRINKLE; DEPAKOTE SPRINKLE; NOT FOUND; 125 MG CAP GEL MCGRAN CT FR VD AMB X 60; ABT
500202501118311; DEPAKOTE; DEPAKOTE; NOT FOUND; 250 MG COM REV CT FR VD AMB X 20  ; ABT
500202503110318; DEPAKOTE; DEPAKOTE; NOT FOUND; 250 MG COM REV CT FR VD AMB X 30; ABT
500209004111316; DEPAKOTE ER; DEPAKOTE ER; NOT FOUND; 250 MG COM REV LIB PROL CT BL AL PLAS INC X 30; ABT
