500202101136118; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 7.5 MG/ML SOL OR FR VD AMB X 50 ML; ABT
500202001131122; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE PED CT FR PLAS AMB X 120 ML + COPO MED.; ABT
500202003134110; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 3 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; ABT
500202002138120; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE ADU CT FR PLAS AMB X 120 ML + COPO MED; ABT
500202004130119; CLORIDRATO DE AMBROXOL; CLORIDRATO AMBROXOL; CLORIDRATO AMBROXOL; 6 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; ABT
500201301158311; CALCIJEX; CALCIJEX; NOT FOUND; 1 MCG/ML SOL INJ CX 3 AMP VD AMB X 1 ML; ABT
500201401111112; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT 2 BL AL PLAS INC X 10; ABT
500201402116118; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 400 MG COM CT 2 BL AL PLAS INC X 10; ABT
500214100033017; COBAVITAL; COBAVITAL; NOT FOUND; 0.8 MG/ML XPE FR PET AMB X 98 ML + 4 MG/G PO PREP EXTEMP ENV KRAFT POLIET X 5 G; ABT
500214100033117; COBAVITAL; COBAVITAL; NOT FOUND; 1 MG + 4 MG MICRO COM CT STR AL X 16; ABT
532000602116311; COBAVITAL; COBAVITAL; NOT FOUND; 1 MG + 4 MG MICRO COM CT STR AL X 16; ABT
532000603139313; COBAVITAL; COBAVITAL; NOT FOUND; 0.8 MG/ML XPE FR PET AMB X 98 ML + 4 MG/G PO PREP EXTEMP ENV KRAFT POLIET X 5 G; ABT
500209302110113; CLORIDRATO DE SIBUTRAMINA; CLORIDRATO SIBUTRAMINA; NOT FOUND; 15 MG CAP GEL DURA CT BL AL PLAS INC X 30; ABT
500201901112118; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 120 MG COM REV LIB RETARD CT BL AL PLAS INC X 20; ABT
500201903115114; CLORIDRATO DE VERAPAMIL; CLORIDRATO VERAPAMIL; CLORIDRATO VERAPAMIL; 80 MG COM REV CT BL AL PLAS AMB X 30; ABT
532000501115415; CETRIZIN; CETRIZIN; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 6; ABT
500214080032003; CREON; CREON; NOT FOUND; 300 MG CAP GEL DURA CT BL AL/AL X 20 (MINIMICROESFERAS); ABT
500214010030914; CREON; CREON; NOT FOUND; 150 MG CAP GEL DURA CT BL AL/AL X 30 (MINIMICROESFERAS); ABT
532000704113311; CREON; CREON; NOT FOUND; 150 MG CAP GEL DURA CT BL AL/AL X 30 (MINIMICROESFERAS); ABT
500214010031014; CREON; CREON; NOT FOUND; 300 MG CAP GEL DURA CT BL AL/AL X 30 (MINIMICROESFERAS); ABT
