532003303111310; SOMAZINA; SOMAZINA; NOT FOUND; 500 MG  COM REV CT  STR AL X 15; ABT
500207101150219; SIMDAX; SIMDAX; NOT FOUND; 2.5 MG/ML SOL INJ CT FA VD INC X 5 ML (REST HOSP); ABT
500207401111413; SYNTHROID; SYNTHROID; NOT FOUND; 100 MCG COM CT BL AL/AL X 30  ; ABT
500207403114411; SYNTHROID; SYNTHROID; NOT FOUND; 112 MCG COM CT BL AL/AL X 30; ABT
500207404110418; SYNTHROID; SYNTHROID; NOT FOUND; 125 MCG COM CT BL AL/AL X 30; ABT
500207417115316; SYNTHROID; SYNTHROID; NOT FOUND; 137 MCG COM CT BL AL/AL X 30; ABT
500207406113414; SYNTHROID; SYNTHROID; NOT FOUND; 150 MCG COM CT BL AL/AL X 30  ; ABT
500207408116410; SYNTHROID; SYNTHROID; NOT FOUND; 175 MCG COM CT BL AL/AL X 30   ; ABT
500207409112419; SYNTHROID; SYNTHROID; NOT FOUND; 200 MCG COM CT BL AL/AL X 30; ABT
500207410110416; SYNTHROID; SYNTHROID; NOT FOUND; 25 MCG COM CT BL AL/AL X 30; ABT
500207412113412; SYNTHROID; SYNTHROID; NOT FOUND; 50 MCG COM CT BL AL/AL X 30; ABT
500207414116419; SYNTHROID; SYNTHROID; NOT FOUND; 75 MCG COM CT BL AL/AL X 30; ABT
500207416119415; SYNTHROID; SYNTHROID; NOT FOUND; 88 MCG COM CT BL AL/AL X 30   ; ABT
500207301151316; SYNAGIS; SYNAGIS; NOT FOUND; 100 MG PO LIOF CX FA VD INC; ABT
500207302156311; SYNAGIS; SYNAGIS; NOT FOUND; 100 MG PO LIOF INJ CT FA VD INC + AMP DIL X 1 ML; ABT
500213090030803; SYNAGIS; SYNAGIS; NOT FOUND; 50 MG PO LIOF INJ CT FA VD INC + AMP DIL X 1 ML; ABT
500207004171312; SEVORANE; SEVORANE; NOT FOUND; INAL CT FR PLAS OPC X 250 ML; ABT
500207003132410; SEVORANE; SEVORANE; NOT FOUND; INAL CT FR PLAS OPC X 100 ML; ABT
