65195; SEDALOL ; SEDALOL; NOT FOUND; CPR 10 MG x 500; HPO
67748; SEDALOL ; SEDALOL; NOT FOUND; GOTAS 20 ML x 1; HPO
65201; SEDALOL CPTO ; SEDALOL CPTO; NOT FOUND; AMP. 5 ML x 100; HPO
65199; SEDALOL CPTO ; SEDALOL CPTO; NOT FOUND; DRAG x 20; HPO
65200; SEDALOL CPTO ; SEDALOL CPTO; NOT FOUND; DRAG x 500; HPO
65197; SEDALOL CPTO ; SEDALOL CPTO; NOT FOUND; GOTAS 20 ML x 1; HPO
71970; SULF AMICACINA MG ; SULF AMICACINA; NOT FOUND; F.AMP 100 MG 2 ML x 100; HPO
68680; SULF GENTAMICIN MG ; SULF GENTAMICIN; NOT FOUND; AMP. 80 MG 2 ML x 100; HPO
71380; SULF SALBUTAMOL MG ; SULF SALBUTAMOL; NOT FOUND; AMP. 5 MG 1 ML x 100 (/ML); HPO
77354; SULF SALBUTAMOL MG ; SULF SALBUTAMOL; NOT FOUND; XAR. 0.40 MG 100 ML x 50 (/ML); HPO
73194; SULF SALBUTAMOL MG ; SULF SALBUTAMOL; NOT FOUND; XAR. 0.40 MG 120 ML x 1 (/ML); HPO
75724; SULF.MORFINA MG ; SULF MORFINA; NOT FOUND; F.AMP 10 MG 1 ML x 100 (/ML); HPO
77889; SULF.NEOM+BACIT.MG ; SULF NEOM BACIT; NOT FOUND; POM. 10 G x 1; HPO
77888; SULF.NEOM+BACIT.MG ; SULF NEOM BACIT; NOT FOUND; POM. 10 G x 100; HPO
87537; SULF.NEOM+BACIT.MG ; SULF NEOM BACIT; NOT FOUND; POM. 15 G x 1; HPO
131072; SULFA EFEDRINA MG ; SULFA EFEDRINA; NOT FOUND; AMP 50 MG 1 ML x 50 (/ML); HPO
78538; SULFATO TERBUTA.MG ; SULFATO TERBUTA; SULFATO TERBUTALINA; AMP. 0.50 MG 1 ML x 100 (/ML); HPO
