65012, BICARBON , BICARBON, NOT FOUND, A.IV 8.40 % 10 ML x 100, HPO
76637, BROM.FENOTEROL MG , BROM FENOTEROL, NOT FOUND, GOTAS 5 MG 20 ML x 1 (/ML), HPO
76639, BROMETO IPRATRO.MG , BROMETO IPRATRO, BROMETO IPRATROPIO, SOLN INALT 0.25 MG 20 ML x 1 (, HPO
70516, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, AMP. 10 MG 2 ML x 50, HPO
73271, BROMOPRIDA MG , BROMOPRIDA, BROMOPRIDA, AMP. 5 MG 2 ML x 100 (/ML), HPO
77365, BUPIVA+GLICOSE MG , BUPIVA GLICOSE, NOT FOUND, AMP. 4 ML x 100, HPO
89991, BUT ESCOPOLA GO MG , BUT ESCOPOLA GO, NOT FOUND, GOTAS 10 MG 20 ML x 200 (/ML), HPO
77367, BUTIL ES+D S GO MG , BUTIL ES D S GO, NOT FOUND, GOTAS 20 ML x 1, HPO
75275, BUTIL ES+D S GO MG , BUTIL ES D S GO, NOT FOUND, GOTAS 20 ML x 200, HPO
70517, BUTILB ES+D SOD MG , BUTILB ES D SOD, NOT FOUND, AMP. 5 ML x 100, HPO
69088, BUTILB ESCOPOLA MG , BUTILB ESCOPOLA, BUTILBROMETO ESCOPOLAMINA, AMP. 20 MG 1 ML x 100 (/ML), HPO
