65465, DEMESON , DEMESON, NOT FOUND, F.AMP 4 MG 2.50 ML x 100 (/ML), HPO
74510, DIAZEPAM MG , DIAZEPAM, DIAZEPAM, AMP. 10 MG 2 ML x 100, HPO
66605, DIAZEPAMIL , DIAZEPAMIL, NOT FOUND, AMP. 5 MG 2 ML x 50 (/ML), HPO
70530, DICLOFEN.POTASI MG , DICLOFEN POTASI, NOT FOUND, A.IM 75 MG 3 ML x 100, HPO
71777, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, AMP. 75 MG 3 ML x 100, HPO
65044, DIMETICOLIN , DIMETICOLIN, NOT FOUND, GOTAS 75 MG 10 ML x 1 (/ML), HPO
65045, DIMETICOLIN , DIMETICOLIN, NOT FOUND, GOTAS 75 MG 10 ML x 200 (/ML), HPO
77378, DIMETICONA MG , DIMETICONA, DIMETICONA, GOTAS 75 MG 10 ML x 1 (/ML), HPO
71315, DIMETICONA MG , DIMETICONA, DIMETICONA, GOTAS 75 MG 10 ML x 200 (/ML), HPO
70532, DIPIRONA SO.INJ MG , DIPIRONA SO INJ, NOT FOUND, AMP. 500 MG 2 ML x 100 (/ML), HPO
72999, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), HPO
72998, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 10 ML x 200 (/ML), HPO
65047, DOBUTAMOL , DOBUTAMOL, NOT FOUND, F.AMP 250 MG 20 ML x 10, HPO
66497, DOPAMOL , DOPAMOL, NOT FOUND, AMP.INFUSION 50 MG 10 ML x 100, HPO
