55999; FEBRILON ; FEBRILON; NOT FOUND; GOTAS 10 ML x 1; HPO
66023; FENELOM ; FENELOM; NOT FOUND; AMP. 50 MG 10 ML x 5; HPO
77543; FENITOINA SODIC.MG ; FENITOINA SODIC; FENITOINA SODICA; AMP. 50 MG 5 ML x 100 (/ML); HPO
65059; FERSIL ; FERSIL; NOT FOUND; GOTAS 125 MG 30 ML x 1 (/ML); HPO
161610; FERSIL ; FERSIL; NOT FOUND; GOTAS 125 MG 30 ML x 200 (/ML); HPO
67228; FLUXOZOL ; FLUXOZOL; NOT FOUND; CAPS GELATIN 100 MG x 8; HPO
62461; FLUXOZOL ; FLUXOZOL; NOT FOUND; CAPS GELATIN 150 MG x 1; HPO
65066; FLUXOZOL ; FLUXOZOL; NOT FOUND; CAPS GELATIN 150 MG x 100; HPO
66502; FOLINAC ; FOLINAC; NOT FOUND; CPR 15 MG x 100; HPO
65067; FOLINAC ; FOLINAC; NOT FOUND; CPR 15 MG x 20; HPO
65027; FOS CLINDAMICIN MG ; FOS CLINDAMICIN; FOSFATO CLINDAMICINA; AMP. 300 MG 2 ML x 50; HPO
65028; FOS CLINDAMICIN MG ; FOS CLINDAMICIN; FOSFATO CLINDAMICINA; AMP. 600 MG 4 ML x 100; HPO
68568; FOS.DIS.DEXAMET.MG ; FOS DIS DEXAMET; NOT FOUND; AMP. 2 MG 1 ML x 100 (/ML); HPO
67147; FOS.DIS.DEXAMET.MG ; FOS DIS DEXAMET; NOT FOUND; AMP. 4 MG 2.50 ML x 100 (/ML); HPO
111985; FOS.SOD.PREDNIS.MG ; FOS SOD PREDNIS; NOT FOUND; SOLN ORAL 3 MG 120 ML x 50 (/ML; HPO
103079; FOS.SOD.PREDNIS.MG ; FOS SOD PREDNIS; NOT FOUND; SOLN ORAL 3 MG 60 ML x 50 (/ML); HPO
73358; FUMARATO CETOTI.MG ; FUMARATO CETOTI; FUMARATO CETOTIFENO; XAR. 0.20 MG 120 ML x 1 (/ML); HPO
73359; FUMARATO CETOTI.MG ; FUMARATO CETOTI; FUMARATO CETOTIFENO; XAR. 0.20 MG 120 ML x 50 (/ML); HPO
71781; FUROSEMIDA MG ; FUROSEMIDA; FUROSEMIDA; AMP. 10 MG 2 ML x 100 (/ML); HPO
74220; FUROSEMIDA MG ; FUROSEMIDA; FUROSEMIDA; CPR 40 MG x 500; HPO
