124898; AC TRANEXAMICO MG ; AC TRANEXAMICO; ACIDO TRANEXAMICO; SOL INJ 50 MG 5 ML x 100 (/ML); HPO
66577; ACEINA ; ACEINA; NOT FOUND; GOTAS 200 MG 20 ML x 1 (/ML); HPO
49472; ACEINA INJETAVEL ; ACEINA INJETAVEL; NOT FOUND; AMP. 1 G 5 ML x 100; HPO
60222; ACEINA INJETAVEL ; ACEINA INJETAVEL; NOT FOUND; AMP. 500 MG 5 ML x 100; HPO
62160; ACETAM ; ACETAM; NOT FOUND; CPR 500 MG x 200; HPO
84642; ADENOSINA MG ; ADENOSINA; ADENOSINA; AMP. 3 MG 2 ML x 2 (/ML); HPO
88133; ADENOSINA MG ; ADENOSINA; ADENOSINA; AMP. 3 MG 2 ML x 50 (/ML); HPO
46730; ADREN ; ADREN; NOT FOUND; AMP. 1 MG 1 ML x 100; HPO
64996; AEROCLEAN ; AEROCLEAN; NOT FOUND; AMP. 0.50 MG 1 ML x 100; HPO
64994; AEROCLEAN ; AEROCLEAN; NOT FOUND; XAR. 2 MG 120 ML x 1 (/5ML); HPO
65000; AMICAL ; AMICAL; NOT FOUND; AMP. 500 MG 2 ML x 100; HPO
71304; AMINOFILINA MG ; AMINOFILINA; AMINOFILINA; A.IV 24 MG 10 ML x 100; HPO
77978; AMINOFILINA MG ; AMINOFILINA; AMINOFILINA; CPR 100 MG x 20; HPO
76688; AMINOFILINA MG ; AMINOFILINA; AMINOFILINA; CPR 100 MG x 500; HPO
71540; ATROPINA MG ; ATROPINA; ATROPINA; AMP. 0.25 MG 1 ML x 100; HPO
60062; ATROPINON ; ATROPINON; NOT FOUND; AMP. 250 MG 1 ML x 100; HPO
