1005800090078; CLENIL; CLENIL; NOT FOUND; 0.4 MG/ML SUS NAS CT SACH 10 STR 5 FLAC PLAS MONOD X 2 ML; CHS
1005800090159; CLENIL; CLENIL; NOT FOUND; 50 MCG/DOSE AER BUC CT TB AL + DISP OR X 200 DOSES; CHS
1005800090183; CLENIL; CLENIL; NOT FOUND; 50 MCG/DOSE SUS NAS CT FR PLAS AMB + PULSADOR X 200 DOSES; CHS
1005800090043; CLENIL; CLENIL; NOT FOUND; 250 MCG/DOSE SOL AER SPRAY CT TB AL + DISP  ORAL X 200 DOSES; CHS
1005800090051; CLENIL; CLENIL; NOT FOUND; 250 MCG/DOSE SOL AER SPRAY CT TB AL + ESPACADOR JET X 200 DOSES; CHS
1005800090019; CLENIL; CLENIL; NOT FOUND; 0.4 MG/ML SUS NAS CT FR VD  AMB X 20ML + VALV DOSAD+ PULSADOR; CHS
1005800090061; CLENIL; CLENIL; NOT FOUND; 50 MCG/DOSE AER NAS CT TB AL + DISP NAS X 200 DOSES; CHS
1005800090086; CLENIL; CLENIL; NOT FOUND; 100 MCG/DOSE PO INAL CT DISPOSIT INAL X 100 DOSES; CHS
1005800090094; CLENIL; CLENIL; NOT FOUND; 200 MCG/DOSE PO INAL CT DISPOSIT INAL X 100 DOSES; CHS
1005800090108; CLENIL; CLENIL; NOT FOUND; 400 MCG/DOSE PO INAL CT DISPOSIT INAL X 100 DOSES; CHS
1005801110013; CLENIL HFA; CLENIL HFA; NOT FOUND; 50 MCG/DOSE SOL AER CT TB AL + DISPOSITIVO ORAL X 200 DOSES ; CHS
1005801110064; CLENIL HFA; CLENIL HFA; NOT FOUND; 100 MCG/DOSE SOL AER CT TB AL + DISPOSITIVO ORAL + ESPAC JET X 200 DOSES ; CHS
1005801110048; CLENIL HFA; CLENIL HFA; NOT FOUND; 100 MCG/DOSE SOL AER CT TB AL + DISPOSITIVO ORAL X 200 DOSES; CHS
1005801110056; CLENIL HFA; CLENIL HFA; NOT FOUND; 100 MCG/DOSE SOL AER CT TB AL + ESPAC JET X 200 DOSES ; CHS
1005801110099; CLENIL HFA; CLENIL HFA; NOT FOUND; 200 MCG/DOSE SOL AER CT TB AL + DISPOSITIVO ORAL + ESPAC JET X 200 DOSES ; CHS
1005801110072; CLENIL HFA; CLENIL HFA; NOT FOUND; 200 MCG/DOSE SOL AER CT TB AL + DISPOSITIVO ORAL X 200 DOSES ; CHS
1005801110080; CLENIL HFA; CLENIL HFA; NOT FOUND; 200 MCG/DOSE SOL AER CT TB AL + ESPAC JET X 200 DOSES ; CHS
1005801110129; CLENIL HFA; CLENIL HFA; NOT FOUND; 250 MCG/DOSE SOL AER CT TB AL + DISPOSITIVO ORAL + ESPAC JET X 200 DOSES ; CHS
1005801110102; CLENIL HFA; CLENIL HFA; NOT FOUND; 250 MCG/DOSE SOL AER CT TB AL + DISPOSITIVO ORAL X 200 DOSES ; CHS
1005801110110; CLENIL HFA; CLENIL HFA; NOT FOUND; 250 MCG/DOSE SOL AER CT TB AL + ESPAC JET X 200 DOSES ; CHS
1005801110031; CLENIL HFA; CLENIL HFA; NOT FOUND; 50 MCG/DOSE SOL AER CT TB AL + DISPOSITIVO ORAL + ESPAC JET X 200 DOSES ; CHS
1005801110021; CLENIL HFA; CLENIL HFA; NOT FOUND; 50 MCG/DOSE SOL AER CT TB AL + ESPAC JET X 200 DOSES ; CHS
1005800770044; CLENIL COMPOSITUM A; CLENIL COMPOSITUM A; NOT FOUND; 400 MG + 800 MCG/ML SUS NEBUL CT 10 FLAC PLAS TRANS X 2 ML; CHS
1005800770028; CLENIL COMPOSITUM A; CLENIL COMPOSITUM A; NOT FOUND; 0.010G + 0.020G SOL AER CT TB AL  15 G + ESPACADOR JET; CHS
8741256932546; CLENIL COMPOSITUM A; CLENIL COMPOSITUM A; NOT FOUND; CONTROLE; CHS
1005801160010; CLENIL COMPOSITUM HFA; CLENIL COMPOSITUM HFA; NOT FOUND; 50 + 100 MCG / DOSE AER BUCAL CT TB AL + DISP ORAL X 200 DOSES; CHS
1005801160037; CLENIL COMPOSITUM HFA; CLENIL COMPOSITUM HFA; NOT FOUND; 50 + 100 MCG / DOSE AER BUCAL CT TB AL + DISP ORAL + ESPAC JET X 200 DOSES; CHS
1005801160029; CLENIL COMPOSITUM HFA; CLENIL COMPOSITUM HFA; NOT FOUND; 50 + 100 MCG / DOSE AER BUCAL CT TB AL + ESPAC JET X 200 DOSES; CHS
1005800970094; CICLADOL; CICLADOL; NOT FOUND; 20 MG COM EFERV CT STR X 6; CHS
1005800970108; CICLADOL; CICLADOL; NOT FOUND; 20 MG COM EFERV CT STR X 10; CHS
1005800970051; CICLADOL; CICLADOL; NOT FOUND; PO ORAL CX C/ 5 SACHET; CHS
1005800970078; CICLADOL; CICLADOL; NOT FOUND; 20 MG SUP RET CT STR X 5; CHS
1005800970027; CICLADOL; CICLADOL; NOT FOUND; 20 MG COM CT BL PVC/PVD OPC X 10; CHS
1005800970019; CICLADOL; CICLADOL; NOT FOUND; 20 MG COM CT BL PVC/PVC OPC X 5; CHS
1005800670015; CUROSURF; CUROSURF; NOT FOUND; 80 MG/ML SUS INJ CT FA VD INC X 1.5 ML; CHS
1005800670023; CUROSURF; CUROSURF; NOT FOUND; 80 MG/ML SUS INJ CT FA VD INC X 3.0 ML; CHS
