49835; GASTROL ; GASTROL; NOT FOUND; PASTI.MASTIC x 20; LR3
68418; GASTROL ; GASTROL; NOT FOUND; PASTI.MASTIC x 200; LR3
55006; GASTROL ; GASTROL; NOT FOUND; PO EFE.LIMAO 5 G x 12; LR3
55007; GASTROL ; GASTROL; NOT FOUND; PO EFE.LIMAO 5 G x 50; LR3
65290; GASTROL ; GASTROL; NOT FOUND; PO EFE.PAPAI 5 G x 50; LR3
55530; GASTROL ; GASTROL; NOT FOUND; PO EFER ABA. 5 G x 12; LR3
55531; GASTROL ; GASTROL; NOT FOUND; PO EFER ABA. 5 G x 50; LR3
55008; GASTROL ; GASTROL; NOT FOUND; PO EFER NARA 5 G x 12; LR3
55009; GASTROL ; GASTROL; NOT FOUND; PO EFER NARA 5 G x 50; LR3
47219; GASTROL ; GASTROL; NOT FOUND; SUSP 250 ML x 1; LR3
55005; GASTROL ; GASTROL; NOT FOUND; SUSP LIMAO 250 ML x 1; LR3
65158; GASTROL ; GASTROL; NOT FOUND; SUSP PAPAIA 250 ML x 1; LR3
52100; GASTROL TC ; GASTROL TC; NOT FOUND; PASTI.MASTIC x 30; LR3
52101; GASTROL TC ; GASTROL TC; NOT FOUND; SUSP 240 ML x 1; LR3
71567; GINKOTAB ; GINKOTAB; NOT FOUND; CPR 120 MG x 30; LR3
71566; GINKOTAB ; GINKOTAB; NOT FOUND; CPR 80 MG x 30; LR3
