49790; DELTAPIO ; DELTAPIO; NOT FOUND; LOC. 0.02 % 100 ML x 1; LR3
49791; DELTAPIO ; DELTAPIO; NOT FOUND; XAMP 0.02 % 100 ML x 1; LR3
53658; DEXAZEN ; DEXAZEN; NOT FOUND; CREME 15 G x 1; LR3
56143; DICLOF.RESINATO ; DICLOF RESINATO; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); LR3
85564; DICLOFEN DIETIL MG ; DICLOFEN DIETIL; DICLOFENACO DIETILAMONIO; GEL . 10 MG 60 G x 1 (/G); LR3
68963; DIPIRONA SODICA MG ; DIPIRONA SODICA; NOT FOUND; GOTAS 500 MG 20 ML x 1 (/ML); LR3
59711; DORAPLAX ; DORAPLAX; NOT FOUND; CPR REVEST 200 MG x 200; LR3
49405; DORIFLAN ; DORIFLAN; NOT FOUND; DRAG 50 MG x 10; LR3
52081; DORIFLAN ; DORIFLAN; NOT FOUND; DRAG 50 MG x 20; LR3
60024; DORIFLAN ; DORIFLAN; NOT FOUND; EMULGEL 60 G x 1; LR3
55854; DORIFLAN ; DORIFLAN; NOT FOUND; GOTAS 15 MG 20 ML x 1 (/ML); LR3
67052; DORILAN ; DORILAN; NOT FOUND; CPR x 200; LR3
54655; DORILAN ; DORILAN; NOT FOUND; GOTAS 20 ML x 1; LR3
55618; DRAMAVIT ; DRAMAVIT; NOT FOUND; CPR 100 MG x 100; LR3
69608; DRAMAVIT ; DRAMAVIT; NOT FOUND; CPR 100 MG x 400; LR3
55619; DRAMAVIT B6 ; DRAMAVIT B6; NOT FOUND; CPR x 20; LR3
55620; DRAMAVIT B6 ; DRAMAVIT B6; NOT FOUND; GOTAS 20 ML x 1; LR3
