501601207114412, LABIRIN, LABIRIN, NOT FOUND, 16 MG COM CT 3 BL AL PLAS INC X 20, APS
501601201116413, LABIRIN, LABIRIN, NOT FOUND, 16 MG CX C/ 30 COMP., APS
501601205111319, LABIRIN, LABIRIN, NOT FOUND, 24 MG COM CT 2 BL AL PLAS INC X 15, APS
501601206118317, LABIRIN, LABIRIN, NOT FOUND, 24 MG COM CT BL AL PLAS INC X 60, APS
501601203119312, LABIRIN, LABIRIN, NOT FOUND, 24 MG CX C/ 20 COMP., APS
501601208110410, LABIRIN, LABIRIN, NOT FOUND, 8 MG COM CT 3 BL AL PLAS INC X 20, APS
501601202112411, LABIRIN, LABIRIN, NOT FOUND, 8 MG CX C/ 30 COMP., APS
501601301110417, LEVOXIN, LEVOXIN, NOT FOUND, 250 MG CX C/ 7 COMP REVEST, APS
501601302117415, LEVOXIN, LEVOXIN, NOT FOUND, 250MG CX C/ 3 COMP REVEST., APS
501601306112418, LEVOXIN, LEVOXIN, NOT FOUND, 500 MG COM REV CT BL AL PLAS INC X 14, APS
501601303113413, LEVOXIN, LEVOXIN, NOT FOUND, 500 MG CX C/ 10 COMP REVEST, APS
501601304111414, LEVOXIN, LEVOXIN, NOT FOUND, 500 MG CX C/ 3 COMP REVEST, APS
501601305116411, LEVOXIN, LEVOXIN, NOT FOUND, 500 MG CX C/ 7 COMP REVEST, APS
501601401115313, LIBERAN, LIBERAN, NOT FOUND, 10 MG CX C/ 30 COMP, APS
501601402111311, LIBERAN, LIBERAN, NOT FOUND, 25 MG CX C/ 30 COMP REVEST, APS
501601403150310, LIBERAN, LIBERAN, NOT FOUND, 5 MG / ML CX C/ 6 AMPOLAS, APS
501601404114318, LIBERAN, LIBERAN, NOT FOUND, 5 MG CX C/ 30 COMP, APS
501601501179410, LIDOSPRAY, LIDOSPRAY, NOT FOUND, 10% FRASCO C/ 50 ML, APS
501601601114310, LITOCIT, LITOCIT, NOT FOUND, 10 MEQ CX C/ 60 COMP (1080 MG), APS
501601602110319, LITOCIT, LITOCIT, NOT FOUND, 5 MEQ CX C/ 60 COMP ( 540 MG), APS
501604103115311, LONIUM, LONIUM, NOT FOUND, 40 MG COM REV CT BL AL PLAS INC X 60, APS
501604101112313, LONIUM, LONIUM, NOT FOUND, 40 MG CX C/ 10 COMP REVEST, APS
501604102119311, LONIUM, LONIUM, NOT FOUND, 40 MG CX C/ 30 COMP REVEST, APS
501601207114412, LABIRIN, LABIRIN, NOT FOUND, 16 MG COM CT 3 BL AL PLAS INC X 20, APS
501601201116413, LABIRIN, LABIRIN, NOT FOUND, 16 MG CX C/ 30 COMP., APS
501601205111319, LABIRIN, LABIRIN, NOT FOUND, 24 MG COM CT 2 BL AL PLAS INC X 15, APS
501601206118317, LABIRIN, LABIRIN, NOT FOUND, 24 MG COM CT BL AL PLAS INC X 60, APS
501601203119312, LABIRIN, LABIRIN, NOT FOUND, 24 MG CX C/ 20 COMP., APS
501601208110410, LABIRIN, LABIRIN, NOT FOUND, 8 MG COM CT 3 BL AL PLAS INC X 20, APS
501601202112411, LABIRIN, LABIRIN, NOT FOUND, 8 MG CX C/ 30 COMP., APS
