1018103400018; SULFATO DE NEOMICINA + BACITRACINA; SULFATO NEOMICINA BACITRACINA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CT BG AL X 15 G; MD7
1018103400026; SULFATO DE NEOMICINA + BACITRACINA; SULFATO NEOMICINA BACITRACINA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CT BG AL X 50 G; MD7
1018102390035; SINTOMICETINA; SINTOMICETINA; NOT FOUND; 1G CX C/ 100 FA + 100 AMP X 5 ML; MD7
1018102390086; SINTOMICETINA; SINTOMICETINA; NOT FOUND; 250 MG CAPS C/10 ( 1 BL X 10 ); MD7
1018106310011; STOMUP; STOMUP; NOT FOUND; 20 MG/ML SOL OFT CT FR PLAS OPC GOT X 5 ML; MD7
1018103810021; SIMETICONA; SIMETICONA; SIMETICONA; 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML; MD7
1018104930029; SIMETICONA; SIMETICONA; SIMETICONA; 40 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); MD7
1018104930010; SIMETICONA; SIMETICONA; SIMETICONA; 40 MG COM CT BL AL PLAS INC X 20; MD7
1598754236893; SIMETICONA; SIMETICONA; SIMETICONA; CONTROLE; MD7
1018102950014; SARCOTON; SARCOTON; NOT FOUND; 0.04 G/G PO OR CT PT X 10 G; MD7
1018102300011; SALDER S; SALDER S; NOT FOUND; 0.03 G/G + 0.1 G/G SAB CT 1 UND X 80 G; MD7
1018104060016; SULFATO DE TERBUTALINA + GUAIFESINA; SULFATO TERBUTALINA GUAIFESINA; NOT FOUND; 0.3 MG/ML + 13.3 MG/ML XPE CT FR VD AMB X 100 ML +; MD7
1018106490018; SONOTRAT CR; SONOTRAT CR; NOT FOUND; 6.25 MG COM REV LIB PROL CT BL AL PLAS INC X 10 ; MD7
1018106490026; SONOTRAT CR; SONOTRAT CR; NOT FOUND; 6.25 MG COM REV LIB PROL CT BL AL PLAS INC X 20; MD7
1018106490034; SONOTRAT CR; SONOTRAT CR; NOT FOUND; 12.5 MG COM REV LIB PROL CT BL AL PLAS INC X 10 ; MD7
1018106490042; SONOTRAT CR; SONOTRAT CR; NOT FOUND; 12.5 MG COM REV LIB PROL CT BL AL PLAS INC X 20; MD7
1018106500013; SONOTRAT; SONOTRAT; NOT FOUND; 10 MG COMP REV CT BL AL PLAS TRANS X 7; MD7
1018106500021; SONOTRAT; SONOTRAT; NOT FOUND; 10 MG COMP REV CT BL AL PLAS TRANS X 10; MD7
1018106500031; SONOTRAT; SONOTRAT; NOT FOUND; 10 MG COMP REV CT BL AL PLAS TRANS X 20; MD7
