1018102090015; RIFOCORT; RIFOCORT; NOT FOUND; 1.5 MG/G + 5 MG/G POM DERM CT BG AL X 10 G; MD7
1018106250041; REFREN; REFREN; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 90 (EMB HOSP); MD7
1018102280019; RINISONE; RINISONE; NOT FOUND; 0.03 MG/ML + 5 MG/ML +1.25 MG/ML SOL NAS CT FR PLAS OPC GOT X 15 ML; MD7
1018105940011; RAFEX; RAFEX; NOT FOUND; 30 MG COM REV CT STR AL/AL X 5; MD7
1018105940087; RAFEX; RAFEX; NOT FOUND; 120 MG COM REV CT BL AL PLAS INC X 10; MD7
1018105940095; RAFEX; RAFEX; NOT FOUND; 120 MG COM REV CT BL AL PLAS INC X 20; MD7
1018105940079; RAFEX; RAFEX; NOT FOUND; 120 MG COM REV CT BL AL PLAS INC X 5; MD7
1018105940117; RAFEX; RAFEX; NOT FOUND; 180 MG COM REV CT BL AL PLAS INC X 10; MD7
1018105940125; RAFEX; RAFEX; NOT FOUND; 180 MG COM REV CT BL AL PLAS INC X 20; MD7
1018105940109; RAFEX; RAFEX; NOT FOUND; 180 MG COM REV CT BL AL PLAS INC X 5; MD7
1018105940028; RAFEX; RAFEX; NOT FOUND; 30 MG COM REV CT STR AL/AL X 10; MD7
1018105940036; RAFEX; RAFEX; NOT FOUND; 30 MG COM REV CT STR AL/AL X 20; MD7
1018105940052; RAFEX; RAFEX; NOT FOUND; 60 MG COM REV CT BL AL PLAS INC X 10; MD7
1018105940060; RAFEX; RAFEX; NOT FOUND; 60 MG COM REV CT BL AL PLAS INC X 20; MD7
1018105940044; RAFEX; RAFEX; NOT FOUND; 60 MG COM REV CT BL AL PLAS INC X 5; MD7
1018106280031; RAFEX D; RAFEX D; NOT FOUND; 60 MG + 120 MG COM REV CT BL AL PLAS TRANS X 10; MD7
