1018106340024; LUPTAS; LUPTAS; NOT FOUND; 0.3 MG/ML SOL OFT CT FR PLAS OPC GOT X 3 ML ; MD7
1018105600057; LOPIGREL; LOPIGREL; NOT FOUND; 75 MG COM REV CT BL AL/AL X 84 (EMB FRAC); MD7
1018105600022; LOPIGREL; LOPIGREL; NOT FOUND; 75 MG COM REV CT BL AL/AL X 14; MD7
1018105600030; LOPIGREL; LOPIGREL; NOT FOUND; 75 MG COM REV CT BL AL/AL X 28; MD7
1018105600049; LOPIGREL; LOPIGREL; NOT FOUND; 75 MG COM REV CT BL AL/AL X 56; MD7
1018105600014; LOPIGREL; LOPIGREL; NOT FOUND; 75 MG COM REV CT BL AL/AL X 7; MD7
1018104430018; LANSOPRID; LANSOPRID; NOT FOUND; 15 MG CAP GEL DURA MICROG DESINT GRAD + 10 MG CAP GEL DURA CT 2 BL AL PLAS INC X 7 + 21; MD7
1018104430034; LANSOPRID; LANSOPRID; NOT FOUND; 30 MG CAP GEL DURA MICROG DESINT GRAD + 10 MG CAP GEL DURA CT 2 BL AL PLAS INC X 7 + 21 ; MD7
1018106090011; LIVDOR; LIVDOR; NOT FOUND; 500 MG + 65 MG COM REV CT BL AL PLAS INC X 20 ; MD7
1018104590031; LANSODOM 30; LANSODOM 30; NOT FOUND; 30MG CAPS MICRO DESINTEG GRAD + 10MG COM CT C/ 2 BL X 7 + 21; MD7
1018104590015; LANSODOM 30; LANSODOM 30; NOT FOUND; 15MG CAPS MICRO DESINTEG GRAD + 10MG COM CT C/ 2 BL X 7 + 21; MD7
1018101930095; LOPERIDOL; LOPERIDOL; NOT FOUND; 1 MG C200 COMP; MD7
1018101930108; LOPERIDOL; LOPERIDOL; NOT FOUND; 5 MG C200 COMP(C1); MD7
1018105840031; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 50MG + 12.5MG COM REV CT BL AL PLAS OPC X 60; MD7
1018105840023; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 50MG + 12.5MG COM REV CT BL AL PLAS OPC X 30; MD7
1018105840066; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 100MG + 25MG COM REV CT BL AL PLAS OPC X 30; MD7
1018105840074; LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA; LOSARTANA POTASSICA HIDROCLOROTIAZIDA; NOT FOUND; 100MG + 25MG COM REV CT BL AL PLAS OPC X 60; MD7
1018106170013; LAMORGIN; LAMORGIN; NOT FOUND; 100 MG COMP CT BL AL PLAS INC X 30; MD7
1018106170021; LAMORGIN; LAMORGIN; NOT FOUND; 50 MG COMP CT BL AL PLAS INC X 30; MD7
1018106170031; LAMORGIN; LAMORGIN; NOT FOUND; 25 MG COMP CT BL AL PLAS INC X 30 ; MD7
1018106170048; LAMORGIN; LAMORGIN; NOT FOUND; 100 MG COM CT BL AL PLAS TRANS X 15; MD7
1018106170056; LAMORGIN; LAMORGIN; NOT FOUND; 50 MG COM CT BL AL PLAS TRANS X 15; MD7
1018106170064; LAMORGIN; LAMORGIN; NOT FOUND; 25 MG COM CT BL AL PLAS TRANS X 15; MD7
1018106110010; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 25 MG COMP CT BL AL PLAS INC X 30; MD7
1018106110037; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 100 MG COMP CT BL AL PLAS INC X 30; MD7
1018106110029; LAMOTRIGINA; LAMOTRIGINA; LAMOTRIGINA; 50 MG COMP CT BL AL PLAS INC X 30; MD7
1018103580024; LANSOPRAZOL; LANSOPRAZOL; LANSOPRAZOL; 30 MG CAP GEL DURA MCGRAN DESINT GRAD CT BL AL PLAS INC X 14; MD7
