1018103180026; MOXIPLUS; MOXIPLUS; NOT FOUND; 500 MG CAPS GEL DURA CT 3 BL AL PLAS INC X 7; MD7
1018104020014; MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA; MALEATO DEXCLORFENIRAMINA BETAMETASONA; NOT FOUND; 0.4 MG/ML + 0.05 MG/ML XPE CT FR VD AMB X 120 ML + CP MED X 10 ML; MD7
1018102400022; MUCIBRON; MUCIBRON; NOT FOUND; XPE ADU C/ 100 ML; MD7
1018102400030; MUCIBRON; MUCIBRON; NOT FOUND; XPE PED FR CX C/100 ML; MD7
1018105670047; MORATUS; MORATUS; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 15; MD7
1018105670020; MORATUS; MORATUS; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; MD7
1018105670012; MORATUS; MORATUS; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 20; MD7
1018104350014; MÍNIMA; MINIMA; NOT FOUND; 0.06 MG + 0.015 MG COM REV CT BL AL PLAS INC X 24 + 4 COM REV INERTE; MD7
1018104350030; MÍNIMA; MINIMA; NOT FOUND; 0.06 MG + 0.015 MG COM REV CT COM 03 BL AL PLAS INC X 24 + 4 COM REV INERTES; MD7
1018104740025; MALEATO DE DEXCLORFENIRAMINA+SULFATO DE PSEUDOEFEDRINA+GUAIFENESINA; MALEATO DEXCLORFENIRAMINA SULFATO PSEUDOEFEDRINA GUAIFENESINA; NOT FOUND; 0.4 MG/ML+4.0 MG/ML+20 MG/ML SOL OR CT 24 FR VD AMB X 120 ML + 24 DOSADORES; MD7
1018104740017; MALEATO DE DEXCLORFENIRAMINA+SULFATO DE PSEUDOEFEDRINA+GUAIFENESINA; MALEATO DEXCLORFENIRAMINA SULFATO PSEUDOEFEDRINA GUAIFENESINA; NOT FOUND; 0.4MG/ML+4.0MG/ML+20.0MG/ML SOL OR CT FR VD AMB X 120ML + 1 DOSADOR  ; MD7
1018104440013; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 10 MG + 25 MG COM CT STR AL X 30; MD7
1018104440021; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 10 MG/25MG COM CT 50 STR X 10; MD7
1018104440031; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 20 MG/12.5 MG COM 3 STR X 10; MD7
1018104440048; MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA; MALEATO ENALAPRIL HIDROCLOROTIAZIDA; NOT FOUND; 20 MG/12.5 MG COM 50 STR X 10; MD7
1018104050010; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 0.4 MG/ML SOL OR CT FR VD AMB X 120 ML + CP MED X 10 ML; MD7
1018105710014; MALEATO DE DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; MALEATO DEXCLORFENIRAMINA; 10 MG/G CREM DERM CT BG AL X 30 G
; MD7
1018103760030; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COMP CT C/ 3 STRIP X 10; MD7
1018103760057; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT STR AL X 30 ; MD7
1018103760014; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT STR AL X 30  ; MD7
1018103760091; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 10 MG COM CT BL AL/AL X 30   ; MD7
1018103760111; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 20 MG COM CT BL AL/AL X 30   ; MD7
1018103760073; MALEATO DE ENALAPRIL; MALEATO ENALAPRIL; MALEATO ENALAPRIL; 5 MG COM CT BL AL/AL X 30  ; MD7
1018105770025; MALEATO DE MIDAZOLAM; MALEATO MIDAZOLAM; MALEATO MIDAZOLAM; 7.5 MG COM REV CT BL AL PLAS INC X 20; MD7
1018105770076; MALEATO DE MIDAZOLAM; MALEATO MIDAZOLAM; MALEATO MIDAZOLAM; 15 MG COM REV CT BL AL PLAS INC X 20; MD7
1018105770033; MALEATO DE MIDAZOLAM; MALEATO MIDAZOLAM; MALEATO MIDAZOLAM; 7.5 MG COM REV CT BL AL PLAS INC X 30; MD7
1018105770084; MALEATO DE MIDAZOLAM; MALEATO MIDAZOLAM; MALEATO MIDAZOLAM; 15 MG COM REV CT BL AL PLAS INC X 30; MD7
1018104810015; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CT FR VD AMB X 30 ML + DOSADOR ; MD7
1018104810023; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 20 MG/ML SUS OR CX 50 FR VD AMB X 30 ML + 50 DOSADORES (EMB HOSP); MD7
1018105360021; MEBENDAZOL; MEBENDAZOL; MEBENDAZOL; 500 MG COM CT BL AL PLAS INC X 50 (EMB MULT); MD7
1018104680030; MELOXICAM; MELOXICAM; MELOXICAM; 15 MG COM CT BL AL PLAS INC X 10; MD7
1018104680014; MELOXICAM; MELOXICAM; MELOXICAM; 7.5 MG COM CT BL AL PLAS INC X 10; MD7
1018104510097; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS INC X 100 (EMB HOSP); MD7
1018104510062; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS INC X 20; MD7
1018104510070; MESILATO DE DOXAZOSINA; MESILATO DOXAZOSINA; MESILATO DOXAZOSINA; 2 MG COM CT BL AL PLAS INC X 30; MD7
