1018102240051; FERROTRAT B12; FERROTRAT B12; NOT FOUND; FR C/ 200 ML; MD7
1018102240017; FERROTRAT; FERROTRAT; NOT FOUND; 332.38MG + 1MG + 25MCG COM REV CT BL AL PLAS INC X 20; MD7
1018102030020; FLUVERT; FLUVERT; NOT FOUND; 10 MG COM CT 3 BL AL PLAS INC X 10; MD7
1018104650042; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS INC X 56; MD7
1018104480015; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5 MG COM REV CT BL AL PLAS INC X 30 ; MD7
1018104480023; FINASTERIDA; FINASTERIDA; FINASTERIDA; 5 MG COM REV CT BL AL PLAS INC X 60 (EMB HOSP); MD7
1018104650050; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS INC X 60 (EMB HOSP); MD7
1018104650034; FINASTERIDA; FINASTERIDA; FINASTERIDA; 1 MG COM REV CT BL AL PLAS INC X 30 ; MD7
1018103660011; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 1; MD7
1018103660028; FLUCONAZOL; FLUCONAZOL; FLUCONAZOL; 150 MG CAP GEL DURA CT BL AL PLAS INC X 2; MD7
1018106020011; FLUOCINOLONA ACETONIDA + HIDROQUINONA + TRETINOÍNA; FLUOCINOLONA ACETONIDA HIDROQUINONA TRETINOINA; NOT FOUND; 0.1MG/G+40MG/G+0.5MG/G CREM DERM CT BG AL X 6G; MD7
1018106020021; FLUOCINOLONA ACETONIDA + HIDROQUINONA + TRETINOÍNA; FLUOCINOLONA ACETONIDA HIDROQUINONA TRETINOINA; NOT FOUND; 0.1MG/G+40MG/G+0.5MG/G CREM DERM CT BG AL X 10G; MD7
1018106020038; FLUOCINOLONA ACETONIDA + HIDROQUINONA + TRETINOÍNA; FLUOCINOLONA ACETONIDA HIDROQUINONA TRETINOINA; NOT FOUND; 0.1MG/G+40MG/G+0.5MG/G CREM DERM CT BG AL X 15G; MD7
1018106020046; FLUOCINOLONA ACETONIDA + HIDROQUINONA + TRETINOÍNA; FLUOCINOLONA ACETONIDA HIDROQUINONA TRETINOINA; NOT FOUND; 0.1MG/G+40MG/G+0.5MG/G CREM DERM CT BG AL X 30G; MD7
1018104070011; FOSFATO SÓDICO DE PREDNISOLONA; FOSFATO SODICO PREDNISOLONA; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 100 ML + DOSADOR; MD7
1018103540014; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 1 MG/ML SOL OR CT FR VD AMB X 30 ML + CGT; MD7
1018103550011; FUMARATO DE CETOTIFENO; FUMARATO CETOTIFENO; FUMARATO CETOTIFENO; 0.2 MG/ML XPE CT FR VD AMB X 120 ML+ CP MED; MD7
1018105300010; FUROATO DE MOMETASONA; FUROATO MOMETASONA; FUROATO MOMETASONA; 1 MG/G POM DERM CT BG AL X 20 G; MD7
1018105500011; FUROATO DE MOMETASONA; FUROATO MOMETASONA; FUROATO MOMETASONA; 1 MG/G CREM DERM CT BG AL X 20 G; MD7
1018101740024; FUROSEM; FUROSEM; NOT FOUND; 40 MG COM CT BL AL PLAS AMB X 20; MD7
1018101740016; FUROSEM; FUROSEM; NOT FOUND; 40MG C/500; MD7
1018101820028; FUROSEMIDE COMPOSTO; FUROSEMIDE COMPOSTO; NOT FOUND; 40 MG + 50 MG COM CT BL AL PLAS AMB X 20; MD7
1018105990017; FEBSEN; FEBSEN; NOT FOUND; 50 MG/ML SUS OR CT FR PLAS OPC GOT X 30 ML; MD7
1018105990025; FEBSEN; FEBSEN; NOT FOUND; 100 MG/ML SUS OR CT FR PLAS OPC GOT X 20 ML; MD7
1018106510019; FLUXOCOR; FLUXOCOR; NOT FOUND; 20 MG COM  REV CT BL AL/AL X 10 ; MD7
1018106510027; FLUXOCOR; FLUXOCOR; NOT FOUND; 20 MG COM  REV CT BL AL/AL X 30; MD7
1018106510035; FLUXOCOR; FLUXOCOR; NOT FOUND; 20 MG COM  REV CT BL AL/AL X 60; MD7
1018106510043; FLUXOCOR; FLUXOCOR; NOT FOUND; 40 MG COM  REV CT BL AL/AL X 10; MD7
1018106510051; FLUXOCOR; FLUXOCOR; NOT FOUND; 40 MG COM  REV CT BL AL/AL X 30; MD7
1018106510061; FLUXOCOR; FLUXOCOR; NOT FOUND; 40 MG COM  REV CT BL AL/AL X 60; MD7
