1018102990016; OTOMICINA; OTOMICINA; NOT FOUND; 25 MG/ML + 30 MG/ML SOL OTO CT FR PLAS OPC GOT X 10 ML; MD7
1018105220092; OSTEONUTRI; OSTEONUTRI; NOT FOUND; 600 MG + 400 UI COM REV CT FR PLAS OPC X 60; MD7
1018105220017; OSTEONUTRI; OSTEONUTRI; NOT FOUND; 600 MG + 400 UI COM REV CT BL AL PLAS OPC X 8; MD7
1018102770067; ORTOFLAN; ORTOFLAN; NOT FOUND; 75 MG INJ C/50 FR AMP; MD7
1018102770059; ORTOFLAN; ORTOFLAN; NOT FOUND; 75 MG INJ I.M. CT C/5 AMP X 3ML; MD7
1018102770032; ORTOFLAN; ORTOFLAN; NOT FOUND; 100 MG COMP RETARD CT BL X 10; MD7
1018102770016; ORTOFLAN; ORTOFLAN; NOT FOUND; COMP REV 50 MG CT C/2 BL X 10; MD7
1018106120016; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL/AL X 10; MD7
1018106120091; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL/AL X 10; MD7
1018106120105; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL/AL X 15; MD7
1018106120113; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL/AL X 30; MD7
1018106120121; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL/AL X 60 (EMB HOSP); MD7
1018106120083; OLANZAPINA; OLANZAPINA; OLANZAPINA; 10 MG COM REV CT BL AL/AL X 7; MD7
1018106120024; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL/AL X 15; MD7
1018106120032; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL/AL X 30; MD7
1018106120040; OLANZAPINA; OLANZAPINA; OLANZAPINA; 2.5 MG COM REV CT BL AL/AL X 60 (EMB HOSP); MD7
1018106120059; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5.0 MG COM REV CT BL AL/AL X 10; MD7
1018106120067; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5.0 MG COM REV CT BL AL/AL X 15; MD7
1018106120075; OLANZAPINA; OLANZAPINA; OLANZAPINA; 5.0 MG COM REV CT BL AL/AL X 30; MD7
1018106180019; OPINOX; OPINOX; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 10; MD7
1018106180027; OPINOX; OPINOX; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 15; MD7
1018106180035; OPINOX; OPINOX; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 30; MD7
1018106180051; OPINOX; OPINOX; NOT FOUND; 5 MG COM REV CT BL AL/AL X 10; MD7
1018106180061; OPINOX; OPINOX; NOT FOUND; 5 MG COM REV CT BL AL/AL X 15; MD7
1018106180078; OPINOX; OPINOX; NOT FOUND; 5 MG COM REV CT BL AL/AL X 30; MD7
1018106180086; OPINOX; OPINOX; NOT FOUND; 10 MG COM REV CT BL AL/AL X 7; MD7
1018106180043; OPINOX; OPINOX; NOT FOUND; 2.5 MG COM REV CT BL AL/AL X 60 (EMB HOSP); MD7
1018106180094; OPINOX; OPINOX; NOT FOUND; 10 MG COM REV CT BL AL/AL X 10; MD7
1018106180108; OPINOX; OPINOX; NOT FOUND; 10 MG COM REV CT BL AL/AL X 15; MD7
1018106180116; OPINOX; OPINOX; NOT FOUND; 10 MG COM REV CT BL AL/AL X 30; MD7
1018106180124; OPINOX; OPINOX; NOT FOUND; 10 MG COM REV CT BL AL/AL X 60 (EMB HOSP); MD7
1018103370011; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10 MG CAP GEL DURA LIB RETARD CT BL AL PLAS INC X 14; MD7
1018103370011; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 10MG CX C/ 14 CAPS (GEN); MD7
1018103370038; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA LIB RETARD CT BL AL PLAS INC X 14; MD7
1018103370021; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA LIB RETARD CT  BL AL PLAS INC X 7; MD7
1018103370070; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 40 MG CAP GEL DURA LIB RETARD CT BL AL PLAS INC X 7; MD7
1018103370054; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA LIB RETARD CT BL AL PLAS INC X 28; MD7
1018103370119; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA LIB RETARD CT BL AL PLAS INC X 60 (EMB FRAC) ; MD7
1018103370127; OMEPRAZOL; OMEPRAZOL; OMEPRAZOL; 20 MG CAP GEL DURA LIB RETARD CT  BL AL PLAS INC X 42; MD7
1018106450040; OXALATO DE ESCITALOPRAM; OXALATO ESCITALOPRAM; OXALATO ESCITALOPRAM; 10 MG COM REV CT BL AL PLAS INC X 30; MD7
