1018106130011; ESCITAN; ESCITAN; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 1; MD7
1018106130021; ESCITAN; ESCITAN; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 2; MD7
1018106130038; ESCITAN; ESCITAN; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 4; MD7
1018106130046; ESCITAN; ESCITAN; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 8; MD7
1018106130054; ESCITAN; ESCITAN; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 15; MD7
1018106130062; ESCITAN; ESCITAN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 1; MD7
1018106130070; ESCITAN; ESCITAN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 2; MD7
1018106130089; ESCITAN; ESCITAN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 4; MD7
1018106130097; ESCITAN; ESCITAN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 8; MD7
1018106130100; ESCITAN; ESCITAN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 12; MD7
1018106130119; ESCITAN; ESCITAN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 15; MD7
1018106130127; ESCITAN; ESCITAN; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 1; MD7
1018106130161; ESCITAN; ESCITAN; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 15; MD7
1018106130135; ESCITAN; ESCITAN; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 2; MD7
1018106130143; ESCITAN; ESCITAN; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 4; MD7
1018106130151; ESCITAN; ESCITAN; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 8; MD7
1018103240029; ESTROFEM; ESTROFEM; NOT FOUND; 2 MG COM REV CT EST CALENDARIO X 28; MD7
1018103240010; ESTROFEM; ESTROFEM; NOT FOUND; 1 MG COM REV CT EST CALENDARIO X 28; MD7
1018106470025; EFICENTUS; EFICENTUS; NOT FOUND; 10 MG COM REV VT BL AL PLAS INC X 15; MD7
1018106470041; EFICENTUS; EFICENTUS; NOT FOUND; 10 MG COM REV VT BL AL PLAS INC X 30; MD7
1018106470106; EFICENTUS; EFICENTUS; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 30; MD7
