1018102590050; GRAMCILINA; GRAMCILINA; NOT FOUND; 1G INJ CX C/ 1 FA + DIL 3 ML; MD7
1018102590026; GRAMCILINA; GRAMCILINA; NOT FOUND; 500 MG CAP CX C/ FR C/ 8; MD7
1018104660031; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT 4 BL AL PLAS INC X 15; MD7
1018104660013; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900 MG COM REV CT 2 BL AL PLAS INC X 15; MD7
1018104660021; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 900MG COM REV CT BL AL PLAS INC X 15; MD7
1018104660056; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL AL PLAS INC X 30; MD7
1018104660048; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL ALPLAS INC X 15; MD7
1018104480064; GENFIBROZILA; GENFIBROZILA; GENFIBROZILA; 600 MG COM REV CT BL ALPLAS INC X 60; MD7
1018105950015; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 7; MD7
1018105950023; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 15; MD7
1018105950031; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 30; MD7
1018105950041; GLIBENCLAMIDA; GLIBENCLAMIDA; GLIBENCLAMIDA; 5 MG COM CT BL AL PLAS INC X 60; MD7
1018105090067; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 30; MD7
1018105090040; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS INC X 200 (EMB FRAC); MD7
1018105090016; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS INC X 30; MD7
1018105090091; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 250 (EMB HOSP); MD7
1018105090105; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 40 (EMB FRAC); MD7
1018105090024; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS INC X 250 (EMB HOSP); MD7
1018105090131; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 40 (EMB FRAC); MD7
1018105090032; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 1 MG COM CT BL AL PLAS INC X 40 (EMB FRAC); MD7
1018105090083; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 200 (EMB FRAC); MD7
1018105090148; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 200 (EMB FRAC); MD7
1018105090113; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 60; MD7
1018105090121; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 250 (EMB HOSP); MD7
1018105090059; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 2 MG COM CT BL AL PLAS INC X 30; MD7
1018105090075; GLIMEPIRIDA; GLIMEPIRIDA; GLIMEPIRIDA; 4 MG COM CT BL AL PLAS INC X 60 ; MD7
