1018105790018; PYLORIPAC RETRAT; PYLORIPAC RETRAT; NOT FOUND; 30 MG CAP GEL DURA MICROG LIB RETARD + 500 MG COM REV + 500 MG CAP GEL DURA CT BL AL PLAS INC X 20 + 10 + 40 ; MD7
1018103190031; PYLORIPAC; PYLORIPAC; NOT FOUND; 30MG CAPS + 500MG COMP REV + 500MG CAPS CT 10 BL A; MD7
1018103190013; PYLORIPAC; PYLORIPAC; NOT FOUND; 30 MG CAP GEL DURA MCGRAN + 500 MG COM REV + 500 MG CAP GEL DURA CT 7 BL AL PLAS INC X 2+2+4; MD7
1018103190048; PYLORIPAC IBP; PYLORIPAC IBP; NOT FOUND; 30 MG CAP GEL DURA MCGRAN + 500 MG COM REV + 500 MG CAP GEL DURA 4 BL AL PLAS INC X 7+ 7 BL AL PLAS INC X 2+2+4; MD7
1018103190056; PYLORIPAC IBP; PYLORIPAC IBP; NOT FOUND; 30MG CAP + 500 MG COM REV + 500 MG CAP CT 4 BL AL; MD7
1018102900017; PARENZYME AMPICILINA; PARENZYME AMPICILINA; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 16 ; MD7
1018102900033; PARENZYME AMPICILINA; PARENZYME AMPICILINA; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8 ; MD7
1018106060021; PARACETAMOL + CAFEÍNA; PARACETAMOL CAFEINA; NOT FOUND; 500 MG + 65 MG COM REV CT BL AL PLAS INC X 200 (EMB MULT); MD7
1018106060013; PARACETAMOL + CAFEÍNA; PARACETAMOL CAFEINA; NOT FOUND; 500 MG + 65 MG COM REV CT BL AL PLAS INC X 20; MD7
1018101960032; PROFOL; PROFOL; NOT FOUND; SUS OR CT FR VD AMB X 100 ML; MD7
1018101960024; PROFOL; PROFOL; NOT FOUND; COM CT 2 STR X 10; MD7
1018104800028; POLICRESULENO + CLORIDRATO DE CINCHOCAÍNA; POLICRESULENO CLORIDRATO CINCHOCAINA; NOT FOUND; 0.1 G/G + 0.01 G/G POM RET CT  BG AL X 30 G + 10 APLIC ; MD7
1018104800036; POLICRESULENO + CLORIDRATO DE CINCHOCAÍNA; POLICRESULENO CLORIDRATO CINCHOCAINA; NOT FOUND; 0.1 G + 0.01 G/G POM RET CT 25 BG AL X 3G + 25 APLICADORES; MD7
1018104800011; POLICRESULENO + CLORIDRATO DE CINCHOCAÍNA; POLICRESULENO CLORIDRATO CINCHOCAINA; NOT FOUND; 0.1 G/G + 0.01 G/G POM RET CT 10 BG AL X 3 G + 10 APLIC ; MD7
1018104800044; POLICRESULENO + CLORIDRATO DE CINCHOCAÍNA; POLICRESULENO CLORIDRATO CINCHOCAINA; NOT FOUND; 0.1 G + 0.01 G/G POM RET CT BG AL X 15 G + 5 APLICADORES; MD7
1018103160041; PLENTY; PLENTY; NOT FOUND; 10 MG CAPS GEL DURA CT 3 BL X 10; MD7
1018103160068; PLENTY; PLENTY; NOT FOUND; 15 MG CAPS GEL DURA CT 3 BL X 10; MD7
1018103160106; PLENTY; PLENTY; NOT FOUND; 15 MG CAP GEL DURA CT C/ BL AL PVC/PVDC INC X 10; MD7
1018103160092; PLENTY; PLENTY; NOT FOUND; 10 MG CAP GEL DURA CT C/ BL AL PVC/PVDC INC X 10; MD7
1018102930031; PARENZYME TETRACICLINA; PARENZYME TETRACICLINA; NOT FOUND; 500 MG CAP GEL DURA CT BL AL PLAS INC X 8   ; MD7
1018104220048; PERIDAL; PERIDAL; NOT FOUND; 1 MG/ML SUS OR CT FR VD AMB X 100 ML + DOSADOR; MD7
1018104220031; PERIDAL; PERIDAL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 60; MD7
1018104220013; PERIDAL; PERIDAL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 30; MD7
1018104220021; PERIDAL; PERIDAL; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 20; MD7
1018102140055; PRAZOL; PRAZOL; NOT FOUND; 15 MG CAP DURA LIB RETARD CT BL AL PLAS INC X 14; MD7
1018102140063; PRAZOL; PRAZOL; NOT FOUND; 15 MG CAP DURA LIB RETARD CT BL AL PLAS INC X 28; MD7
1018102140020; PRAZOL; PRAZOL; NOT FOUND; 30 MG CAP GEL DURA C/ MCGRAN CT BL AL PLAS INC X 14; MD7
1018102140020; PRAZOL; PRAZOL; NOT FOUND; 30 MG CAPS GEL CT 2 BL INC X 7; MD7
1018102140012; PRAZOL; PRAZOL; NOT FOUND; 30 MG CAP DURA LIB RETARD CT BL AL PLAS INC X 7; MD7
1018102140098; PRAZOL; PRAZOL; NOT FOUND; 30 MG CAP DURA LIB RETARD CT BL AL PLAS INC X 28; MD7
1018102160064; PLURIVERM; PLURIVERM; NOT FOUND; SUSP C/ CX 50 FR; MD7
1018102160048; PLURIVERM; PLURIVERM; NOT FOUND; SUSP FR C/ 30 ML; MD7
1018102160056; PLURIVERM; PLURIVERM; NOT FOUND; COMP CX C/ 300; MD7
1018102160013; PLURIVERM; PLURIVERM; NOT FOUND; COMP CX C/ 6 ( 1 BL X 6 ); MD7
1018104320069; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 14; MD7
1018104320077; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 28; MD7
1018104320050; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL PLAS INC X 7 ; MD7
1018104320141; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 14; MD7
1018104320158; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X  28; MD7
1018104320131; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL PLAS INC X 7; MD7
1018104320220; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 20 MG COM REV CT BL AL/AL X 42; MD7
1018104320204; PANTOPRAZOL; PANTOPRAZOL; PANTOPRAZOL; 40 MG COM REV CT BL AL/AL X 42; MD7
1018103510018; PARACETAMOL; PARACETAMOL; PARACETAMOL; 200 MG GOTAS FR X 15 ML (GEN); MD7
1018105820057; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100MG/ML SUS OR CT FR PLAS TRANS X 10 ML + SER DOSAD; MD7
1018105820065; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100MG/ML SUS OR CT FR PLAS TRANS X 15 ML + SER DOSAD; MD7
1018105820073; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100MG/ML SUS OR CT FR PLAS TRANS X 20 ML + SER DOSAD; MD7
1018105820081; PARACETAMOL; PARACETAMOL; PARACETAMOL; 100MG/ML SUS OR CT FR PLAS TRANS X 30 ML + SER DOSAD; MD7
1018105810035; PARACETAMOL; PARACETAMOL; PARACETAMOL; 32MG/ML SUS OR CT FR PLAS TRANS X 100 ML + CP MED; MD7
1018105810043; PARACETAMOL; PARACETAMOL; PARACETAMOL; 32MG/ML SUS OR CT FR PLAS TRANS X 120 ML + CP MED; MD7
1018105810019; PARACETAMOL; PARACETAMOL; PARACETAMOL; 32MG/ML SUS OR CT FR PLAS TRANS X 50 ML + CP MED; MD7
1018105810027; PARACETAMOL; PARACETAMOL; PARACETAMOL; 32MG/ML SUS OR CT FR PLAS TRANS X 60 ML + CP MED; MD7
1018103460010; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG BL C/ 20 COMP (GEN); MD7
1018103460029; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG C/50 BL X 4 COMP EMB. MULT (GEN); MD7
1018103460037; PARACETAMOL; PARACETAMOL; PARACETAMOL; 750 MG COM REV CT BL AL PLAS AMB X 100 (EMB MULT); MD7
1018105970024; PENTOXIFILINA; PENTOXIFILINA; PENTOXIFILINA; 400 MG COM REV CT BL AL PLAS INC X 30; MD7
1018105970016; PENTOXIFILINA; PENTOXIFILINA; PENTOXIFILINA; 400 MG COM REV CT BL AL PLAS INC X 20; MD7
1018104490010; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA EST FR PLAS OPC X 10; MD7
1018104490061; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA EST FR PLAS OPC X 100 (EMB HOSP); MD7
1018104490029; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA EST FR PLAS OPC X 15; MD7
1018104490037; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA EST FR PLAS OPC X 20; MD7
1018104490045; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA EST FR PLAS OPC X 30; MD7
1018104490053; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA EST FR PLAS OPC X 50 (EMB HOSP); MD7
1018104490071; PIROXICAM; PIROXICAM; PIROXICAM; 20 MG CAP GEL DURA EST FR PLAS OPC X 500 (EMB HOSP); MD7
1018105800021; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 10 MG COM CT BL AL AL X 30; MD7
1018105800048; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 20 MG COM CT BL AL AL X 30; MD7
1018105800064; PRAVASTATINA SÓDICA; PRAVASTATINA SODICA; PRAVASTATINA SODICA; 40 MG COM CT BL AL AL X 30 ; MD7
1018105780055; PREDNISONA; PREDNISONA; PREDNISONA; 20 MG COM CT BL AL PLAS INC X 10; MD7
1018105780012; PREDNISONA; PREDNISONA; PREDNISONA; 5 MG COM CT BL AL PLAS INC X 20 ; MD7
