1018106010016; DOU-CETOFEN; DOU CETOFEN; NOT FOUND; 150 MG COM AP CT BL AL PLAS INC X 10; MD7
1018106010024; DOU-CETOFEN; DOU CETOFEN; NOT FOUND; 150 MG COM AP CT BL AL PLAS INC X 4; MD7
1018105540097; DIELOFT; DIELOFT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 15; MD7
1018105540100; DIELOFT; DIELOFT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 15; MD7
1018105540054; DIELOFT; DIELOFT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 14; MD7
1018105540046; DIELOFT; DIELOFT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 100 (EMB HOSP); MD7
1018105540021; DIELOFT; DIELOFT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 30; MD7
1018105540011; DIELOFT; DIELOFT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; MD7
1018105540038; DIELOFT; DIELOFT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 60; MD7
1018105540062; DIELOFT; DIELOFT; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 14; MD7
1018105540070; DIELOFT; DIELOFT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 20; MD7
1018105540089; DIELOFT; DIELOFT; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 30; MD7
1018106240011; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 30ML + SER DOSAD ; MD7
1018106240021; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 60ML + SER DOSAD ; MD7
1018106240038; DESLORATADINA; DESLORATADINA; DESLORATADINA; 0.5MG/ML XPE CT FR VD AMB X 100ML + SER DOSAD ; MD7
1018104820010; DESONIDA; DESONIDA; DESONIDA; 5 MG/G LOC CT FR PLAST OPC X 20 G; MD7
