1018104180011; CLOTRIMAZOL + ACETADO DE DEXAMETASONA; CLOTRIMAZOL ACETADO DEXAMETASONA; NOT FOUND; 10 MG/G + 0.4 MG/G CREM DERM CT BG AL X 40 G ; MD7
1018103290018; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 16; MD7
1018103290026; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 30; MD7
1018103290034; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 60; MD7
1018103290042; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 12.5 MG COM CT BL AL PLAS INC X 90; MD7
1018103290069; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 16; MD7
1018103290077; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 30; MD7
1018103290085; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 60; MD7
1018103290093; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 25 MG COM CT BL AL PLAS INC X 90; MD7
1018103290115; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 16; MD7
1018103290123; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 30; MD7
1018103290131; CAPTOPRIL; CAPTOPRIL; CAPTOPRIL; 50 MG COM CT BL AL PLAS INC X 60; MD7
1018102620278; CATOPROL; CATOPROL; NOT FOUND; 12.5 MG COMP CX C/ 150; MD7
1018102620162; CATOPROL; CATOPROL; NOT FOUND; 12.5 MG CT 1 BL X 30 COMP; MD7
1018102620154; CATOPROL; CATOPROL; NOT FOUND; 12.5 MG CT 1 BL X 16 COMP; MD7
1018102620200; CATOPROL; CATOPROL; NOT FOUND; 25 MG CT 1 BL X 30 COMP; MD7
1018102620197; CATOPROL; CATOPROL; NOT FOUND; 25 MG CT 1 BL X 16 COMP; MD7
1018102620235; CATOPROL; CATOPROL; NOT FOUND; 25 MG CX C/ 150 COMP; MD7
1018102620243; CATOPROL; CATOPROL; NOT FOUND; 50 MG CT 1 BL X 16 COMP; MD7
1018102620251; CATOPROL; CATOPROL; NOT FOUND; 50 MG CT 1 BL X 30 COMP; MD7
1018102620261; CATOPROL; CATOPROL; NOT FOUND; 50 MG CX C/ 150 COMP; MD7
1018104550021; CAPTOPRIL + HIDROCLOROTIAZIDA; CAPTOPRIL HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 25 MG COM CT 2 BL AL PLAS INC X 15; MD7
1018104550031; CAPTOPRIL + HIDROCLOROTIAZIDA; CAPTOPRIL HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 25 MG COM CT 4 BL AL PLAS INC X 15; MD7
1018104550013; CAPTOPRIL + HIDROCLOROTIAZIDA; CAPTOPRIL HIDROCLOROTIAZIDA; NOT FOUND; 50 MG + 25 MG COM CT BL AL PLAS INC X 16 ; MD7
1018104850017; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 20 MG/ML SUS OR CT FR VD AMB X 100 ML + DOSAD; MD7
1018104850025; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 20 MG/ML SUS OR CX 24 FR VD AMB X 100 ML + 24 DOSAD; MD7
1018105200016; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 20; MD7
1018105200040; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); MD7
1018105200024; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 30; MD7
1018105200032; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 200 MG COM CT BL AL PLAS INC X 60; MD7
1018105200059; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 400 MG COM CT BL AL PLAS INC X 20; MD7
1018105200075; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 400 MG COM CT BL AL PLAS INC X 200 (EMB HOSP); MD7
1018105200067; CARBAMAZEPINA; CARBAMAZEPINA; CARBAMAZEPINA; 400 MG COM CT BL AL PLAS INC X 30; MD7
1018103530019; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 20 MG/ML XPE 100 ML; MD7
1018103520013; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML SOL OR CT FR VD AMB X 20 ML + CGT; MD7
1018103530051; CARBOCISTEINA; CARBOCISTEINA; CARBOCISTEINA; 50 MG/ML XPE 100 ML; MD7
1018105850071; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL/AL X 15; MD7
1018105850045; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL/AL X 15; MD7
1018105850053; CARVEDILOL; CARVEDILOL; CARVEDILOL; 12.5 MG COM CT BL AL/AL X 30; MD7
1018105850088; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL/AL X 30; MD7
1018105850096; CARVEDILOL; CARVEDILOL; CARVEDILOL; 25 MG COM CT BL AL/AL X 60; MD7
1018105850010; CARVEDILOL; CARVEDILOL; CARVEDILOL; 6.25 MG COM CT BL AL/AL X 15; MD7
