508013110100405, HEMOLENTA COM GLICOSE, HEMOLENTA GLICOSE, NOT FOUND, (6.435 + 0.1525 + 1) MG/ML SOL HEMO BOLS PLAS TRANS SIST FECH X 2000 ML, EUF
508013110100505, HEMOLENTA COM GLICOSE, HEMOLENTA GLICOSE, NOT FOUND, (6.435 + 0.1525 + 1) MG/ML SOL HEMO BOLS PLAS TRANS SIST FECH X 2850 ML, EUF
508013110100605, HEMOLENTA COM GLICOSE, HEMOLENTA GLICOSE, NOT FOUND, (6.435 + 0.1525 + 1) MG/ML SOL HEMO BOLS PLAS TRANS SIST FECH X 3000 ML, EUF
508013110100705, HEMOLENTA COM GLICOSE, HEMOLENTA GLICOSE, NOT FOUND, (6.435 + 0.1525 + 1) MG/ML SOL HEMO BOLS PLAS TRANS SIST FECH X 5000 ML, EUF
508013110100805, HEMOLENTA, HEMOLENTA, NOT FOUND, 6.14 MG/ML + 0.18596 MG/ML SOL HEMO BOLS PLAS TRANS SIST FECH X 2000 ML , EUF
508013110100905, HEMOLENTA, HEMOLENTA, NOT FOUND, 6.14 MG/ML + 0.18596 MG/ML SOL HEMO BOLS PLAS TRANS SIST FECH X 2850 ML, EUF
508013110101005, HEMOLENTA, HEMOLENTA, NOT FOUND, 6.14 MG/ML + 0.18596 MG/ML SOL HEMO BOLS PLAS TRANS SIST FECH X 3000 ML, EUF
508013110101105, HEMOLENTA, HEMOLENTA, NOT FOUND, 6.14 MG/ML + 0.18596 MG/ML SOL HEMO BOLS PLAS TRANS SIST FECH X 5000 ML , EUF
508029602111412, HEIMER, HEIMER, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 15, EUF
508029603118410, HEIMER, HEIMER, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 30, EUF
508029601115414, HEIMER, HEIMER, NOT FOUND, 10 MG COM REV CT BL AL PLAS INC X 60, EUF
508014070104904, HOLMES H, HOLMES H, NOT FOUND, 20 MG + 12.5 MG COM REV CT BL AL/AL X 10, EUF
508014070105004, HOLMES H, HOLMES H, NOT FOUND, 20 MG + 12.5 MG COM REV CT BL AL/AL X 30, EUF
508014070105104, HOLMES H, HOLMES H, NOT FOUND, 40 MG + 12.5 MG COM REV CT BL AL/AL X 10, EUF
508014070105204, HOLMES H, HOLMES H, NOT FOUND, 40 MG + 12.5 MG COM REV CT BL AL/AL X 30, EUF
508014070105304, HOLMES H, HOLMES H, NOT FOUND, 40 MG + 25 MG COM REV CT BL AL/AL X 10 , EUF
508014070105404, HOLMES H, HOLMES H, NOT FOUND, 40 MG + 25 MG COM REV CT BL AL/AL X 30, EUF
508008201134419, HELMIBEN, HELMIBEN, NOT FOUND, 33.2 MG/ML + 20.0 MG/ML SUS OR INF TANG CT FR VD AMB X 30 ML, EUF
508008202114411, HELMIBEN, HELMIBEN, NOT FOUND, 332 MG + 200 MG COM MAST CT BL AL PLAS INC X 6, EUF
