508011403133413, REHIDRAT, REHIDRAT, NOT FOUND, PO PREP EXT LARANJA 04 ENV KRAFT X 7.625, EUF
508011404131414, REHIDRAT, REHIDRAT, NOT FOUND, PO PREP EXT CT 100 ENV KRAFT X 27.9 G , EUF
508011401130417, REHIDRAT, REHIDRAT, NOT FOUND, PO PREP EXT CT 04 ENV KRAFT X KRAFT X 13.95 , EUF
508011402137415, REHIDRAT, REHIDRAT, NOT FOUND,  PO PREP EXT CT 4 ENV KRAFT X 7.340 G, EUF
508011501178111, RIFAMICINA, RIFAMICINA, RIFAMICINA, 10 MG/ML SOL TOP SPRAY CT FR VD AMB X 20 ML, EUF
508025504115410, RISS, RISS, NOT FOUND, 1 MG COM REV CT BL AL PLAS INC X 10, EUF
508024403110113, RISPERIDONA, RISPERIDONA, RISPERIDONA, 1 MG COM REV CT BL AL PLAS INC X 20, EUF
508025501116416, RISS, RISS, NOT FOUND, 1 MG COM REV CT BL AL PLAS INC X 20, EUF
508013010095406, RISPERIDONA, RISPERIDONA, RISPERIDONA, 1 MG COM REV CT BL AL PLAS INC X 30, EUF
508025506118417, RISS, RISS, NOT FOUND, 1 MG COM REV CT BL AL PLAS INC X 30, EUF
508025505111419, RISS, RISS, NOT FOUND, 2 MG COM REV CT BL AL PLAS INC X 10, EUF
508024402114115, RISPERIDONA, RISPERIDONA, RISPERIDONA, 2 MG COM REV CT BL AL PLAS INC X 20, EUF
508025502112414, RISS, RISS, NOT FOUND, 2 MG COM REV CT BL AL PLAS INC X 20, EUF
508013010095506, RISPERIDONA, RISPERIDONA, RISPERIDONA, 2 MG COM REV CT BL AL PLAS INC X 30, EUF
508025507114415, RISS, RISS, NOT FOUND, 2 MG COM REV CT BL AL PLAS INC X 30, EUF
508024401118117, RISPERIDONA, RISPERIDONA, RISPERIDONA, 3 MG COM REV CT BL AL PLAS INC X 20, EUF
508025503119412, RISS, RISS, NOT FOUND, 3 MG COM REV CT BL AL PLAS INC X 20, EUF
508013010095606, RISPERIDONA, RISPERIDONA, RISPERIDONA, 3 MG COM REV CT BL AL PLAS INC X 30, EUF
508025508110413, RISS, RISS, NOT FOUND, 3 MG COM REV CT BL AL PLAS INC X 30, EUF
