508012050091803; TRIAXIN; TRIAXIN; NOT FOUND; 1 G PO P/ SOL INJ IM CT FA VD INC + AMP DIL VD INC X 3.5 ML  ; EUF
508027502152412; TRIAXIN; TRIAXIN; NOT FOUND; 1 G PO P/ SOL INJ IM CT FA VD INC + AMP DIL PLAS INC X 3.5 ML ; EUF
508012050092003; TRIAXIN; TRIAXIN; NOT FOUND; 250 MG PO P/ SOL INJ IM CT FA VD INC + AMP DIL VD INC X 2 ML ; EUF
508027503159410; TRIAXIN; TRIAXIN; NOT FOUND; 250 MG PO P/ SOL INJ IM CT FA VD INC + AMP DIL PLAS INC X 2 ML ; EUF
508012050091903; TRIAXIN; TRIAXIN; NOT FOUND; 500 MG PO P/ SOL INJ IM CT FA VD INC + AMP DIL VD INC X 2 ML ; EUF
508027501156414; TRIAXIN; TRIAXIN; NOT FOUND; 500 MG PO P/ SOL INJ IM CT FA VD INC + AMP DIL PLAS INC X 2 ML ; EUF
508027203163412; TROK-G; TROK G; NOT FOUND; 0.64 MG/G + 1 MG/G POM DERM CT BG AL X 10 G; EUF
508027204161413; TROK-G; TROK G; NOT FOUND; 0.64 MG/G + 1 MG/G CREM DERM CT BG AL X 10 G; EUF
508027201160416; TROK-G; TROK G; NOT FOUND; 0.64 MG/G + 1 MG/G POM DERM CT BG AL X 30 G ; EUF
508027202167414; TROK-G; TROK G; NOT FOUND; 0.64 MG/G + 1 MG/G CREM DERM CT BG AL X 30 G ; EUF
508017203111415; TÂMISA; TAMISA; NOT FOUND; 0.075 MG + 0.020 MG DRG CT BL AL PLAS INC CALEND X 63 ; EUF
508017202113414; TÂMISA; TAMISA; NOT FOUND; 0.075 MG + 0.030 MG DRG CT BL AL PLAS INC CALEND X 21 ; EUF
508012010089603; TÂMISA; TAMISA; NOT FOUND; 0.075 MG + 0.030 MG DRG CT BL AL PLAS TRANS CALEND X 28; EUF
508017204116410; TÂMISA; TAMISA; NOT FOUND; 0.075 MG + 0.030 MG DRG CT BL AL PLAS INC CALEND X 63; EUF
508012010089703; TÂMISA; TAMISA; NOT FOUND; 0.075 MG + 0.030 MG DRG CT BL AL PLAS TRANS CALEND X 84; EUF
508017201117416; TÂMISA; TAMISA; NOT FOUND; 0.075 MG + 0.020 MG DRG CT BL AL PLAS INC CALEND X 21; EUF
508026902165114; TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA; TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA; NOT FOUND; 1 MG + 2.5 MG + 0.25 MG + 100.000 U/G CREM DERM CT BG AL X 30 G; EUF
508026901169116; TRIANCINOLONA ACETONIDA + SULFATO DE NEOMICINA + GRAMICIDINA + NISTATINA; TRIANCINOLONA ACETONIDA SULFATO NEOMICINA GRAMICIDINA NISTATINA; NOT FOUND; 1.0 MG/G + 2.5 MG/G + 0.25 MG/G + 100000 UI/G POM DERM CT BG AL X 30 G; EUF
508017102119410; TAMIRAM; TAMIRAM; NOT FOUND; 500 MG COM REV CT BL AL PLAS INC X 10; EUF
