508012120095203, MANTIDAN, MANTIDAN, NOT FOUND, 100 MG COM CT BL AL PLAS INC X 20., EUF
508022705111418, MUSCULARE, MUSCULARE, NOT FOUND, 10MG COM REV CT BL AL PLAS INC X 10, EUF
508022702110410, MUSCULARE, MUSCULARE, NOT FOUND, 10MG COM REV CT BL AL PLAS INC X 15, EUF
508022703117419, MUSCULARE, MUSCULARE, NOT FOUND, 10MG COM REV CT BL AL PLAS INC X 30, EUF
508022706116413, MUSCULARE, MUSCULARE, NOT FOUND, 10MG COM REV CT BL AL PLAS INC X 4 , EUF
508022707112411, MUSCULARE, MUSCULARE, NOT FOUND, 10MG COM REV CT BL AL PLAS INC X 7, EUF
508022708119411, MUSCULARE, MUSCULARE, NOT FOUND, 5MG COM REV CT BL AL PLAS INC X 10, EUF
508022704113417, MUSCULARE, MUSCULARE, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 15, EUF
508022701114412, MUSCULARE, MUSCULARE, NOT FOUND, 5 MG COM REV CT BL AL PLAS INC X 30, EUF
508022709115418, MUSCULARE, MUSCULARE, NOT FOUND, 5MG COM REV CT BL AL PLAS INC X 4 , EUF
508022710113415, MUSCULARE, MUSCULARE, NOT FOUND, 5MG COM REV CT BL AL PLAS INC X 7, EUF
508014120106004, MOLIÉRI 20, MOLIERI 20, NOT FOUND, 3 MG + 0.02 MG COM REV CT BL CALEND AL PLAS TRANS X 24 , EUF
508014120106104, MOLIÉRI 20, MOLIERI 20, NOT FOUND, 3 MG + 0.02 MG COM REV CT BL CALEND AL PLAS TRANS X 72, EUF
508013060097604, MOLIÈRI, MOLIERI, NOT FOUND, 3 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 21 , EUF
508013060097704, MOLIÈRI, MOLIERI, NOT FOUND, 3 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 63, EUF
508021701161412, MUD, MUD, NOT FOUND, 1.0 MG/G + 2.5 MG /G +0.25 MG + 100000 UI/G CREM DREM CT BG PLAS LAMINADA X 10 G , EUF
508021702168410, MUD, MUD, NOT FOUND, 1.0 MG /G+ 2.5 MG/G +0.25 MG + 100000 UI/G POM  DERM CT BG PLAS LAMINADA X 10 G , EUF
508009402176419, MINILAX, MINILAX, NOT FOUND, 714.0  MG/G + 7.70 MG/G SOL RETAL CT 5 BG PLAST OPC X 6.5 G , EUF
508009401161418, MINILAX, MINILAX, NOT FOUND, 714.0  MG/G + 7.70 MG/G SOL RETAL CT 7 BG PLAST OPC X 6.5 G, EUF
508018403155112, MIDAZOLAM, MIDAZOLAM, MIDAZOLAM, 1 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML, EUF
508019302115113, MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 15 MG COM REV CT BL AL PLAS INC X 20, EUF
508019301119115, MALEATO DE MIDAZOLAM, MALEATO MIDAZOLAM, MALEATO MIDAZOLAM, 15 MG COM REV CT BL AL PLAS INC X 30, EUF
508018401152116, MIDAZOLAM, MIDAZOLAM, MIDAZOLAM, 5 MG/ML SOL INJ CT 5 AMP VD INC X 10 ML, EUF
508018402159114, MIDAZOLAM, MIDAZOLAM, MIDAZOLAM, 5 MG/ML SOL INJ CT 5 AMP VD INC X 3 ML, EUF
508013090098806, MALEATO DE TRIMEBUTINA, MALEATO TRIMEBUTINA, MALEATO TRIMEBUTINA, 200 MG CAP GEL MOLE CT BL AL PLAS TRANS X 30, EUF
508013090098906, MALEATO DE TRIMEBUTINA, MALEATO TRIMEBUTINA, MALEATO TRIMEBUTINA, 200 MG CAP GEL MOLE CT BL AL PLAS TRANS X 60, EUF
508031001154410, MANITOL 20%, MANITOL 20, NOT FOUND, 200 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 250 ML, EUF
508031002150419, MANITOL 20%, MANITOL 20, NOT FOUND, 200 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 250 ML, EUF
508014040102606, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT STR AL X 60 ( EMB FRAC ), EUF
508014040102706, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT STR AL X 60 (EMB FRAC), EUF
508013501159111, MELOXICAM, MELOXICAM, MELOXICAM, 10 MG/ML SOL INJ CT 5 AMP VD INC X 1.5 ML, EUF
508022501158416, MELOCOX, MELOCOX, NOT FOUND, 10 MG/ML SOL INJ CT 5 AMP VD INC X 1.5 ML, EUF
508022504157410, MELOCOX, MELOCOX, NOT FOUND, 10 MG/ML SOL INJ CT AMP VD INC X 1.5 ML, EUF
508013503119117, MELOXICAM, MELOXICAM, MELOXICAM, 15 MG COM CT STR AL X 10  , EUF
508022502111413, MELOCOX, MELOCOX, NOT FOUND, 15 MG COM CT STR AL X 10, EUF
508022505110418, MELOCOX, MELOCOX, NOT FOUND, 15 MG COM CT STR AL X 5, EUF
508013502112119, MELOXICAM, MELOXICAM, MELOXICAM, 7.5 MG COM CT STR AL X 10, EUF
508022503118411, MELOCOX, MELOCOX, NOT FOUND, 7.5 MG COM CT STR AL X 10, EUF
508016502156110, MEROPENEM, MEROPENEM, MEROPENEM, 1 G PO P/ SOL INJ CT 10 FA VD INC X 30 ML, EUF
508016503152119, MEROPENEM, MEROPENEM, MEROPENEM, 1 G PO P/ SOL INJ CT 25 FA VD INC X 30 ML, EUF
508025001156419, MEROMAX, MEROMAX, NOT FOUND, 2 G PO SOL INJ IV CT FA VD INC X 30 ML , EUF
508025002152417, MEROMAX, MEROMAX, NOT FOUND, 2 G PO SOL INJ IV CT 10 FA VD INC X 30 ML , EUF
508025003159415, MEROMAX, MEROMAX, NOT FOUND, 2 G PO SOL INJ IV CT 5 FA VD INC X 30 ML , EUF
508016501151115, MEROPENEM, MEROPENEM, MEROPENEM, 500 MG PO P/ SOL INJ CT 10 FA VD INC X 30 ML, EUF
508016504159117, MEROPENEM, MEROPENEM, MEROPENEM, 500 MG PO P/ SOL INJ CT 25 FA VD INC X 30 ML, EUF
508027101158118, MESILATO DE DESFERROXAMINA, MESILATO DESFERROXAMINA, MESILATO DESFERROXAMINA, 500 MG PO LIOF P/ SOL INJ CT 5 FA VD INC + 5 AMP PLAS DIL X 5 ML, EUF
508025801111118, MESILATO DE DOXAZOSINA, MESILATO DOXAZOSINA, MESILATO DOXAZOSINA, 2 MG COM CT BL AL PLAS INC X 30, EUF
508012040091106, MESILATO DE IMATINIBE, MESILATO IMATINIBE, MESILATO IMATINIBE, 100 MG COM REV CT BL AL PLAS INC X 60, EUF
508012040091206, MESILATO DE IMATINIBE, MESILATO IMATINIBE, MESILATO IMATINIBE, 400 MG COM REV CT BL AL PLAS INC X 30, EUF
508009202150114, MESNA, MESNA, MESNA, 100 MG / ML SOL INJ CT 10 AMP VD INC X 4 ML, EUF
508009203157112, MESNA, MESNA, MESNA, 100 MG / ML SOL INJ CT 50 AMP VD INC X 4 ML, EUF
508025301117117, MICOFENOLATO DE MOFETILA, MICOFENOLATO MOFETILA, MICOFENOLATO MOFETILA, 500 MG COM REV CT BL AL PLAS OPC X 50, EUF
508013040096606, MONTELUCASTE DE SODIO, MONTELUCASTE SODIO, MONTELUCASTE SODIO, 4 MG COM MAST CT BL AL /AL X 30, EUF
508013040096706, MONTELUCASTE DE SODIO, MONTELUCASTE SODIO, MONTELUCASTE SODIO, 5 MG COM MAST CT BL AL /AL X 30, EUF
508028801161411, MUD ORAL, MUD ORAL, NOT FOUND, 1 MG/G POM BUCAL CT BG AL X 10 G, EUF
