508014070105506, OLMESARTANA MEDOXOMILA+HIDROCLOROTIAZIDA, OLMESARTANA MEDOXOMILA HIDROCLOROTIAZIDA, NOT FOUND, 20MG + 12.5 MG COM REV CT BL AL/AL X 30, EUF
508014070105606, OLMESARTANA MEDOXOMILA+HIDROCLOROTIAZIDA, OLMESARTANA MEDOXOMILA HIDROCLOROTIAZIDA, NOT FOUND, 40MG + 12.5 MG COM REV CT BL AL/AL X 30, EUF
508014070105706, OLMESARTANA MEDOXOMILA+HIDROCLOROTIAZIDA, OLMESARTANA MEDOXOMILA HIDROCLOROTIAZIDA, NOT FOUND, 40MG + 25 MG COM REV CT BL AL/AL X 30, EUF
508012040091506, OLANZAPINA, OLANZAPINA, OLANZAPINA, 10 MG COM CT BL AL AL X 30, EUF
508012040091306, OLANZAPINA, OLANZAPINA, OLANZAPINA, 2.5 MG COM CT BL AL AL X 30, EUF
508012040091406, OLANZAPINA, OLANZAPINA, OLANZAPINA, 5 MG COM CT BL AL AL X 30, EUF
508009901156111, OMEPRAZOL SÓDICO, OMEPRAZOL SODICO, OMEPRAZOL SODICO, 40 MG PO LIOF P/ SOL INJ IV CT 50 FA VD INC + 50 DIL AMP VD INC X 10 ML (EMB HOSP)  , EUF
508009904155116, OMEPRAZOL SÓDICO, OMEPRAZOL SODICO, OMEPRAZOL SODICO, 40 MG PO LIOF P/ SOL INJ IV CT 50 FA VD INC + 50 DIL AMP PLAS INC X 10 ML (EMB HOSP) , EUF
508010103152112, OXACILINA SÓDICA, OXACILINA SODICA, OXACILINA SODICA HIDRATADA, 500 MG PO P/ SOL INJ CX 50 FA VD INC + 50 DIL AMP PLAS OPC X 5 ML (EMB HOSP), EUF
508013070097806, OXALATO DE ESCITALOPRAM, OXALATO ESCITALOPRAM, OXALATO ESCITALOPRAM, 10 MG COM REV CT BL AL PLAS TRANS X 30, EUF
508013070097906, OXALATO DE ESCITALOPRAM, OXALATO ESCITALOPRAM, OXALATO ESCITALOPRAM, 20 MG COM REV CT BL AL PLAS TRANS X 30, EUF
508016701159111, OXALIPLATINA, OXALIPLATINA, OXALIPLATINA, 100 MG PO LIOF P/ SOL INJ CT FA VD INC X 1 G, EUF
508016703151116, OXALIPLATINA, OXALIPLATINA, OXALIPLATINA, 100 MG PO LIOF P/ SOL INJ CT 10 FA VD INC, EUF
508016702155118, OXALIPLATINA, OXALIPLATINA, OXALIPLATINA, 50 MG PO LIOF P/ SOL INJ CT FA VD INC X 500 MG, EUF
508016704158114, OXALIPLATINA, OXALIPLATINA, OXALIPLATINA, 50 MG PO LIOF P/ SOL INJ CT 10 FA VD INC, EUF
