508020701117415; EMAMA; EMAMA; NOT FOUND; 400 MG CAP GEL MOLE CT FR PLAS OPC X 10; EUF
508020704116411; EMAMA; EMAMA; NOT FOUND; 400 MG CAP GEL MOLE CT BL AL PLAS INC X 10 ; EUF
508020702113413; EMAMA; EMAMA; NOT FOUND; 400 MG CAP GEL MOLE CT FR PLAS OPC X 30; EUF
508020703111414; EMAMA; EMAMA; NOT FOUND; 400 MG CAP GEL MOLE CT BL AL PLAS INC X 30; EUF
508013040096105; EUTRAMIX; EUTRAMIX; NOT FOUND; (4 + 1.91 + 50) MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 1000 ML; EUF
508013040096405; EUTRAMIX; EUTRAMIX; NOT FOUND; (6 + 1.91 + 50) MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 1000 ML; EUF
508013040096505; EUTRAMIX; EUTRAMIX; NOT FOUND; (8 + 1.91 + 50) MG/ML SOL INJ IV BOLS PLAS TRANS SIST FECH X 1000 ML; EUF
508014040103503; EMET; EMET; NOT FOUND; 50 MG + 10 MG COM REV CT BL AL PLAS INC X 60 (EMB FRAC); EUF
508012060092104; EMET; EMET; NOT FOUND; 50 MG + 10 MG COM REV CT BL AL PLAS INC X 12; EUF
508028701132411; EMET; EMET; NOT FOUND; 25 MG/ML + 5 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML; EUF
508020901116412; EUTONIS; EUTONIS; NOT FOUND; 1 MG COM CT STR AL X 20; EUF
508020902112410; EUTONIS; EUTONIS; NOT FOUND; 2 MG COM CT STR AL X 20; EUF
508020903119419; EUTONIS; EUTONIS; NOT FOUND; 4 MG COM CT STR AL X 20 ; EUF
508006701131315; EBASTEL; EBASTEL; NOT FOUND; 1 MG/ML SOL OR CT FR VD AMB X 60 ML; EUF
508006602115311; EBASTEL; EBASTEL; NOT FOUND; 10 MG COM REV CT BL AL PLAS INC X 10; EUF
508020801154118; ENANTATO DE NORETISTERONA + VALERATO DE ESTRADIOL; ENANTATO NORETISTERONA VALERATO ESTRADIOL; NOT FOUND; 50 MG/ML + 5 MG/ML SOL INJ CT SER PRE-ENCHIDA VD INC X 1 ML + AGULHA DESC; EUF
508012090094106; ESOMEPRAZOL SODICO; ESOMEPRAZOL SODICO; ESOMEPRAZOL SODICO; 40 MG PO LIOF SOL INJ CT 10 FA VD INC X 6.5 ML; EUF
508012080093504; ÉSIO; ESIO; NOT FOUND; 40 MG PO LIOF SOL INJ CT 10 FA VD INC X 6.5 ML; EUF
508023001116119; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 100 MG COM CT BL AL PLAS INC X 16; EUF
508023003119115; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 25 MG COM CT BL AL PLAS INC X 30; EUF
508023002112117; ESPIRONOLACTONA; ESPIRONOLACTONA; ESPIRONOLACTONA; 50 MG COM CT BL AL PLAS INC X 30; EUF
508013070098304; ESC; ESC; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 15; EUF
508013070098404; ESC; ESC; NOT FOUND; 10 MG COM REV CT BL AL PLAS TRANS X 30; EUF
508013070098504; ESC; ESC; NOT FOUND; 20 MG COM REV CT BL AL PLAS TRANS X 15; EUF
508013070098604; ESC; ESC; NOT FOUND; 20 MG COM REV CT BL AL PLAS TRANS X 30 ; EUF
508006601119313; EBASTEL D; EBASTEL D; NOT FOUND; 10 MG + 120 MG CAP GEL DURA CT BL AL PLAS INC X 5; EUF
