508030301170413, NEFROSOL-- CPHD-FRAÇÃO BÁSICA, NEFROSOL CPHD FRACAO BASICA, NOT FOUND, 0.084 G/ML SOL HEMO FR PLAS TRANS X 5 L, EUF
508020207171412, NOEX, NOEX, NOT FOUND, 100 MCG / DOSE SUS NAS CT FR PLAS OPC  NEB X 100 DOSES, EUF
508020204172418, NOEX, NOEX, NOT FOUND, 32 MCG / DOSE SUS NAS CT FRAS PLAS OPC NEB X 120 DOSES, EUF
508020205179416, NOEX, NOEX, NOT FOUND, 50 MCG / DOSE SUS NAS CT FR PLAS OPC NEB X 200 DOSES, EUF
508020206175414, NOEX, NOEX, NOT FOUND, 64 MCG / DOSE SUS NAS CT FR PLAS OPC NEB X 120 DOSES, EUF
508030201176411, NEFROSOL- CPHD-FRAÇÃO ÁCIDA, NEFROSOL CPHD FRACAO ACIDA, NOT FOUND, (2.5 + 107.5) MEQ/L SOL HEMO FR PLAS TRANS X 5 L, EUF
508030202172418, NEFROSOL- CPHD-FRAÇÃO ÁCIDA, NEFROSOL CPHD FRACAO ACIDA, NOT FOUND, (3.5 + 108.5) MEQ/L SOL HEMO FR PLAS TRANS X 5 L, EUF
508014040103106, NIMESULIDA, NIMESULIDA, NIMESULIDA, 100 MG COM CT BL AL PLAS INC X 60 (EMB FRAC), EUF
508013603113110, NIMESULIDA, NIMESULIDA, NIMESULIDA, 100 MG COM CT BL AL PLAS INC X 12 , EUF
508013602133118, NIMESULIDA, NIMESULIDA, NIMESULIDA, 50 MG/ML SUS OR CT FR PLAS OPC GOT X 15 ML, EUF
508013060097506, NITRATO DE FENTICONAZOL, NITRATO FENTICONAZOL, NITRATO FENTICONAZOL, 0.02 G/G CREM VAG CT BG AL X 40 G + 7 APLIC, EUF
508009501158419, NAOX, NAOX, NOT FOUND, 5 UI SOL INJ CX 50 AMP VD INC X 1 ML, EUF
508009801151411, NORELBIN, NORELBIN, NOT FOUND, 10 MG/ML SOL INJ CT FA VD INC X 1 ML, EUF
508009802158418, NORELBIN, NORELBIN, NOT FOUND, 10 MG/ML SOL INJ CT FA VD INC X 5 ML, EUF
508009803154416, NORELBIN, NORELBIN, NOT FOUND, 10 MG/ML SOL INJ CT 5 FA VD INC X 5 ML, EUF
