508030501153415, GLICOSE + CLORETO DE SÓDIO, GLICOSE CLORETO SODIO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 1000 ML, EUF
508030502151416, GLICOSE + CLORETO DE SÓDIO, GLICOSE CLORETO SODIO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 1000 ML, EUF
508030503156411, GLICOSE + CLORETO DE SÓDIO, GLICOSE CLORETO SODIO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 250 ML, EUF
508030505159418, GLICOSE + CLORETO DE SÓDIO, GLICOSE CLORETO SODIO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 250 ML, EUF
508030504152411, GLICOSE + CLORETO DE SÓDIO, GLICOSE CLORETO SODIO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 500 ML, EUF
508030506155416, GLICOSE + CLORETO DE SÓDIO, GLICOSE CLORETO SODIO, NOT FOUND, 50 MG/ML + 9 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 500 ML, EUF
508007801154110, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 1 FA VD INC + DIL AMP VD INC X 10 ML, EUF
508007802150119, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 25 FA VD INC + 25 DIL AMP PLAS INC X 10 ML (EMB HOSP), EUF
508007803157117, GANCICLOVIR SÓDICO, GANCICLOVIR SODICO, GANCICLOVIR SODICO, 500 MG PO LIOF INJ CT 50 FA VD INC + 50 DIL AMP PLAS INC X 10 ML ( EMB HOSP), EUF
508031101175411, GLICERINA 12%, GLICERINA 12, NOT FOUND, 120 MG/ML SOL RET CT FR PLAS TRANS X 500 ML + SR, EUF
508031102171418, GLICERINA 12%, GLICERINA 12, NOT FOUND, 120 MG/ML SOL RET CX 20 FR PLAS TRANS X 500 ML + SR, EUF
508030702159410, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, 100 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 1000 ML, EUF
508030704151417, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, GLICOSE MONOIDRATADA, 100 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 1000 ML, EUF
