508019002111112, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 14, EUF
508019001115114, CITALOPRAM, CITALOPRAM, CITALOPRAM, 20 MG COM REV CT BL AL PLAS INC X 28 , EUF
508018601119112, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 12.5 MG COM CT BL AL PLAS INC X 30 , EUF
508018603111119, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 25 MG COM CT BL AL PLAS INC X 30, EUF
508018602115110, CAPTOPRIL, CAPTOPRIL, CAPTOPRIL, 50 MG COM CT BL AL PLAS INC X 30, EUF
508001405117310, CARBOLITIUM, CARBOLITIUM, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 25 , EUF
508001401111415, CARBOLITIUM, CARBOLITIUM, NOT FOUND, 300 MG COM CT BL AL PLAS INC X 50, EUF
508001406113319, CARBOLITIUM, CARBOLITIUM, NOT FOUND, 300 MG COM REV CT BL AL PLAS INC X 50 , EUF
508001404110312, CARBOLITIUM, CARBOLITIUM, NOT FOUND, 450 MG COM CT BL AL PLAS INC X 10, EUF
508001402118413, CARBOLITIUM, CARBOLITIUM, NOT FOUND, 450 MG COM CT BL AL PLAS INC X 30, EUF
508014040103006, CEFADROXILA, CEFADROXILA, CEFADROXILA, 500 MG CAP GEL DURA CT ENV AL POLIET X 30 (EMB FRAC), EUF
508001503135119, CEFADROXIL, CEFADROXIL, NOT FOUND, 100 MG/ML PO SUS OR CT FR VD AMB X 100 ML + SER DOSAD, EUF
508001502139110, CEFADROXIL, CEFADROXIL, NOT FOUND, 50 MG/ML PO SUS OR CT FR VD AMB X 100 ML + SER DOSAD, EUF
508001501116117, CEFADROXIL, CEFADROXIL, NOT FOUND, 500 MG CAP GEL DURA CT ENV AL POLIET X 8  , EUF
508014040103706, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COM REV CT BL AL PLAS INC X 30 (EMB FRAC), EUF
508001602133114, CEFALEXINA, CEFALEXINA, CEFALEXINA, 50 MG/ML SUS OR CT FR VD AMB X 100 ML, EUF
508001603113117, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COM REV CT BL AL PLAS INC X 10, EUF
508001601110110, CEFALEXINA, CEFALEXINA, CEFALEXINA, 500 MG COM REV CT BL AL PLAS INC X 8  , EUF
508001704157111, CEFALOTINA SÓDICA, CEFALOTINA SODICA, CEFALOTINA SODICA, 1 G PO P/ SOL INJ CX 50 FA VD INC + 50 DIL AMP PLAS INC X 5 ML (EMB HOSP), EUF
508002201159110, CEFTRIAXONA SODICA, CEFTRIAXONA SODICA, CEFTRIAXONA SODICA, 1G PO P/ SOL INJ IM CT FA VD INC + DIL AMP VD INC X 3.5 ML, EUF
508002206150111, CEFTRIAXONA SODICA, CEFTRIAXONA SODICA, CEFTRIAXONA SODICA, 1 G PO P/ SOL INJ IV CT 50 FA VD INC + 50 DIL AMP PLAS INC X 10 ML (EMB HOSP), EUF
508002203151117, CEFTRIAXONA SODICA, CEFTRIAXONA SODICA, CEFTRIAXONA SODICA, 500 MG PO P/ SOL INJ IM CT FA VD INC + DIL AMP VD INC X 2 ML, EUF
508015001161113, CETOCONAZOL+DIPROPRIONATO DE BETAMETASONA, CETOCONAZOL DIPROPRIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.5 MG/G CREM DERM CT BG AL X 30 G , EUF
508015002168111, CETOCONAZOL+DIPROPRIONATO DE BETAMETASONA, CETOCONAZOL DIPROPRIONATO BETAMETASONA, NOT FOUND, 20 MG/G + 0.5 MG/G POM DERM CT BG AL X 30 G , EUF
508014902165110, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G POM DERM CT BG AL X 30 G , EUF
508014901169112, CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA, CETOCONAZOL DIPROPIONATO BETAMETASONA SULFATO NEOMICINA, NOT FOUND, 20 MG/G + 0.5 MG/G + 2.5 MG/G CREM DERM CT BG AL X 30 G , EUF
508002302151115, CETOPROFENO, CETOPROFENO, CETOPROFENO, 100 MG PO LIOF SOL INJ IV CT 50 FA VD INC (EMB HOSP), EUF
508024801116111, CILOSTAZOL, CILOSTAZOL, CILOSTAZOL, 100 MG COM CT BL AL PLAS INC X 30, EUF
