508023401157416, DAIVA, DAIVA, NOT FOUND, 150 MG/ML + 10 MG/ML SOL INJ IM CT AMP VD AMB X 1 ML , EUF
508024303116411, DIUBLOK, DIUBLOK, NOT FOUND, 100 MG + 25 MG COM CT BL AL PLAS INC X 10, EUF
508024301113415, DIUBLOK, DIUBLOK, NOT FOUND, 100MG +25MG COM CT BL AL PLAS INC X 30, EUF
508024304112411, DIUBLOK, DIUBLOK, NOT FOUND, 50 MG + 12.5MG COM CT BL AL PLAS INC X 10, EUF
508024302111416, DIUBLOK, DIUBLOK, NOT FOUND, 50 MG + 12.5MG COM CT BL AL PLAS INC X 30, EUF
508029002114410, DEJAVU, DEJAVU, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 2, EUF
508029005113415, DEJAVU, DEJAVU, NOT FOUND, 100 MG COM REV CT BL AL PLAS INC X 4, EUF
508029001118412, DEJAVU, DEJAVU, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 1, EUF
508029003110419, DEJAVU, DEJAVU, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 2, EUF
508029004117417, DEJAVU, DEJAVU, NOT FOUND, 50 MG COM REV CT BL AL PLAS INC X 4, EUF
508006402116411, DIUPRESS, DIUPRESS, NOT FOUND, 25 MG + 5 MG COM CT BL AL PLAS LARANJA X 20, EUF
508006502110415, DIURISA, DIURISA, NOT FOUND, 40 MG + 10 MG COM CT BL AL PLAS INC X 20, EUF
508005901151419, DACARB, DACARB, NOT FOUND, 100 MG PO LIOF INJ CT FA VD AMB (REST HOSP), EUF
508005902158417, DACARB, DACARB, NOT FOUND, 200 MG PO LIOF INJ CT FA VD AMB (REST HOSP), EUF
508005903154318, DACARB, DACARB, NOT FOUND, 200 MG PO LIOF SOL INJ CT 10 FA VD AMB (REST HOSP), EUF
508024201119111, DESOGESTREL + ETINILESTRADIOL, DESOGESTREL ETINILESTRADIOL, NOT FOUND, 0.150 MG + 0.030 MG COM CT BL AL PLAS BCO OPC X 21, EUF
508024202115118, DESOGESTREL + ETINILESTRADIOL, DESOGESTREL ETINILESTRADIOL, NOT FOUND, 0.150 MG + 0.020 MG COM CT BL AL PLAS BCO OPC X 21, EUF
508014010102006, DICLORIDRATO DE BETAISTINA, DICLORIDRATO BETAISTINA, DICLORIDRATO BETAISTINA, 16 MG COM CT BL AL PLAS TRANS X 30, EUF
508014010102106, DICLORIDRATO DE BETAISTINA, DICLORIDRATO BETAISTINA, DICLORIDRATO BETAISTINA, 16 MG COM CT BL AL PLAS TRANS X 60, EUF
508014010102206, DICLORIDRATO DE BETAISTINA, DICLORIDRATO BETAISTINA, DICLORIDRATO BETAISTINA, 24 MG COM CT BL AL PLAS TRANS X 30, EUF
508014010102306, DICLORIDRATO DE BETAISTINA, DICLORIDRATO BETAISTINA, DICLORIDRATO BETAISTINA, 24 MG COM CT BL AL PLAS TRANS X 60, EUF
508014010101906, DICLORIDRATO DE BETAISTINA, DICLORIDRATO BETAISTINA, DICLORIDRATO BETAISTINA, 8 MG COM CT BL AL PLAS TRANS X 30, EUF
508021201134114, DIMETICONA, DIMETICONA, DIMETICONA, 75 MG/ML EMU OR CT FR PLAS OPC GOT X 15 ML, EUF
508013402134129, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR VD AMB GOT X 10 ML, EUF
508013403130119, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR PLAS OPC GOT X 10 ML, EUF
508013401138120, DIPIRONA SÓDICA, DIPIRONA SODICA, NOT FOUND, 500 MG/ML SOL OR CT FR VD AMB GOT X 20 ML, EUF
