508014102118411; SELENE; SELENE; NOT FOUND; (0.035 + 2) MG COM REV CT BL AL PLAS INC X 21; EUF
508014101111411; SELENE; SELENE; NOT FOUND; (0.035 + 2) MG COM REV CT BL AL PLAS INC X 63; EUF
508014103114418; SELENE; SELENE; NOT FOUND; (0.035 + 2) MG COM REV CT BL AL PLAS LEITOSO X 21; EUF
508014104110416; SELENE; SELENE; NOT FOUND; (0.035 + 2) MG COM REV CT BL AL PLAS LEITOSO X 63; EUF
508012070092603; SINOT CLAV; SINOT CLAV; NOT FOUND; 400 MG + 57 MG/5ML PO SUS OR CT FR VD AMB X 100 ML + SER DOS; EUF
508027701139416; SINOT; SINOT; NOT FOUND; 400 MG / 5 ML PO P SUS OR CT FR VD AMB X 100 ML + SER DOS; EUF
508027703131412; SINOT; SINOT; NOT FOUND; 400 MG / 5 ML PO P SUS OR CT FR VD AMB X 60 ML + SER DOS; EUF
508027702119419; SINOT; SINOT; NOT FOUND; 875 MG COM REV CT STR AL X 14; EUF
508027704111415; SINOT; SINOT; NOT FOUND; 875 MG COM REV CT STR AL X 7; EUF
508026404130416; SINOT CLAV; SINOT CLAV; NOT FOUND; 400 MG + 57 MG/5ML PO SUS OR CT FR VD AMB X 70 ML + SER DOS; EUF
508026402111414; SINOT CLAV; SINOT CLAV; NOT FOUND; 875 MG + 125 MG COM REV CT FR VD AMB X 14; EUF
508026401115416; SINOT CLAV; SINOT CLAV; NOT FOUND; 875 MG + 125 MG COM REV CT FR VD AMB X 20; EUF
508026403118412; SINOT CLAV; SINOT CLAV; NOT FOUND; 875 MG + 125 MG COM REV CT FR VD AMB X 6; EUF
508012005158112; SULBACTAM + AMPICILINA; SULBACTAM AMPICILINA; NOT FOUND; 0.5 G + 1 G PO P / SOL INJ CT 20 FA VD INC + 20 AMP PLAS DIL X 3.2 ML ; EUF
508012002159118; SULBACTAM + AMPICILINA; SULBACTAM AMPICILINA; NOT FOUND; 1 G + 2 G PO P / SOL INJ CT 20 FA VD INC + 20 AMP PLAS DIL X 6.4 ML ; EUF
508012202115416; SUPERHIST; SUPERHIST; NOT FOUND; COM CT 25 BL AL PLAS AMB X 8; EUF
508030904150414; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3MG/ML + 0.2MG/ML + 3MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 1000 ML; EUF
508030906153410; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3MG/ML + 0.2MG/ML + 3MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 1000 ML; EUF
508030905157412; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3MG/ML + 0.2MG/ML + 3MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 250 ML; EUF
508030907151411; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3MG/ML + 0.2MG/ML + 3MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 250 ML; EUF
508030901151411; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3 MG/ML + 0.2 MG/ML + 3 MG/ML SOL INJ CX 20 BOLS PVC SIST FECH X 500 ML; EUF
508030902158418; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3 MG/ML + 0.2 MG/ML + 3 MG/ML SOL INJ IV BOLS PP TRANS SIST FECH X 500 ML; EUF
508030903154416; SOLUÇÃO FISIOLÓGICA DE RINGER COM LACTATO; SOLUCAO FISIOLOGICA RINGER LACTATO; NOT FOUND; 6 MG/ML + 0.3 MG/ML + 0.2 MG/ML + 3 MG/ML SOL INJ IV FA PLAS TRANS SIST FECH X 500 ML; EUF
