508014301110427; BEMINAL COM VITAMINA C; BEMINAL VITAMINA C; NOT FOUND; COM REV CT FR FD AMB X 30; EUF
508025901114410; BEMINAL COM VITAMINA C; BEMINAL VITAMINA C; NOT FOUND; COM REV CT FR PLAS OPC X 30; EUF
508014302117425; BEMINAL PLUS; BEMINAL PLUS; NOT FOUND; COM REV CT 01 FR PLAS OPC X 30; EUF
508000903156417; BENZETACIL; BENZETACIL; NOT FOUND; 150.000 U/ML SUS INJ CX 10 FA VD INC X 4 ML (EMB FRAC); EUF
508000905159316; BENZETACIL; BENZETACIL; NOT FOUND; 150.000 UI/ML SUS INJ CX 50 FA VD INC X 4 ML; EUF
508000904152415; BENZETACIL; BENZETACIL; NOT FOUND; 300.000 U/ML SUS INJ CX 10 FA VD INC X 4 ML (EMB FRAC); EUF
508000906155314; BENZETACIL; BENZETACIL; NOT FOUND; 300.000 UI/ML SUS INJ CX 50 FA VD INC X 4 ML; EUF
508012050091603; BENZETACIL; BENZETACIL; NOT FOUND; 300.000 U/ML SUS INJ CT 1 FA VD INC X 4 ML; EUF
508019601155117; BESILATO DE ATRACURIO; BESILATO ATRACURIO; BESILATO ATRACURIO; 10 MG/ML SOL INJ CT 5 AMP VD INC X 2.5 ML ; EUF
508019602151115; BESILATO DE ATRACURIO; BESILATO ATRACURIO; BESILATO ATRACURIO; 10 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML ; EUF
508012050091706; BICALUTAMIDA; BICALUTAMIDA; BICALUTAMIDA; 50 MG COM REV CT BL AL PLAS INC X 30; EUF
508014040104006; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75MG COM REV CT BL AL PLAS INC X 150 (EMB FRAC); EUF
508030001118114; BISSULFATO DE CLOPIDOGREL; BISSULFATO CLOPIDOGREL; BISSULFATO CLOPIDOGREL; 75 MG COM REV CT BL AL PLAS INC X 30; EUF
508001101118112; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 20; EUF
508001102114110; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 3 MG COM CT BL AL PLAS INC X 30; EUF
508001103110119; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 20; EUF
508001104117117; BROMAZEPAM; BROMAZEPAM; BROMAZEPAM; 6 MG COM CT BL AL PLAS INC X 30; EUF
508026001151113; BROMETO DE ROCURÔNIO; BROMETO ROCURONIO; BROMETO ROCURONIO; 10 MG/ML SOL INJ IV CT 12 FA VD INC X 5 ML; EUF
508028201131112; BROMOPRIDA; BROMOPRIDA; BROMOPRIDA; 4MG/ML SOL OR CT FR PLAS OPC GOT X 20ML ; EUF
508022103111411; BUP; BUP; NOT FOUND; 150 MG COM REV CT BL AL/AL X 12; EUF
508022101117410; BUP; BUP; NOT FOUND; 150 MG COM REV CT BL AL/AL X 30; EUF
508022102113419; BUP; BUP; NOT FOUND; 150 MG COM REV CT BL AL/AL X 60; EUF
508028601111410; BEUM; BEUM; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 20; EUF
508028602118419; BEUM; BEUM; NOT FOUND; 300 MG COM REV CT BL AL PLAS INC X 30; EUF
508014010101703; BETINA; BETINA; NOT FOUND; 16 MG COM CT BL AL PLAS TRANS X 20; EUF
508013110100004; BETINA; BETINA; NOT FOUND; 16 MG COM CT BL AL PLAS TRANS X 30; EUF
508013110100104; BETINA; BETINA; NOT FOUND; 16 MG COM CT BL AL PLAS TRANS X 60; EUF
508014010101803; BETINA; BETINA; NOT FOUND; 24 MG COM CT BL AL PLAS TRANS X 20; EUF
508013110100304; BETINA; BETINA; NOT FOUND; 24 MG COM CT BL AL PLAS TRANS X 30; EUF
508013110100204; BETINA; BETINA; NOT FOUND; 24 MG COM CT BL AL PLAS TRANS X 60; EUF
508013110099904; BETINA; BETINA; NOT FOUND; 8 MG COM CT BL AL PLAS TRANS X 30; EUF
508014040103904; BETATRINTA; BETATRINTA; NOT FOUND; 5 MG/ML + 2 MG/ML SUS INJ CT AMP VD INC X 1 ML + SER SIST SEG; EUF
508017901151412; BETATRINTA; BETATRINTA; NOT FOUND; 5 MG/ML + 2 MG/ML SUS INJ CT 01 AMP VD INC X 1 ML + SER ; EUF
508029101112416; BETES; BETES; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 30; EUF
508029103115412; BETES; BETES; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30; EUF
508029102119414; BETES; BETES; NOT FOUND; 4 MG COM CT BL AL PLAS INC X 30; EUF
508012080092704; BART H; BART H; NOT FOUND; 150 MG + 12.5 MG COM CT BL AL PLAS INC X 30; EUF
508012080092804; BART H; BART H; NOT FOUND; 300 MG + 12.5 MG COM CT BL AL PLAS INC X 30; EUF
