508008601116116, LAMIVUDINA, LAMIVUDINA, LAMIVUDINA, 150 MG COM REV CT FR PLAS OPC X 60 (EMB. HOSP.), EUF
508022201111112, LETROZOL, LETROZOL, LETROZOL, 2.5 MG COM REV CT BL AL PLAS INC X 28, EUF
508022202118110, LETROZOL, LETROZOL, LETROZOL, 2.5 MG COM REV CT BL AL PLAS INC X 30, EUF
508008706155111, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 5 MG/ML SOL INJ CT 6 BOLS PLAS INC X 100 ML, EUF
508008707119119, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG COM REV CT BL AL PLAS INC X 3, EUF
508008705159113, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, 500 MG/100 ML CT C/1 BOLSA, EUF
508008701153110, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, CT C/ 1 FR AMP 100ML, EUF
508008702117118, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, CT C/ 10 COMP 500MG, EUF
508008703113116, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, CT C/ 7 COMP 250MG, EUF
508008704111117, LEVOFLOXACINO, LEVOFLOXACINO, LEVOFLOXACINO, CT C/ 7 COMP 500MG, EUF
508005103115415, LEVOGEN, LEVOGEN, NOT FOUND, 0.150 MG + 0.030 MG COM REV CT BL AL PLAS INC X 21, EUF
508005101112419, LEVOGEN, LEVOGEN, NOT FOUND, 0.150 MG + 0.030 MG COM REV CT BL AL PLAS INC X 63, EUF
508008801115415, LINATIS, LINATIS, NOT FOUND, 0.35MG CX C/5 BL X 7, EUF
508008901160412, LOCOID, LOCOID, NOT FOUND, CT C/ 1 BISN - 15 G - CREME DERMATOLOGICO, EUF
508008902175413, LOCOID, LOCOID, NOT FOUND, CT C/ 1 FR - 30 G - EMULSAO DERMATOLOGICA, EUF
508016301134111, LORATADINA + SULF. PSEUDOEFEDRINA, LORATADINA SULF PSEUDOEFEDRINA, NOT FOUND, XAROPE 60ML, EUF
508021001119413, LORED, LORED, NOT FOUND, 2.5MG + 50 MG CAP GEL DURA CT STR AL X 30, EUF
508021002115411, LORED, LORED, NOT FOUND, 5 MG + 100 MG CAP GEL DURA CT STR AL X 30, EUF
508019201114111, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG COM REV CT BL AL PLAS LEIT X 15, EUF
508019202110111, LOSARTANA POTÁSSICA, LOSARTANA POTASSICA, LOSARTANA POTASSICA, 50 MG CT C/ 30 CPR, EUF
508024902117113, LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA, LOSARTANA POTASSICA HIDROCLOROTIAZIDA, NOT FOUND, 100 MG + 25 MG COM REV CT BL AL PLAS OPC X 30, EUF
508024901110115, LOSARTANA POTÁSSICA + HIDROCLOROTIAZIDA, LOSARTANA POTASSICA HIDROCLOROTIAZIDA, NOT FOUND, 50 MG + 12.5 MG COM REV CT BL AL PLAS OPC X 30, EUF
508008601116116, LAMIVUDINA, LAMIVUDINA, LAMIVUDINA, 150 MG COM REV CT FR PLAS OPC X 60 (EMB. HOSP.), EUF
508022201111112, LETROZOL, LETROZOL, LETROZOL, 2.5 MG COM REV CT BL AL PLAS INC X 28, EUF
