506714060053006; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CX BL AL PLAS AMB X 100 (EMB FRAC); CT6
506716501113111; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 20; CT6
506716502111110; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); CT6
506716503116116; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 10 MG COM CT BL AL PLAS AMB X 30; CT6
506716504112114; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 20 ; CT6
506716505119112; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); CT6
506716506115110; BESILATO DE ANLODIPINO; BESILATO ANLODIPINO; BESILATO ANLODIPINO; 5 MG COM CT BL AL PLAS AMB X 30; CT6
506714120053803; BREVIBLOC; BREVIBLOC; NOT FOUND; 10 MG/ML SOL INJ CX 25 FA VD AMB X 10 ML (EMB. HOSP.); CT6
506701601151414; BREVIBLOC; BREVIBLOC; NOT FOUND; 10 MG/ML SOL INJ CX 20 FA VD AMB X 10 ML EMB HOSP; CT6
506701602156411; BREVIBLOC; BREVIBLOC; NOT FOUND; 250 MG/ML SOL INJ CX 10 AMP VD AMB X 10 ML EMB HOSP; CT6
506714120053703; BIOFLAC; BIOFLAC; NOT FOUND; 15 MG COM CT BL AL/AL X 5; CT6
506701502151416; BIOFLAC; BIOFLAC; NOT FOUND; 15 MG SOL INJ CX 5 AMP VD INC X 1.5 ML; CT6
506712030045903; BIOFLAC; BIOFLAC; NOT FOUND; 15 MG SOL INJ CX 1 AMP VD INC X 1.5 ML + SERINGA +AG; CT6
506701501112417; BIOFLAC; BIOFLAC; NOT FOUND; 15 MG COM CT BL AL/AL X 10; CT6
506701503115413; BIOFLAC; BIOFLAC; NOT FOUND; 7.5 MG COM CT BL AL/AL X 10; CT6
506700901176414; BARIOGEL; BARIOGEL; NOT FOUND; SUS OR CP PLAST X 150 ML; CT6
506700902172412; BARIOGEL; BARIOGEL; NOT FOUND; SUS OR CP PLAST X 200 ML; CT6
506700903136411; BARIOGEL; BARIOGEL; NOT FOUND; SUS ORAL CX 10 CP PLAST X 150 ML; CT6
506700904132418; BARIOGEL; BARIOGEL; NOT FOUND; SUS ORAL CX 10 CP PLAST X 200 ML; CT6
506700802151413; BACTOMAX; BACTOMAX; NOT FOUND; 66.66 MG/ML PO LIOF INJ CT FA VD INC + AMP DIL X 3 ML; CT6
506700804154411; BACTOMAX; BACTOMAX; NOT FOUND; 66.66 MG/ML PO LIOF INJ CX 10 FA VD INC + 10 AMP DIL X 3 ML; CT6
506700801155415; BACTOMAX; BACTOMAX; NOT FOUND; 133.33 MG/ML PO LIOF INJ CT FA VD INC + AMP DIL X 3 ML; CT6
506700803158411; BACTOMAX; BACTOMAX; NOT FOUND; 133.33 MG/ML PO LIOF INJ CX 10 FA VD INC + 10 AMP DIL X 3 ML; CT6
