506703601114418; DENYL; DENYL; NOT FOUND; 20 MG COM CT BL AL PLAS INC X 14; CT6
506703602110416; DENYL; DENYL; NOT FOUND; 20 MG COM CT 2 BL AL PLAS INC X 14; CT6
506703603117414; DENYL; DENYL; NOT FOUND; 40 MG COM CT BL AL PLAS INC X 14; CT6
506712070046503; DENYL; DENYL; NOT FOUND; 20 MG COM CX BL AL PLAS TRANS X 200 (EMB HOSP); CT6
506715020057503; DIFENIDRIN; DIFENIDRIN; NOT FOUND; 50 MG/ML SOL INJ CX 36 AMP VD AMB X 1 ML (EMB HOSP); CT6
506704101158414; DIFENIDRIN; DIFENIDRIN; NOT FOUND; 50 MG/ML SOL INJ CX 25 AMP VD AMB X 1 ML (EMB HOSP); CT6
506714120054303; DOPACRIS; DOPACRIS; NOT FOUND; 5 MG/ML SOL INJ CX 10 AMP VD AMB X 10 ML (EMB HOSP); CT6
506704501156419; DOPACRIS; DOPACRIS; NOT FOUND; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML EMB HOSP; CT6
506715010054903; DORMIRE; DORMIRE; NOT FOUND; 5 MG/ML  SOL INJ CX 10 AMP VD AMB X 3 ML (EMB HOSP); CT6
506704605156415; DORMIRE; DORMIRE; NOT FOUND; 1 MG/ML SOL INJ CX 5 AMP VD AMB X 5 ML; CT6
506704606152413; DORMIRE; DORMIRE; NOT FOUND; 1 MG/ML SOL INJ CX 50 AMP VD AMB X 5 ML; CT6
506704604151411; DORMIRE; DORMIRE; NOT FOUND; 5 MG/ML SOL INJ CX 5 AMP VD AMB X 10 ML; CT6
506704607159411; DORMIRE; DORMIRE; NOT FOUND; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 10 ML; CT6
506704601150412; DORMIRE; DORMIRE; NOT FOUND; 5 MG/ML SOL INJ CX 5 AMP VD AMB X 3 ML; CT6
506704608155411; DORMIRE; DORMIRE; NOT FOUND; 5 MG/ML SOL INJ CX 50 AMP VD AMB X 3 ML (EMB HOSP); CT6
506715020057203; DOLOSAL; DOLOSAL; NOT FOUND; 50 MG/ML SOL INJ CX 36 AMP VD AMB X 2 ML (EMB HOSP); CT6
506704401151415; DOLOSAL; DOLOSAL; NOT FOUND;  50 MG/ML SOL INJ CX 25 AMP VD AMB X 2 ML (EMB HOSP); CT6
506703501152415; DANTROLEN; DANTROLEN; NOT FOUND; 20 MG PO LIOF CX 12 FA VD INC REST HOSP; CT6
506703801131111; DEXAMETASONA; DEXAMETASONA; DEXAMETASONA; 0.1 MG/ML  ELX CT FR VD AMB X 120 ML + CP MED; CT6
506703701161418; DEXAMESON; DEXAMESON; NOT FOUND; 1 MG/G CREM DERM CX 50 BG AL X 10 G; CT6
506704001161111; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; DICLOFENACO DIETILAMONIO; 10 MG/G GEL CREM CT BG AL X 60 G; CT6
506704801151412; DUOFLAM; DUOFLAM; NOT FOUND; 6.43 MG/ML + 2.63 MG/ML SUS INJ CT 1 AMP VD INC X 1 ML + SER; CT6
506712060046403; DUOFLAM; DUOFLAM; NOT FOUND; 6.43 MG/ML + 2.63 MG/ML SUS INJ CX 24 AMP VD TRANS X 1 ML (EMB HOSP); CT6
506704701155416; DROPERDAL; DROPERDAL; NOT FOUND; 2.5 MG/ML SOL INJ CX  50 AMP VD INC X 1 ML (EMB. HOSP.); CT6
506713010050003; DROPERDAL; DROPERDAL; NOT FOUND; 2.5 MG/ML SOL INJ CX  50 AMP VD AMB X 1 ML (EMB HOSP); CT6
506715010055503; DIMORF; DIMORF; NOT FOUND; 0.2 MG/ML SOL INJ CX 36 AMP VD AMB X 1 ML (EMB HOSP); CT6
506715020055903; DIMORF; DIMORF; NOT FOUND; 1.0 MG/ML SOL INJ CX 36 AMP VD AMB X 2 ML (EMB HOSP); CT6
506715020056703; DIMORF; DIMORF; NOT FOUND; 10.0 MG/ML SOL INJ CX 36 AMP VD AMB X 1 ML (EMB HOSP); CT6
506704210151313; DIMORF; DIMORF; NOT FOUND; 0.1 MG/ML SOL INJ CX 50 EST AMP VD AMB X 1 ML EMB HOSP ; CT6
506704201152310; DIMORF; DIMORF; NOT FOUND; 0.2 MG/ML SOL INJ CX 50 EST AMP VD AMB X 1 ML; CT6
506712100049203; DIMORF; DIMORF; NOT FOUND; 0.2 MG/ML SOL INJ CX 50 AMP VD AMB X 1 ML; CT6
