506718201117418; QUINACRIS; QUINACRIS; NOT FOUND; 250 MG COM REV CT BL AL PLAS INC X 10 (EMB HOSP); CT6
506718202113416; QUINACRIS; QUINACRIS; NOT FOUND; 250 MG COM REV CX 20 BL AL PLAS INC X 10; CT6
506719602115414; QUETIPIN; QUETIPIN; NOT FOUND; 100 MG COM REV CT BL AL PLAS TRANS X 14; CT6
506719603111412; QUETIPIN; QUETIPIN; NOT FOUND; 100 MG COM REV CT BL AL PLAS TRANS X 200 (EMB HOSP); CT6
506719604118410; QUETIPIN; QUETIPIN; NOT FOUND; 100 MG COM REV CT BL AL PLAS TRANS X 28; CT6
506719605114419; QUETIPIN; QUETIPIN; NOT FOUND; 200 MG COM REV CT BL AL PLAS TRANS X 14; CT6
506719606110417; QUETIPIN; QUETIPIN; NOT FOUND; 200 MG COM REV CT BL AL PLAS TRANS X 200 (EMB HOSP); CT6
506719601119416; QUETIPIN; QUETIPIN; NOT FOUND; 200 MG COM REV CT BL AL PLAS TRANS X 28; CT6
506719607117415; QUETIPIN; QUETIPIN; NOT FOUND; 25 MG COM REV CT BL AL PLAS TRANS X 14; CT6
506719609111414; QUETIPIN; QUETIPIN; NOT FOUND; 25 MG COM REV CT BL AL PLAS TRANS X 200 (EMB HOSP); CT6
506719608113413; QUETIPIN; QUETIPIN; NOT FOUND; 25 MG COM REV CT BL AL PLAS TRANS X 28; CT6
