527302501154311; ORGALUTRAN; ORGALUTRAN; NOT FOUND; 0.5 MG/ML SOL INJ CT SER VD PREENCHIDA X 0.5 ML; NO_ACR
527302601116314; ORMIGREIN; ORMIGREIN; NOT FOUND; COM CT  ENV AL  X 10; NO_ACR
527302602112312; ORMIGREIN; ORMIGREIN; NOT FOUND; COM CT 2 BL AL/AL X 10; NO_ACR
505605001114411; OSTRIOL; OSTRIOL; NOT FOUND; 0.25 MCG CAP GEL MOLE CT BL AL PLAS AMB X 30; NO_ACR
513901601131414; OSCÁLCIO COLOIDAL; OSCALCIO COLOIDAL; NOT FOUND; FR COM 150 ML; NO_ACR
513901501135418; ORALDRAX; ORALDRAX; NOT FOUND; SOL ORAL CT FR VD INC X 400 ML; NO_ACR
540600101178411; OLIG-TRAT; OLIG TRAT; NOT FOUND; 22.00 MG + 6.30 MG + 2.46 MG + 102.50 MCG SOL INJ IV CX 50 AMP VD INC X 2 ML; NO_ACR
540600102158414; OLIG-TRAT; OLIG TRAT; NOT FOUND; 8.80 MG + 1.60 MG + 123.04 MCG + 20.50 MCG SOL INJ IV CX 50 AMP VD INC X 4 ML; NO_ACR
527304601156312; ONICIT; ONICIT; NOT FOUND; 0.05 MG/ML SOL INJ CT FA VD INC X 1.5 ML; NO_ACR
527313070010414; ONICIT; ONICIT; NOT FOUND; 0.05 MG/ML SOL INJ CT FA VD INC X 5 ML; NO_ACR
537700501151316; ONICIT; ONICIT; NOT FOUND; 0.05 MG/ML SOL INJ CT 1 FA VD INC X 5 ML; NO_ACR
527302701110318; OVESTRION; OVESTRION; NOT FOUND; 1 MG COM CT BL AL PLAS INC X 30; NO_ACR
537701201161314; OVESTRION; OVESTRION; NOT FOUND; 1 MG/G CREM CT BG AL X 15 + APLICADOR; NO_ACR
527302702168311; OVESTRION; OVESTRION; NOT FOUND; 1 MG/G CREM VAG CT BG AL X 50G + APLIC; NO_ACR
527302703113314; OVESTRION; OVESTRION; NOT FOUND; 2 MG COM CT BL AL PLAS INC X 30; NO_ACR
541613060002004; OMNISCAN; OMNISCAN; NOT FOUND; 287 MG / ML SOL INJ CT FA VC INC X 10 ML ; NO_ACR
541613060001904; OMNISCAN; OMNISCAN; NOT FOUND; 287 MG / ML SOL INJ CT FA VC INC X 15 ML  ; NO_ACR
541613060002104; OMNISCAN; OMNISCAN; NOT FOUND; 287 MG / ML SOL INJ CT FA VC INC X 20 ML  ; NO_ACR
524500305152212; OPTIMARK; OPTIMARK; NOT FOUND; 330.9 MG/ML SOL INJ CT 10 FA VD INC X 10 ML; NO_ACR
524500307155219; OPTIMARK; OPTIMARK; NOT FOUND; 330.9 MG/ML SOL INJ CT 10  SER PLAS X 10 ML; NO_ACR
524500303151219; OPTIMARK; OPTIMARK; NOT FOUND; 330.9 MG/ML SOL INJ CT 10  SER PLAS X 15 ML; NO_ACR
524500306159210; OPTIMARK; OPTIMARK; NOT FOUND; 330.9 MG/ML SOL INJ CT 10 FA VD INC X 15 ML; NO_ACR
524500302153218; OPTIMARK; OPTIMARK; NOT FOUND; 330.9 MG/ML SOL INJ CT 10 FA VD INC X  20  ML; NO_ACR
524500304156214; OPTIMARK; OPTIMARK; NOT FOUND; 330.9 MG/ML SOL INJ CT 10  SER PLAS X 20 ML; NO_ACR
524500301157211; OPTIMARK; OPTIMARK; NOT FOUND; 330.9 MG/ML SOL INJ CT 10  SER PLAS X 30 ML; NO_ACR
541612030000314; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 300 MG I/ML SOL INJ CT FR VD INC X 100 ML; NO_ACR
541612040000603; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 300 MG I/ML SOL INJ CT FR PLAS TRANS X 100 ML; NO_ACR
541612030000414; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 300 MG I/ML SOL INJ CT FA VD INC X 20 ML; NO_ACR
541612030000014; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 300 MG I/ML SOL INJ CT FR VD INC X 50 ML; NO_ACR
541612040000503; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 300 MG I/ML SOL INJ CT FR PLAS TRANS X 50 ML; NO_ACR
541612030000214; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 350 MG I/ML SOL INJ CT FR VD INC X 100 ML; NO_ACR
541612040000803; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 350 MG I/ML SOL INJ CT FR PLAS TRANS X 100 ML; NO_ACR
541612030000114; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 350 MG I/ML SOL INJ CT FR VD INC X 50 ML; NO_ACR
541612040000703; OMNIPAQUE; OMNIPAQUE; NOT FOUND; 350 MG I/ML SOL INJ CT FR PLAS TRANS X 50 ML; NO_ACR
524500415152217; OPTIRAY; OPTIRAY; NOT FOUND; 509 MG/ML SOL INJ CT 12 FA VD INC X 100 ML ; NO_ACR
524500416159215; OPTIRAY; OPTIRAY; NOT FOUND; 509 MG/ML SOL INJ CT 20 SER PLAS X 125 ML; NO_ACR
524500414156219; OPTIRAY; OPTIRAY; NOT FOUND; 509 MG/ML SOL INJ CT 25 FA VD INC X 50ML ; NO_ACR
524500402158211; OPTIRAY; OPTIRAY; NOT FOUND; 678 MG/ML SOL INJ CT 12 FR VD INC X 100 ML; NO_ACR
524501101151313; OPTIRAY; OPTIRAY; NOT FOUND; 678 MG/ML SOL INJ CT 20 SER PLAS X 100ML; NO_ACR
524500403154211; OPTIRAY; OPTIRAY; NOT FOUND; 678 MG/ML SOL INJ CT 20 SER PLAS X 125 ML; NO_ACR
524500404150218; OPTIRAY; OPTIRAY; NOT FOUND; 678 MG/ML SOL INJ CT 25 FA VD INC X 20 ML; NO_ACR
524500401151213; OPTIRAY; OPTIRAY; NOT FOUND; 678 MG/ML SOL INJ CT 20 SER PLAS X 50 ML; NO_ACR
524500405157216; OPTIRAY; OPTIRAY; NOT FOUND; 678 MG/ML SOL INJ CT 25 FA VD INC X 50 ML; NO_ACR
524501201156317; OPTIRAY; OPTIRAY; NOT FOUND; 678 MG/ML SOL INJ CT 20 SER PLAS X 75ML; NO_ACR
524500407151215; OPTIRAY; OPTIRAY; NOT FOUND; 741 MG/ML SOL INJ CT 12 FR VD INC X 100 ML; NO_ACR
