502304701163314, XYLOPROCT, XYLOPROCT, NOT FOUND, 50MG + 2.5MG + 180MG + 35MG POM RET CT BG AL X 25 G + 10 APLICADORES, NO_ACR
501103401131410, XANTINON COMPLEX, XANTINON COMPLEX, NOT FOUND, 40 MG/ML + 53 MG/ML + 50 MG/ML SOL OR CT 12 FLAC X 10 ML, NO_ACR
501103402136416, XANTINON COMPLEX, XANTINON COMPLEX, NOT FOUND, 40 MG/ML + 53 MG/ML + 50 MG/ML SOL OR CT 60 FLAC X 10 ML (EMB MULT), NO_ACR
501103301119419, XANTINON, XANTINON, NOT FOUND, 100 MG + 20 MG COM REV CT BL AL PLAS INC X 100 (EMB HOSP), NO_ACR
501103302115417, XANTINON, XANTINON, NOT FOUND, 100 MG + 20 MG COM REV CT BL AL PLAS INC X 20, NO_ACR
501103306110312, XANTINON, XANTINON, NOT FOUND, 100 MG + 20 MG COM REV CT BL AL PLAS INC X 30, NO_ACR
501103305130417, XANTINON COMPLEX, XANTINON COMPLEX, NOT FOUND, 40 MG/ML + 53 MG/ML + 50 MG/ML SOL OR CT FR VD AMB X 100 ML, NO_ACR
507603102157218, XIGRIS, XIGRIS, NOT FOUND, 20 MG PO LIOF INJ CT FA VD INC X 20 ML, NO_ACR
507603101150211, XIGRIS, XIGRIS, NOT FOUND, 5 MG PO LIOF INJ CT FA VD INC X 5ML, NO_ACR
504113903116411, XANTUR, XANTUR, NOT FOUND, 100 MG COM CT 2 BL AL PLAS INC X 15, NO_ACR
504113901113415, XANTUR, XANTUR, NOT FOUND, 300 MG COM CT BL AL PLAS INC X 15, NO_ACR
504113902111416, XANTUR, XANTUR, NOT FOUND, 300 MG COM CT 2 BL AL PLAS INC X 15, NO_ACR
528700801131419, XAROPE 44E, XAROPE 44E, NOT FOUND, 1.30 MG/ML + 13.30 MG/ML XPE  FR PLAS TRANS X 120 ML, NO_ACR
528700802136414, XAROPE 44E, XAROPE 44E, NOT FOUND, 1.30 MG/ML + 13.30 MG/ML  XPE  FR PLAS TRANS X 120 ML(CAMOMILA), NO_ACR
529206703112315, XELODA, XELODA, NOT FOUND, 150 MG COM REV CT 6 BL AL PLAS INC X 10, NO_ACR
529206704119313, XELODA, XELODA, NOT FOUND, 500 MG COM REV CT 12 BL AL  PLAS INC X 10, NO_ACR
502820401119313, XATRAL OD, XATRAL OD, NOT FOUND, 10 MG COM CAM TRP LP CT BL AL PLAS INC X 10, NO_ACR
502820402115311, XATRAL OD, XATRAL OD, NOT FOUND, 10 MG COM CAM TRP LP CT BL AL PLAS INC X 30, NO_ACR
