528105001165419, QUADRINAX, QUADRINAX, NOT FOUND, 0.50 MG + 1.00MG + 10.00MG + 10.00MG CREM DERM CT BG AL X 20 G, NO_ACR
528105002161417, QUADRINAX, QUADRINAX, NOT FOUND, 0.50MG + 1.00MG + 10.00MG + 10.00MG POM DERM CT BG AL X 20 G, NO_ACR
510612040047404, QUEOPINE, QUEOPINE, NOT FOUND, 100 MG COM REV CT BL AL PLAS BR  X 10, NO_ACR
510612040047304, QUEOPINE, QUEOPINE, NOT FOUND, 100 MG COM REV CT BL AL PLAS BR X 14, NO_ACR
510612040047504, QUEOPINE, QUEOPINE, NOT FOUND, 100 MG COM REV CT BL AL PLAS BR X 20, NO_ACR
510612040046904, QUEOPINE, QUEOPINE, NOT FOUND, 100 MG COM REV CT BL AL PLAS BR X 28, NO_ACR
531626502111411, QUEROPAX, QUEROPAX, NOT FOUND, 100 MG COM REV CT BL AL PLAS OPC X 30, NO_ACR
510612040047104, QUEOPINE, QUEOPINE, NOT FOUND, 100 MG COM REV CT BL AL PLAS BR X 30, NO_ACR
510612040047004, QUEOPINE, QUEOPINE, NOT FOUND, 100 MG COM REV CT BL AL PLAS BR X 7 , NO_ACR
510612040047704, QUEOPINE, QUEOPINE, NOT FOUND, 200 MG COM REV CT BL AL PLAS BR X 10, NO_ACR
510612040046004, QUEOPINE, QUEOPINE, NOT FOUND, 200 MG COM REV CT BL AL PLAS BR X 14, NO_ACR
510612040046104, QUEOPINE, QUEOPINE, NOT FOUND, 200 MG COM REV CT BL AL PLAS BR X 20, NO_ACR
510612040046204, QUEOPINE, QUEOPINE, NOT FOUND, 200 MG COM REV CT BL AL PLAS BR X 28, NO_ACR
531626503118418, QUEROPAX, QUEROPAX, NOT FOUND, 200 MG COM REV CT BL AL PLAS OPC X 30, NO_ACR
510612040046304, QUEOPINE, QUEOPINE, NOT FOUND, 200 MG COM REV CT BL AL PLAS BR X 30, NO_ACR
510612040047604, QUEOPINE, QUEOPINE, NOT FOUND, 200 MG COM REV CT BL AL PLAS BR X 7 , NO_ACR
510612040046604, QUEOPINE, QUEOPINE, NOT FOUND, 25 MG COM REV CT BL AL PLAS BR X 10, NO_ACR
531626501115411, QUEROPAX, QUEROPAX, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 14, NO_ACR
510612040046704, QUEOPINE, QUEOPINE, NOT FOUND, 25 MG COM REV CT BL AL PLAS BR X 14, NO_ACR
510612040046404, QUEOPINE, QUEOPINE, NOT FOUND, 25 MG COM REV CT BL AL PLAS BR X 20, NO_ACR
510612040046804, QUEOPINE, QUEOPINE, NOT FOUND, 25 MG COM REV CT BL AL PLAS BR X 28, NO_ACR
531613020069003, QUEROPAX, QUEROPAX, NOT FOUND, 25 MG COM REV CT BL AL PLAS OPC X 30, NO_ACR
510612040047204, QUEOPINE, QUEOPINE, NOT FOUND, 25 MG COM REV CT BL AL PLAS BR X 30, NO_ACR
510612040046504, QUEOPINE, QUEOPINE, NOT FOUND, 25 MG COM REV CT BL AL PLAS BR X 7 , NO_ACR
531613040069104, QUEROPAX, QUEROPAX, NOT FOUND, 300 MG COM REV CT BL AL PLAS OPC X 30, NO_ACR
507721801111416, QUINOFORM, QUINOFORM, NOT FOUND, 400 MG COM REV CT FR VD AMB X 14 , NO_ACR
