502601001158411, KYBERNIN P, KYBERNIN P, NOT FOUND, 50 UI/ML PO LIOF INJ CT FA + DIL X 20 ML+ DISPOSITIVO DE TRANSFERENCIA, NO_ACR
502601002154418, KYBERNIN P, KYBERNIN P, NOT FOUND, 50 UI/ML PO LIOF INJ CT FA DIL X 10 ML + DISPOSITIVO DE TRANSF, NO_ACR
507743203118418, KOLEVAS, KOLEVAS, NOT FOUND, 10 MG COM REV CT BL AL/AL X 30, NO_ACR
507743202111411, KOLEVAS, KOLEVAS, NOT FOUND, 20 MG COM REV CT BL AL/AL X 30, NO_ACR
507743201115411, KOLEVAS, KOLEVAS, NOT FOUND, 40 MG COM REV CT BL AL/AL X 30, NO_ACR
501300404115414, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 200 (EMB HOSP), NO_ACR
501300401116411, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 40, NO_ACR
501300402112418, KEFORAL, KEFORAL, NOT FOUND, 500 MG CAP GEL DURA CT BL AL PLAS INC X 8, NO_ACR
501300301154311, KEFLIN NEUTRO, KEFLIN NEUTRO, NOT FOUND, 1 G PO INJ CT 50 FA VD INC CAPAC. 10ML (EMB HOSP), NO_ACR
501300201151319, KEFAZOL, KEFAZOL, NOT FOUND, 1 G PO INJ CT 50 FA VD INC CAPAC. 10ML, NO_ACR
501300204159418, KEFAZOL, KEFAZOL, NOT FOUND, 1G PO INJ CX 50 FA VD INC CAPAC. 10ML + 50 BOLS FLEX (SIST FEC) X 100ML (EMB HOSP), NO_ACR
501300202156314, KEFAZOL, KEFAZOL, NOT FOUND, 250 MG PO INJ CT FA VD INC CAPAC. 10ML+AMP DIL X2ML (125MG/ML APOS REC), NO_ACR
501300203152312, KEFAZOL, KEFAZOL, NOT FOUND, 500MG PO INJ CT FA VD INC CAPAC. 10ML+AMP DIL X2ML (225MG/ML APOS REC), NO_ACR
501301303150417, KEFAXIM, KEFAXIM, NOT FOUND, 1G PO INJ CT FA VD INC X 10 ML, NO_ACR
501300901151419, KEFOX, KEFOX, NOT FOUND, 1 G PO INJ CT 25 FA VD INC X 10 ML, NO_ACR
501300902158417, KEFOX, KEFOX, NOT FOUND, 1 G PO INJ CT 25 FA VD INC X 10 ML + 25 AMP DIL X 10 ML, NO_ACR
501300903154415, KEFOX, KEFOX, NOT FOUND, 1 G PO INJ CX 25 FA VD INC X 10 ML + 25 BOLS FLEX (SIST FEC) X 100 ML (EMB HOSP), NO_ACR
501314070018603, KEFADIM, KEFADIM, NOT FOUND, 1 G PO INJ CX 50 FA VD TRANS TIPO I, NO_ACR
501300801157415, KEFADIM, KEFADIM, NOT FOUND, 1 G PO INJ CT FA VD TRANS TIPO I, NO_ACR
501300802153413, KEFADIM, KEFADIM, NOT FOUND, 1 G PO INJ CT 25 FA VD TRANS TIPO I (EMB. HOSP), NO_ACR
501300701152411, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 25 FA VD INC X 10 ML , NO_ACR
501300702159411, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 25 FA VD INC X 10 ML + 25 AMP PLAS DIL X 10 ML , NO_ACR
501300703155418, KEFTRON, KEFTRON, NOT FOUND, 1G PO INJ CT 50 FA VD INC X 10 ML, NO_ACR
