507723503132411; SUPLEVIT; SUPLEVIT; NOT FOUND; SOL FR C/120ML; NO_ACR
507723502111410; SUPLEVIT; SUPLEVIT; NOT FOUND; FR C/20 DRG; NO_ACR
511303902113412; SUPLAN; SUPLAN; NOT FOUND; GEST FR. C/ 30 COMPR. VER.; NO_ACR
511303901117422; SUPLAN; SUPLAN; NOT FOUND; COMPR. CX. C/ 30; NO_ACR
531614050073803; SIGMACALCIDOL; SIGMACALCIDOL; NOT FOUND; 0.25 MCG CAP GEL MOLE CT FR VD AMB X 30; NO_ACR
531614050073903; SIGMACALCIDOL; SIGMACALCIDOL; NOT FOUND; 1.00 MCG CAP GEL MOLE CT FR VD AMB X 30; NO_ACR
531603601113411; SIGMACALCIDOL; SIGMACALCIDOL; NOT FOUND; 0.25 MCG CAP GEL MOLE CT FR PLAS OPC X 30 ; NO_ACR
531603602111412; SIGMACALCIDOL; SIGMACALCIDOL; NOT FOUND; 1.00 MCG CAP GEL MOLE CT FR PLAS OPC X 30 ; NO_ACR
531627101110410; SIGMA CLAV BD; SIGMA CLAV BD; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL/AL X 14; NO_ACR
531627104111418; SIGMA CLAV BD; SIGMA CLAV BD; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL/AL X 20; NO_ACR
531627103113417; SIGMA CLAV BD; SIGMA CLAV BD; NOT FOUND; 500 MG + 125 MG COM REV CT BL AL/AL X 18; NO_ACR
531627102133414; SIGMA CLAV BD; SIGMA CLAV BD; NOT FOUND; (5600 + 798) MG PO PREP EXTEMP SUS OR CT FR PLAST OPC X 70 ML (80 + 11.40) MG/ML APOS REC.; NO_ACR
540913040009714; SULBAMOX; SULBAMOX; NOT FOUND; 1000 MG +500 MG PO INJ CT FA VD INC + AMP DIL VD INC X 5 ML; NO_ACR
540913040010014; SULBAMOX; SULBAMOX; NOT FOUND; 25 MG/ML +25 MG/ML PO PREP EXT CT FR PLAS OPC X 30 G (CAP 60 ML) + DOSIF; NO_ACR
540913040010114; SULBAMOX; SULBAMOX; NOT FOUND; 250 MG +250 MG COM REV CT BL AL PVC X 16; NO_ACR
540913040010214; SULBAMOX; SULBAMOX; NOT FOUND; 250 MG +250 MG COM REV CT BL AL PVC X 8; NO_ACR
540913040010314; SULBAMOX; SULBAMOX; NOT FOUND; 50 MG/ML +50 MG/ML PO PREP EXT CT FR PLAS OPC X 30 G (CAP 60 ML) + DOSIF; NO_ACR
540913040009814; SULBAMOX; SULBAMOX; NOT FOUND; 200 MG/ML + 50 MG/ML PO PREP EXT FR PLAS OPC X 15 G (CAP 30 ML) + DOSIF ; NO_ACR
540913040009914; SULBAMOX; SULBAMOX; NOT FOUND; 200 MG/ML + 50 MG/ML PO PREP EXT FR PLAS OPC X 30 G (CAP 60 ML) + DOSIF ; NO_ACR
540913040010414; SULBAMOX; SULBAMOX; NOT FOUND; 500 MG + 500 MG COM REV CT BL AL PVC X 16; NO_ACR
540913040010614; SULBAMOX; SULBAMOX; NOT FOUND; 500 MG +500 MG COM REV CT BL AL PVC X 8; NO_ACR
540913040010514; SULBAMOX; SULBAMOX; NOT FOUND; 500 MG +250 MG PO INJ CT FA VD INC + AMP DIL VD INC X 5 ML; NO_ACR
540913040010714; SULBAMOX; SULBAMOX; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS INC X 10 ; NO_ACR
540913040010814; SULBAMOX; SULBAMOX; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
540913040012314; SULBAMOX; SULBAMOX; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
505606201151416; SULBACTER; SULBACTER; NOT FOUND; 1000 MG + 500 MG PO INJ CT 20 FA VD INC + 20 AMP DIL X 10 ML; NO_ACR
505606206151414; SULBACTER; SULBACTER; NOT FOUND; 1000 MG + 500 MG  PO INJ CT 30 FA VD INC; NO_ACR
541512030000314; SULBACTER; SULBACTER; NOT FOUND; 1000 MG + 500 MG PO INJ CT 30 FA VD INC; NO_ACR
505606202156411; SULBACTER; SULBACTER; NOT FOUND; 2000 MG + 1000 MG  PO INJ CT 20 FA VD INC + 20 AMP DIL X 10 ML ; NO_ACR
505606204159418; SULBACTER; SULBACTER; NOT FOUND; 2000 MG + 1000 MG PO INJ CT 30 FA VD INC; NO_ACR
541512030000214; SULBACTER; SULBACTER; NOT FOUND; 2000 MG + 1000 MG PO INJ CT 30 FA VD INC; NO_ACR
507723201160110; SULFATO NEOMICINA + BACITRACINA; SULFATO NEOMICINA BACITRACINA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CT BG AL X 15 G; NO_ACR
515102502171416; SANASAR; SANASAR; NOT FOUND; 0.10 G/G SAB CT FILME POLIEST X 80 G; NO_ACR
515102501173415; SANASAR; SANASAR; NOT FOUND; 100 MG/ML LOC EMU CT FR VD AMB X 100 ML; NO_ACR
515112020010903; SANASAR; SANASAR; NOT FOUND; 250 MG/ML LOC EMU TOP CT FR VD AMB X 100 ML; NO_ACR
515102606110413; SANILIN; SANILIN; NOT FOUND; 1.466 MG + 10 MG PAST CT TB PLAST X 12 SBR CEREJA; NO_ACR
515102607117411; SANILIN; SANILIN; NOT FOUND; 1.466 MG + 10 MG PAST CT TB PLAST X 12 SBR LARANJA; NO_ACR
515102608113411; SANILIN; SANILIN; NOT FOUND; 1.466 MG + 10 MG PAST CT TB PLAST X 12 SBR MENTA; NO_ACR
515102609179414; SANILIN; SANILIN; NOT FOUND; 0.5 MG + 4 MG SOL OR CT FR VD INC NEB X 30 ML; NO_ACR
521112401117319; SINERGEN; SINERGEN; NOT FOUND; 2.5 MG + 10 MG CAP GEL DURA CT STR X 30; NO_ACR
521112404116313; SINERGEN; SINERGEN; NOT FOUND; 2.5  MG + 10 MG CAP GEL DURA CT STR X 7; NO_ACR
521112402113317; SINERGEN; SINERGEN; NOT FOUND; 5 MG + 20 MG CAP GEL DURA CT STR X 30; NO_ACR
521112403111318; SINERGEN; SINERGEN; NOT FOUND; 5 MG + 10 MG CAP GEL DURA CT STR X 30; NO_ACR
