513200702150411; TREZEVIT AB; TREZEVIT AB; NOT FOUND; SOL INJ IV A CX 25 FA VD AMB X 5 ML + SOL INJ IV B CX 25 FA VD AMB X 5 ML - ADULTO; NO_ACR
513200701154413; TREZEVIT AB; TREZEVIT AB; NOT FOUND; SOL INJ IV A CX 25 FA VD AMB X 5 ML + SOL INJ IV B CX 25 FA VD AMB X 5 ML - PEDIATRICO; NO_ACR
502405103113415; TEROST; TEROST; NOT FOUND; 70 MG COM CT BL AL PLAS INC X 4; NO_ACR
510900701152311; TRYPSONE; TRYPSONE; NOT FOUND; 0.5 G PO LIOF INJ CX + DIL X 25 ML ; NO_ACR
510900702159311; TRYPSONE; TRYPSONE; NOT FOUND; 1.0 G PO LIOF INJ CX + DIL X 50 ML ; NO_ACR
502405001167419; TERICIN AT; TERICIN AT; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CT 10 APL DESC PRE-ENV AL+POLIET X 4 G; NO_ACR
502405002163417; TERICIN AT; TERICIN AT; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CT BG AL X 40 G + 10 APL; NO_ACR
502405003161418; TERICIN AT; TERICIN AT; NOT FOUND; 25 MG/G 12.5 MG/G CREM VAG CT BG AL X 60 G + 1 APLI; NO_ACR
502405004166413; TERICIN AT; TERICIN AT; NOT FOUND; 25 MG/G + 12.5 MG/G CREM VAG CT BG AL X 45 G + 10 APL; NO_ACR
515114120011404; TARGIDRIL C; TARGIDRIL C; NOT FOUND; 1000 MG + 1000 MG COM EFEV CT TB PLAS + LAM AL PAP X 16; NO_ACR
540912100008114; TIRATOSSE; TIRATOSSE; NOT FOUND; (0.165 + 5.00 + 5.00 + 2.00) MG/ML XPE CT FR VD AMB X 120 ML; NO_ACR
540912100008214; TIRATOSSE; TIRATOSSE; NOT FOUND; (0.332 + 6.66 + 6.66 + 6.66) MG/ML XPE CT FR VD AMB X 120 ML; NO_ACR
506904702112411; TENDIPINA; TENDIPINA; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 100 (EMB HOSP); NO_ACR
506904704115116; TENDIPINA; TENDIPINA; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 20  ; NO_ACR
502404901113414; TENSODIN; TENSODIN; NOT FOUND; 10 MG COM CT 2 BL AL PLAS INC X 10; NO_ACR
506904703119411; TENDIPINA; TENDIPINA; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); NO_ACR
506904706118414; TENDIPINA; TENDIPINA; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 30; NO_ACR
506904701116413; TENDIPINA; TENDIPINA; NOT FOUND; 10 MG COM CT BL AL PLAS AMB X 60  ; NO_ACR
506904705111416; TENDIPINA; TENDIPINA; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 100 (EMB HOSP); NO_ACR
506904707114412; TENDIPINA; TENDIPINA; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 20 ; NO_ACR
502404902111415; TENSODIN; TENSODIN; NOT FOUND; 5 MG COM CT 2 BL AL PLAS INC X 10; NO_ACR
506904708110410; TENDIPINA; TENDIPINA; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 200 (EMB HOSP); NO_ACR
506904709117419; TENDIPINA; TENDIPINA; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 30; NO_ACR
506904710115416; TENDIPINA; TENDIPINA; NOT FOUND; 5 MG COM CT BL AL PLAS AMB X 60; NO_ACR
510607901151317; TRACRIUM; TRACRIUM; NOT FOUND; 10 MG/ML SOL INJ CT 5 AMP VD INC X 2.5 ML; NO_ACR
510607902158315; TRACRIUM; TRACRIUM; NOT FOUND; 10 MG/ML SOL INJ CT 5 AMP VD INC X 5 ML; NO_ACR
506906201110412; TENSIOPAX; TENSIOPAX; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
506906202117410; TENSIOPAX; TENSIOPAX; NOT FOUND; 20 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
531625801131414; TROPINAL; TROPINAL; NOT FOUND; 300 MG + 1 MG + 0.0065 MG + 0.104 MG SOL OR CT FR VD AMB CGT X 15 ML; NO_ACR
531625802111417; TROPINAL; TROPINAL; NOT FOUND; 300 MG + 1 MG + 0.0065 MG + 0.104 MG COM CT BL AL PVDC BRANCO LEIT X 20; NO_ACR
505213050019903; TANDENE; TANDENE; NOT FOUND; 125 MG + 50 MG + 300 MG + 30 MG COM CT BL AL PLAS INC X 15 ; NO_ACR
505208001118416; TANDENE; TANDENE; NOT FOUND; 125 MG + 50 MG + 300 MG + 30 MG COM CT 2 BL AL PLAS INC X 15; NO_ACR
539600902118411; TYLENOL DC; TYLENOL DC; NOT FOUND; 500 MG + 65 MG COM REV CT BL AL PLAS INC X 100 (EMB MULT); NO_ACR
539600901111413; TYLENOL DC; TYLENOL DC; NOT FOUND; 500 MG + 65 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
541312030005404; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 20 FA VD INC + 20 AMP DIL X 10 ML (EMB HOSP) ; NO_ACR
541312030005604; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 20 FA + 20 AMP DIL PLAS X 10 ML (EMB HOSP) ; NO_ACR
541312030005704; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 50 FA VD INC; NO_ACR
541312030005804; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 100 FA VD INC; NO_ACR
541312030008504; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 20 FA VD INC; NO_ACR
501805702156413; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 20 FA +AMP DIL PLAS X 10 ML (EMB HOSP) 07; NO_ACR
501805703152411; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 100 FA VD INC; NO_ACR
501805704159411; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 20 FA VD INC; NO_ACR
501805705155418; TRIAXTON; TRIAXTON; NOT FOUND; 1.000 MG PO INJ CX 50 FA VD INC; NO_ACR
531614010072903; TORAGESIC; TORAGESIC; NOT FOUND; 10 MG COM SUB-LING CT FR VD AMB X 20; NO_ACR
507735301114114; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; TROMETAMOL CETOROLACO; 10 MG COM SUB-LING CT FR VD AMB X 10; NO_ACR
525502205153316; TIENAM; TIENAM; NOT FOUND; 500 MG + 500 MG PO INJ IV CT 1 FA VD INC; NO_ACR
525502206151317; TIENAM; TIENAM; NOT FOUND; 500 MG + 500 MG PO INJ IV CT 25 FA VD INC; NO_ACR
522711410111412; TANTRIX; TANTRIX; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 1; NO_ACR
522711411118410; TANTRIX; TANTRIX; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 2; NO_ACR
522711412114419; TANTRIX; TANTRIX; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 4; NO_ACR
522711401112411; TANTRIX; TANTRIX; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 1; NO_ACR
522711402119418; TANTRIX; TANTRIX; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 2; NO_ACR
522711403115416; TANTRIX; TANTRIX; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 4; NO_ACR
522711405118412; TANTRIX; TANTRIX; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 8; NO_ACR
522711404111414; TANTRIX; TANTRIX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 1; NO_ACR
522711409113415; TANTRIX; TANTRIX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 12; NO_ACR
522711406114410; TANTRIX; TANTRIX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 2; NO_ACR
522711407110419; TANTRIX; TANTRIX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 4; NO_ACR
522711408117417; TANTRIX; TANTRIX; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 8; NO_ACR
510607701152311; TIMENTIN; TIMENTIN; NOT FOUND; 3.0 G + 0.1 G PO ESTERIL P/ SOL INJ CT 10 FA VD INC; NO_ACR
505208301138412; TOSSILERG; TOSSILERG; NOT FOUND; FR 100 ML; NO_ACR
505208401167414; TRICOLPLEX; TRICOLPLEX; NOT FOUND; (0.125 G+25.000 UI+0.00125 G)/G GEL CT BG PLAS X 40 G; NO_ACR
525504201112311; TRYPTANOL; TRYPTANOL; NOT FOUND; 25 MG COM REV CT  BL AL PLAS INC X 20; NO_ACR
532907801110413; TRISOMATOL; TRISOMATOL; NOT FOUND; 25 MG COM CT 2 BL AL PLAS AMB X 10; NO_ACR
532907802117411; TRISOMATOL; TRISOMATOL; NOT FOUND; 25 MG COM CT 20 BL AL PLAS AMB X 10; NO_ACR
525504202119318; TRYPTANOL; TRYPTANOL; NOT FOUND; 75 MG COM REV CT  BL AL PLAS INC  X 20; NO_ACR
532907803113411; TRISOMATOL; TRISOMATOL; NOT FOUND; 75 MG COM CT 2 BL AL PLAS AMB X 10; NO_ACR
532907804111410; TRISOMATOL; TRISOMATOL; NOT FOUND; 75 MG COM CT 20 BL AL PLAS AMB X 10; NO_ACR
510607602111410; TAGAMET; TAGAMET; NOT FOUND; 200 MG COM REV CT BL AL PLAS INC X 10; NO_ACR
510607601115412; TAGAMET; TAGAMET; NOT FOUND; 200 MG COM REV CT 2 BL AL PLAS INC X 20; NO_ACR
510607604114417; TAGAMET; TAGAMET; NOT FOUND; 400 MG COM REV CT 2 BL AL PLAS INC X 8; NO_ACR
525502401173413; TRUSOPT; TRUSOPT; NOT FOUND; 20 MG/ML SOL OFT CT FR PLAS TRANS X 5 ML; NO_ACR
519513090021104; TREBYXAN; TREBYXAN; NOT FOUND; 20 MG/ML SOL INJ CT 10 FA VD AMB X 2 ML; NO_ACR
519513090021204; TREBYXAN; TREBYXAN; NOT FOUND; 20 MG/ML SOL INJ CT 50 FA VD AMB X 2 ML; NO_ACR
519513090021504; TREBYXAN; TREBYXAN; NOT FOUND; 20 MG/ML SOL INJ CT FA VD AMB X 2 ML; NO_ACR
519513090021004; TREBYXAN; TREBYXAN; NOT FOUND; 20 MG/ML SOL INJ CT 50 FA VD AMB X 5 ML; NO_ACR
519513090021304; TREBYXAN; TREBYXAN; NOT FOUND; 20 MG/ML SOL INJ CT FA VD AMB X 5 ML; NO_ACR
519513090021404; TREBYXAN; TREBYXAN; NOT FOUND; 20 MG/ML SOL INJ CT 10 FA VD AMB X 5 ML; NO_ACR
527303701114311; TOLVON; TOLVON; NOT FOUND; 30 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
531603903111411; TENADREN; TENADREN; NOT FOUND; 80 MG + 12.5 MG COM CT BL AL PLAS INC X 30; NO_ACR
531603901117412; TENADREN; TENADREN; NOT FOUND; 40 MG + 25 MG COM CT 2 BL AL PLAS INC X 15; NO_ACR
531603905112415; TENADREN; TENADREN; NOT FOUND; 40 MG + 12.5 MG COM CT BL AL PLAS INC X 100 (EMB. FRAC.); NO_ACR
531603904116417; TENADREN; TENADREN; NOT FOUND; 40 MG + 12.5 MG COM CT BL AL PLAS INC X 30; NO_ACR
531603908111411; TENADREN; TENADREN; NOT FOUND; 40 MG + 25 MG COM CT BL AL PLAS INC X 100 (EMB FRAC); NO_ACR
531603902113410; TENADREN; TENADREN; NOT FOUND; 80 MG + 25 MG COM CT 2 BL AL PLAS INC X 15; NO_ACR
531603906119413; TENADREN; TENADREN; NOT FOUND; 80 MG + 12.5 MG COM CT BL AL PLAS INC X 100 (EMB. FRAC.); NO_ACR
531603907115411; TENADREN; TENADREN; NOT FOUND; 80 MG + 25 MG COM CT BL AL PLAS INC X 100 (EMB FRAC); NO_ACR
521113206113413; TOLREST; TOLREST; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
521113201111412; TOLREST; TOLREST; NOT FOUND; 100 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
521113202118410; TOLREST; TOLREST; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 14; NO_ACR
521113208116312; TOLREST; TOLREST; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 28 ; NO_ACR
521113203114419; TOLREST; TOLREST; NOT FOUND; 25 MG COM REV CT BL AL PLAS INC X 7; NO_ACR
521113204110417; TOLREST; TOLREST; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20; NO_ACR
521113207111414; TOLREST; TOLREST; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 21; NO_ACR
521113209112418; TOLREST; TOLREST; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 28; NO_ACR
521113210110415; TOLREST; TOLREST; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 7; NO_ACR
521113205117415; TOLREST; TOLREST; NOT FOUND; 75 MG COM REV CT BL AL PLAS INC X 30; NO_ACR
506904902111419; TERBINACOL; TERBINACOL; NOT FOUND; 250 MG COM CT BL AL PLAS OPC X 14; NO_ACR
506904903118417; TERBINACOL; TERBINACOL; NOT FOUND; 250 MG COM CT BL AL PLAS OPC X 28; NO_ACR
506904901115410; TERBINACOL; TERBINACOL; NOT FOUND; 250 MG COM CT BL AL PLAS OPC X 7; NO_ACR
505208101112411; TETRACINA; TETRACINA; NOT FOUND; 500 MG CAP GEL DURA CT STR X 100 ; NO_ACR
505212080019803; TETRACINA; TETRACINA; NOT FOUND; 500 MG CAP GEL DURA CT STR X 8; NO_ACR
538013080014003; TOPOTACX; TOPOTACX; NOT FOUND; 4 MG PO LIOF SOL INJ CT FA VD TRANS X 5 ML; NO_ACR
515106801163418; TRIALGEX; TRIALGEX; NOT FOUND; 0.0444 ML/ G + 44 MG/ G + 20 MG/ G POM DERM CT BG AL X 20 G; NO_ACR
514602001112413; TRATALERG; TRATALERG; NOT FOUND; 0.5 MG COM CT BL AL PLAS INC X 10; NO_ACR
521122901171115; TOBRAMICINA + DEXAMETASONA; TOBRAMICINA DEXAMETASONA; NOT FOUND; 0.3 PCC + 0.1 PCC SUS OFT CT FR PLAS OPC GOT X 5 ML; NO_ACR
