507731401130410; BRONCOLEX; BRONCOLEX; NOT FOUND; 10 MG/ML XPE AD CT FR VD AMB X 120 ML + CP MED X 10 ML; NO_ACR
507731402137419; BRONCOLEX; BRONCOLEX; NOT FOUND; 5 MG/ML XPE INF CT FR VD AMB X 120 ML + CP MED X 10 ML; NO_ACR
542813120000018; BELARA; BELARA; NOT FOUND; 2 MG + 0.03 MG COM REV CT BL CALEND AL PLAS INC X 21; NO_ACR
501801001153415; BROMUC; BROMUC; NOT FOUND; 100 MG/ML SOL INJ CX 100 AMP VD AMB X 3 ML; NO_ACR
501801002151416; BROMUC; BROMUC; NOT FOUND; 100 MG/ML SOL INJ CT 5 AMP VD AMB X 3 ML; NO_ACR
502600401152410; BERIBUMIN; BERIBUMIN; NOT FOUND; 200 MG/ML SOL INJ CT 50 FA VD INC X 50 ML; NO_ACR
502600402159419; BERIBUMIN; BERIBUMIN; NOT FOUND; 200 MG/ML SOL INJ CT FA VD INC X 50 ML; NO_ACR
502600403155417; BERIBUMIN; BERIBUMIN; NOT FOUND; 200 MG/ML SOL INJ CT 10 FA VD INC X 50 ML; NO_ACR
530402105110314; BENICARANLO; BENICARANLO; NOT FOUND; 20 MG + 5 MG COM REV CT BL AL/AL X 15; NO_ACR
530402106117312; BENICARANLO; BENICARANLO; NOT FOUND; 20 MG + 5 MG COM REV CT BL AL/AL X 30; NO_ACR
530402102111311; BENICARANLO; BENICARANLO; NOT FOUND; 20 MG + 10 MG COM REV CT BL AL/AL X 15 ; NO_ACR
530402107113310; BENICARANLO; BENICARANLO; NOT FOUND; 40 MG + 10 MG COM REV CT BL AL/AL X 15; NO_ACR
530402103118318; BENICARANLO; BENICARANLO; NOT FOUND; 20 MG + 10 MG COM REV CT BL AL/AL X30; NO_ACR
530402108111311; BENICARANLO; BENICARANLO; NOT FOUND; 40 MG + 10 MG COM REV CT BL AL/AL X 30; NO_ACR
530402104114316; BENICARANLO; BENICARANLO; NOT FOUND; 20 MG + 10 MG COM REV CT BL AL/AL X 7   ; NO_ACR
530402109116317; BENICARANLO; BENICARANLO; NOT FOUND; 40 MG + 10 MG COM REV CT BL AL/AL X 7 ; NO_ACR
530402101115311; BENICARANLO; BENICARANLO; NOT FOUND; 20 MG + 5 MG COM REV CT BL AL/AL X 7 ; NO_ACR
530402110114314; BENICARANLO; BENICARANLO; NOT FOUND; 40 MG + 5 MG COM REV CT BL AL/AL X 15; NO_ACR
530402111110312; BENICARANLO; BENICARANLO; NOT FOUND; 40 MG + 5 MG COM REV CT BL AL/AL X 30; NO_ACR
530402112117310; BENICARANLO; BENICARANLO; NOT FOUND; 40 MG + 5 MG COM REV CT BL AL/AL X 7 ; NO_ACR
502600601151418; BERIPLAST-P; BERIPLAST P; NOT FOUND; PO LIOF CT 2 FA VD INC + 2 FA DIL X 0.5 ML; NO_ACR
502600602158416; BERIPLAST-P; BERIPLAST P; NOT FOUND; PO LIOF CT 2 FA VD INC + 2 FA DIL X 1.0 ML; NO_ACR
502600603154414; BERIPLAST-P; BERIPLAST P; NOT FOUND; PO LIOF CT 2 FA VD INC + 2 FA DIL X 3.0 ML; NO_ACR
521101301116412; BETALOR; BETALOR; NOT FOUND; 5 MG + 25 MG COM CT 2 BL AL PLAST AMB X 15; NO_ACR
521101302112410; BETALOR; BETALOR; NOT FOUND; 5 MG + 50 MG COM CT 2 BL AL PLAST AMB X 15; NO_ACR
521101303119311; BETALOR; BETALOR; NOT FOUND; 5.0 MG (COM REV) + 50 MG (GRAN) CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
521101304115311; BETALOR; BETALOR; NOT FOUND; 5.0 MG (COM REV) + 25 MG (GRAN) CAP GEL DURA CT BL AL PLAS INC X 7; NO_ACR
515100501168415; BACTODERM; BACTODERM; NOT FOUND; 5.0 MG/G + 250 UI/G POM DERM CT BG AL X 15 G; NO_ACR
515114040011103; BACTODERM; BACTODERM; NOT FOUND; 5.0 MG/G + 250 UI/G POM DERM CT BG AL X 50 G; NO_ACR
510613030050002; BENLYSTA; BENLYSTA; NOT FOUND; 120 MG PO LIOF INJ CT FA VD INC ; NO_ACR
510613030050102; BENLYSTA; BENLYSTA; NOT FOUND; 400 MG PO LIOF INJ CT FA VD INC ; NO_ACR
501800707151419; BENZATRON; BENZATRON; NOT FOUND; 1.200.000 UI PO INJ CX 100 FA VD INC (EMB. HOSP.); NO_ACR
501800708156414; BENZATRON; BENZATRON; NOT FOUND; 1.200.000 UI PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS X 5 ML (EMB. HOSP.); NO_ACR
517000602155410; BENZ.PENIC.BENZ.; BENZ PENIC BENZ; NOT FOUND; 600.000 CX. 5O FR.AMP+DILUENTES; NO_ACR
501800712153416; BENZATRON; BENZATRON; NOT FOUND; 600.000 UI PO INJ CX 100 FA VD INC (EMB. HOSP.) ; NO_ACR
501800713151417; BENZATRON; BENZATRON; NOT FOUND; 600.000 UI PO INJ CX 50 FA VD INC + 50 AMP DIL PLAS  X 5 ML(EMB. HOSP.) ; NO_ACR
517000701171414; BENZOATO DE BENZILA; BENZOATO BENZILA; BENZOATO BENZILA; CX. C/50 FRASCOS X 100 ML; NO_ACR
532300302177411; BENZOBEN; BENZOBEN; NOT FOUND; 0.2 ML/ML EMU TOP CT FR VD AMB X 60 ML ; NO_ACR
528112060013603; BENZODERM; BENZODERM; NOT FOUND; 0.25 G/ML EMU TOP CT FR PET AMB X 100 ML ; NO_ACR
528113010015403; BENZODERM; BENZODERM; NOT FOUND; 100 MG/G SAB CT FILME POLIEST X 60 G; NO_ACR
532312020004703; BENZOBEN; BENZOBEN; NOT FOUND; 250 MG/ML EMU TOP CT FR VD AMB X 60 ML ; NO_ACR
532312020004803; BENZOBEN; BENZOBEN; NOT FOUND; 250 MG/ML EMU TOP CX 100 FR VD AMB X 60 ML (EMB HOSP); NO_ACR
