526302001153418, WONILIN, WONILIN, NOT FOUND, 300.000UI + 100.000UI PO SUS INJ IM CX 50 FA VD INC X 10ML (EMB HOSP), NO_ACR
510608601119319, WELLBUTRIN SR, WELLBUTRIN SR, NOT FOUND, 150 MG COM REV LIB LENTA CT BL AL/AL X 30, NO_ACR
510611902116319, WELLBUTRIN XL, WELLBUTRIN XL, NOT FOUND, 150 MG COM REV LIB PROLONG CT FR PLAS OPC X 30, NO_ACR
510611901111313, WELLBUTRIN XL, WELLBUTRIN XL, NOT FOUND, 150 MG COM REV LIB PROLONG CT FR PLAS OPC X 07, NO_ACR
510611904119315, WELLBUTRIN XL, WELLBUTRIN XL, NOT FOUND, 300 MG COM REV LIB PROLONG CT FR PLAS OPC X 30, NO_ACR
510611903112317, WELLBUTRIN XL, WELLBUTRIN XL, NOT FOUND, 300 MG COM REV LIB PROLONG CT FR PLAS OPC X 07, NO_ACR
525204804156417, WOSULIN 70/30, WOSULIN 70 30, NOT FOUND, 100 UI/ML SUS INJ CX FA VD INC X 10 ML , NO_ACR
525204801157412, WOSULIN 70/30, WOSULIN 70 30, NOT FOUND, 100 UI/ML SUS INJ CX FA VD INC X 3 ML , NO_ACR
525204802153410, WOSULIN 70/30, WOSULIN 70 30, NOT FOUND, 100 UI/ML SUS INJ CX 5 CARP VD INC X 3 ML, NO_ACR
525204803151411, WOSULIN 70/30, WOSULIN 70 30, NOT FOUND, 100 UI/ML SUS INJ CX CARP VD INC X 3 ML , NO_ACR
525204805152415, WOSULIN 70/30, WOSULIN 70 30, NOT FOUND, 100 UI/ML SUS INJ CX FA VD INC X 5 ML , NO_ACR
525205004153411, WOSULIN R, WOSULIN R, NOT FOUND, 100 UI/ML SUS INJ CX FA VD INC X 10 ML, NO_ACR
525205001154417, WOSULIN R, WOSULIN R, NOT FOUND, 100 UI/ML SUS INJ CX FA VD INC X 3 ML, NO_ACR
525205002150415, WOSULIN R, WOSULIN R, NOT FOUND, 100 UI/ML SUS INJ CX 5 CARP VD INC X 3 ML, NO_ACR
525205003157413, WOSULIN R, WOSULIN R, NOT FOUND, 100 UI/ML SUS INJ CX CARP VD INC X 3 ML, NO_ACR
525205005151412, WOSULIN R, WOSULIN R, NOT FOUND, 100 UI/ML SUS INJ CX FA VD INC X 5 ML, NO_ACR
525204904150410, WOSULIN N, WOSULIN N, NOT FOUND, 100 UI/ML SUS INJ CX FA VD INC X 10 ML, NO_ACR
525204901151416, WOSULIN N, WOSULIN N, NOT FOUND, 100 UI/ML SUS INJ CX FA VD INC X 3 ML, NO_ACR
525204902158414, WOSULIN N, WOSULIN N, NOT FOUND, 100 UI/ML SUS INJ CX 5 CARP VD INC X 3 ML, NO_ACR
525204903154412, WOSULIN N, WOSULIN N, NOT FOUND, 100 UI/ML SUS INJ CX CARP VD INC X 3 ML, NO_ACR
525204905157419, WOSULIN N, WOSULIN N, NOT FOUND, 100 UI/ML SUS INJ CX FA VD INC X 5 ML, NO_ACR
507301702119419, WINTER AP, WINTER AP, NOT FOUND, 6.0 MG + 120 MG CAP AP C/ MICROG CT BL AL PLAS INC X 8, NO_ACR
522603701161311, WARTEC, WARTEC, NOT FOUND, 1.5 MG/G CREM TOP CT BG X 5 G + ESPELHO, NO_ACR
533015501114412, WARFARIN, WARFARIN, NOT FOUND, 5MG COM CT STR AL/AL X 10, NO_ACR
533012120058503, WARFARIN, WARFARIN, NOT FOUND, 5MG COM CT STR AL X 30, NO_ACR
502815020068403, WINTOMYLON, WINTOMYLON, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 80 (EMB FRAC), NO_ACR
502820601134413, WINTOMYLON, WINTOMYLON, NOT FOUND, 50 MG/ML SUS OR CT FR PLAS TRANSP X 60 ML, NO_ACR
502820602114416, WINTOMYLON, WINTOMYLON, NOT FOUND, 500 MG COM CT BL AL PLAS INC X 56, NO_ACR
