520733801133414, DILABRONCO, DILABRONCO, NOT FOUND, 10 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED, NO_ACR
520733802131415, DILABRONCO, DILABRONCO, NOT FOUND, 5 MG/ML XPE CT FR PLAS OPC X 120 ML + CP MED, NO_ACR
538912080018214, DIANE 35, DIANE 35, NOT FOUND, 2 MG + 0.035 MG DRG CT BL CALEND AL PLAS INC X 21, NO_ACR
525403301111418, DICLIN, DICLIN, NOT FOUND, 2 MG + 0.035 MG COM REV CT CART EST CAL AL PVC X 21, NO_ACR
538912080018304, DIANE 35, DIANE 35, NOT FOUND, 2 MG + 0.035 MG DRG CT BL CALEND AL PLAS INC X 63, NO_ACR
540814040001304, DUNIA, DUNIA, NOT FOUND, 2.0 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 21 , NO_ACR
540814040001404, DUNIA, DUNIA, NOT FOUND, 2.0 MG + 0.035 MG COM REV CT BL AL PLAS TRANS X 63, NO_ACR
504614070022403, DIPROTERON, DIPROTERON, NOT FOUND, 2.0MG + 0.035MG COM REV CT BL AL PLAS INC X 21 , NO_ACR
525403302118416, DICLIN, DICLIN, NOT FOUND, 2 MG + 0.035 MG COM REV CT CART EST CAL AL PVC X 63, NO_ACR
504112601116410, DESMURIN, DESMURIN, NOT FOUND, 0.1 MG COM CT FR PLAS OPC X 14 , NO_ACR
504112602112419, DESMURIN, DESMURIN, NOT FOUND, 0.1 MG COM CT FR PLAS OPC X 30 , NO_ACR
521400201113315, DDAVP, DDAVP, NOT FOUND, 0.1 MG COM CT FR PLAS OPC X 30, NO_ACR
532412050004914, D-VOID, D VOID, NOT FOUND, 0.1 MG/ML SOL NAS CT FR VD AMB NEB X 2.5 ML, NO_ACR
504112603135412, DESMURIN, DESMURIN, NOT FOUND, 0.1 MG/ML SOL NAS CT FR PLAS OPC SPR X 2.5 ML, NO_ACR
521400202179311, DDAVP, DDAVP, NOT FOUND, 0.1 MG/ML SOL NAS CT FR VD AMB SPR 2.5ML, NO_ACR
