505204301117412; GEROTREX H3; GEROTREX H3; NOT FOUND; FR 30 DRG; NO_ACR
505204302113410; GEROTREX H3; GEROTREX H3; NOT FOUND; FR 50 DRG; NO_ACR
519508802159418; GONADOPIN; GONADOPIN; NOT FOUND; 150 UI/ML SOL INJ CT 10 FA VD INC X 1 ML; NO_ACR
519508803155416; GONADOPIN; GONADOPIN; NOT FOUND; 150 UI/ML SOL INJ CT 5 FA VD INC X 1 ML; NO_ACR
519508804151414; GONADOPIN; GONADOPIN; NOT FOUND; 150 UI/ML SOL INJ CT 1 FA VD INC X 1 ML; NO_ACR
519508801152411; GONADOPIN; GONADOPIN; NOT FOUND; 75 UI/ML SOL INJ CT 1 FA VD INC X 1 ML; NO_ACR
519508805158412; GONADOPIN; GONADOPIN; NOT FOUND; 75 UI/ML SOL INJ CT 10 FA VD INC X 1 ML; NO_ACR
519508806154410; GONADOPIN; GONADOPIN; NOT FOUND; 75 UI/ML SOL INJ CT 5 FA VD INC X 1 ML; NO_ACR
507744801116417; GASTROBENE; GASTROBENE; NOT FOUND; 10 MG CAP GEL DURA CT BL AL PLAS OPC X 20; NO_ACR
513901201115411; GRIPOL; GRIPOL; NOT FOUND; CX COM 2 BL X 10 DRG A E B; NO_ACR
513901203118418; GRIPOL; GRIPOL; NOT FOUND; DISPLAY CX COM BL 25 X 4; NO_ACR
513901204114416; GRIPOL; GRIPOL; NOT FOUND; DISPLAY CX COM BL 25X 10; NO_ACR
513901202138415; GRIPOL; GRIPOL; NOT FOUND; CX FR COM 60 ML; NO_ACR
507714505136415; GELMAX; GELMAX; NOT FOUND; EFERV ABACAXI 100 SACHET C/5; NO_ACR
507714506132413; GELMAX; GELMAX; NOT FOUND; 178MG + 185MG + 230MG PO EFEV CT 20 SACH X 5 G (SABOR ABACAXI); NO_ACR
528101202131411; GASTROFTAL; GASTROFTAL; NOT FOUND; (35.6 + 37 + 47.6) MG/ML SUS OR CT FR PLAS AMB X 240 ML; NO_ACR
507714509131418; GELMAX; GELMAX; NOT FOUND; SUSP FR C/240ML; NO_ACR
507714511111410; GELMAX; GELMAX; NOT FOUND; 178 MG + 185 MG + 230 MG COM MAST CT BL AL PLAS INC X 120 (SABOR LIMAO); NO_ACR
528112060013703; GASTROFTAL; GASTROFTAL; NOT FOUND; (178 + 185 + 230) MG COM MAST CT BL AL PLAS INC X 20 ; NO_ACR
507714502110415; GELMAX; GELMAX; NOT FOUND; 178MG+185MG+230MG COM MAST MAMAO-CASSIS CT BL AL PLAS X 24 ; NO_ACR
528101201119418; GASTROFTAL; GASTROFTAL; NOT FOUND; (178 + 185 + 230) MG COM MAST CT BL AL PLAS INC X 30 ; NO_ACR
528112070014204; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 100 (SABOR ABACAXI); NO_ACR
528112070014304; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 100 (SABOR LIMAO); NO_ACR
528112070014404; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 100 (SABOR LARANJA); NO_ACR
528112070014504; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 25 (SABOR ABACAXI); NO_ACR
528112070014604; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 25  (SABOR LARANJA) ; NO_ACR
528112070014704; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 25(SABOR LIMAO) ; NO_ACR
528112070014804; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 50(SABOR ABACAXI); NO_ACR
528112070014904; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 50(SABOR LIMAO); NO_ACR
528112070015004; GASTROFTAL; GASTROFTAL; NOT FOUND; (178+ 185+ 230) MG / 5 G PO EFEV CT ENV AL PLAS X 50 (SABOR LARANJA); NO_ACR
540900901110411; GURGOL; GURGOL; NOT FOUND; 1.25 MG PAST CX STR X 100 (EMB MULT); NO_ACR
507712030119104; GRIPEN NOITE; GRIPEN NOITE; NOT FOUND; 400 MG + 20 MG COM AMARELO / 400 MG+4 MG COM LARANJA CT BL AL/AL X 50 + 50; NO_ACR
507712030119004; GRIPEN NOITE; GRIPEN NOITE; NOT FOUND; 400 MG + 20 MG COM AMARELO / 400 MG+4 MG COM LARANJA CT BL AL/AL X 12 + 12; NO_ACR
507715101111419; GRIPEN; GRIPEN; NOT FOUND; 3STP C/4 COMP; NO_ACR
507712030118904; GRIPEN DIA; GRIPEN DIA; NOT FOUND; 800MG + 20 MG COM CT BL AL AL X 50 COM AMARELO + 50 COM BRANCO ; NO_ACR
507712030118804; GRIPEN DIA; GRIPEN DIA; NOT FOUND; 800MG + 20 MG COM CT BL AL AL X 12 COM AMARELO + 12 COM BRANCO ; NO_ACR
507601301152317; GEMZAR; GEMZAR; NOT FOUND; 1 G PO LIOF INJ CT FA VD INC X 50 ML; NO_ACR
519513100022504; GENCIX; GENCIX; NOT FOUND; 1 G PO LIOF SOL INJ CT FA VD TRANS X 50 ML; NO_ACR
519513100022604; GENCIX; GENCIX; NOT FOUND; 1 G PO LIOF SOL INJ CT 5 FA VD TRANS X 50 ML; NO_ACR
519513100022704; GENCIX; GENCIX; NOT FOUND; 1 G PO LIOF SOL INJ CT 10 FA VD TRANS X 50 ML; NO_ACR
507601302159315; GEMZAR; GEMZAR; NOT FOUND; 200 MG PO LIOF INJ CT FA VD INC X 10 ML; NO_ACR
519513100022204; GENCIX; GENCIX; NOT FOUND; 200 MG PO LIOF SOL INJ CT FA VD TRANS X 10 ML; NO_ACR
519513100022304; GENCIX; GENCIX; NOT FOUND; 200 MG PO LIOF SOL INJ CT 5 FA VD TRANS X 10 ML; NO_ACR
519513100022404; GENCIX; GENCIX; NOT FOUND; 200 MG PO LIOF SOL INJ CT 10 FA VD TRANS X 10 ML; NO_ACR
506905001177418; GOTALIV; GOTALIV; NOT FOUND; 0.5 MG / ML SOL NAS CT FRAS PLAS OPC GOT X 30 ML; NO_ACR
505204201163412; GELFLEX; GELFLEX; NOT FOUND; POM DERM CT BG X 45 G; NO_ACR
540915010013917; GELOL; GELOL; NOT FOUND; AER TB AL X 60 ML; NO_ACR
540915010014017; GELOL; GELOL; NOT FOUND; LIN CT FR PLAS OPC X 45 ML; NO_ACR
