507602501155210; REOPRO; REOPRO; NOT FOUND; 2 MG/ML SOL INJ CT FA VD INC X 5 ML; NO_ACR
507722101111411; REPOPIL; REPOPIL; NOT FOUND; 2 MG + 0.035 MG COM REV CT  BL AL PLAS INC X 21 ; NO_ACR
507722102118411; REPOPIL; REPOPIL; NOT FOUND; 2 MG + 0.035 MG DRG CT BL AL PLAS INC X 63; NO_ACR
505207302130417; REDVIT; REDVIT; NOT FOUND; FR 100 ML LIQUIDO; NO_ACR
505207301118413; REDVIT; REDVIT; NOT FOUND; FR 50 DRG; NO_ACR
528112050012403; RITCOR; RITCOR; NOT FOUND; 100 MG COM CT BL AL PLAS INC X 30; NO_ACR
513902001111410; REGULAPRESS; REGULAPRESS; NOT FOUND; 100 MG CX COM 30 COMP; NO_ACR
528112050012503; RITCOR; RITCOR; NOT FOUND; 50 MG COM CT BL AL PLAS INC X 30; NO_ACR
513902002116416; REGULAPRESS; REGULAPRESS; NOT FOUND; 50 MG CX COM 30 COMP; NO_ACR
522710401151311; RELISTOR; RELISTOR; NOT FOUND; 20 MG/ML SOL INJ CT FA VD INC X 0.6ML; NO_ACR
522710402158318; RELISTOR; RELISTOR; NOT FOUND; 20 MG/ML SOL INJ CT 7 EST FA VD INC X 0.6ML + SER + 2 LENCOS; NO_ACR
515102301115411; RELAFLEX; RELAFLEX; NOT FOUND; 300MG + 35MG + 50MG COM CT 3 ENV AL X 4 ; NO_ACR
515102302111411; RELAFLEX; RELAFLEX; NOT FOUND; 300MG + 35MG + 50MG COM CT 36 ENV AL X 4 ; NO_ACR
505607804117412; REPRIL; REPRIL; NOT FOUND; 25 MG COM CT 50 BL AL PLAS INC X 10 (EMB HOSP); NO_ACR
505400201111315; RHEUMAFIM; RHEUMAFIM; NOT FOUND; 10 MG + 1MG + 2500MCG + 35MG COM REV CT BL AL PLAS INC X 10 ; NO_ACR
516312080002704; REHITRYON 75; REHITRYON 75; NOT FOUND; 75 MEQ/L SOL OR FR PLAS OPC X 500 ML; NO_ACR
515106901133413; RINOMAX; RINOMAX; NOT FOUND; SOL NAS CT FR PLAST OPC GOT 30 ML 01 02; NO_ACR
513902101130417; RHINODEX; RHINODEX; NOT FOUND; FR COM SOL 20 ML; NO_ACR
515107401177411; RINOSOFT S SOLUÇÃO; RINOSOFT S SOLUCAO; NOT FOUND; 9 MG/ML SOL NAS CT FR PLAS OPC GOT X 30 ML; NO_ACR
519502601151410; RUBIDOX; RUBIDOX; NOT FOUND; 10 MG PO LIOF INJ CT 1 FA VD INC + DIL X 5 ML; NO_ACR
519502603154417; RUBIDOX; RUBIDOX; NOT FOUND; 50 MG PO LIOF INJ CT 1 FA VD INC; NO_ACR
539601002110412; RESPRIN; RESPRIN; NOT FOUND; 400 MG + 20 MG (AMARELO) + 400 MG + 4 MG (LARANJA) COM CT BL AL PLAS INC X 6 AMARELO + 6 LARANJA; NO_ACR
539601001114414; RESPRIN; RESPRIN; NOT FOUND; 400 MG + 20 MG (AMARELO) + 400 MG + 4 MG (LARANJA) COM CX 50 BL AL PLAS INC X 2 AMARELO + 2 LARANJA; NO_ACR
515114040011203; RESFENOL; RESFENOL; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT BL AL/PVC X 240 (EMB MULT); NO_ACR
528102505138410; RESFEDRYL; RESFEDRYL; NOT FOUND; 400 MG/5G + 4 MG /5G+ 4MG/5G PO SOL OR CX 100 ENV AL X 5G ; NO_ACR
528102506134419; RESFEDRYL; RESFEDRYL; NOT FOUND; 400MG + 4MG + 4MG/ 5G PO SOL OR CX 50 ENV AL X 5G ; NO_ACR
515102403139311; RESFENOL; RESFENOL; NOT FOUND; 40MG/ML+0.6MG/ML+0.6MG/ML SOL ORAL FR VD X 100ML; NO_ACR
528112060014003; RESFEDRYL; RESFEDRYL; NOT FOUND; 100 MG/ML + 2 MG/ML + 2 MG/ML  SOL OR CT FR PLAS OPC GOT X 20 ML; NO_ACR
515113080011003; RESFENOL; RESFENOL; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT BL AL/PVC X 10; NO_ACR
515102405115418; RESFENOL; RESFENOL; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT BL AL/PVC X 120 (EMB MULT); NO_ACR
528112060013903; RESFEDRYL; RESFEDRYL; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CT BL AL PLAS INC X 20; NO_ACR
515102401111310; RESFENOL; RESFENOL; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT FR VD AMB X 20; NO_ACR
515102409110313; RESFENOL; RESFENOL; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT BL AL/PVC X 20; NO_ACR
528112060013803; RESFEDRYL; RESFEDRYL; NOT FOUND; 400 MG + 4 MG + 4 MG CAP GEL DURA CT BL AL PLAS INC X 200; NO_ACR
515102406111416; RESFENOL; RESFENOL; NOT FOUND; 400MG + 4MG + 4MG CAP GEL DURA CT BL AL/PVC X 200 (EMB MULT); NO_ACR
531603301111413; REBATEN LA; REBATEN LA; NOT FOUND; 160 MG CAP GEL DURA LIB PROL CT FR PLAS OPC X 30; NO_ACR
531603302116419; REBATEN LA; REBATEN LA; NOT FOUND; 80 MG CAP GEL DURA LIB PROL CT FR PLAS OPC X 30; NO_ACR
507721901114417; RANITIL; RANITIL; NOT FOUND; 150MG COM CT 2 ENV AL X 10; NO_ACR
532903801175415; RILAN; RILAN; NOT FOUND; 20 MG/ML SOL NAS CT FR PLAS OPC SPY X 15 ML; NO_ACR
532903802171413; RILAN; RILAN; NOT FOUND; 4O MG/ML SOL NAS CT FR PLAS OPC X 13 ML; NO_ACR
540713080002114; RELIEV; RELIEV; NOT FOUND; 600 MG/ML SOL INJ CX 25 FA X 100 ML; NO_ACR
515000501158413; RELIEV; RELIEV; NOT FOUND; 600 MG/ML SOL INJ CT FA X 100 ML; NO_ACR
515000504157418; RELIEV; RELIEV; NOT FOUND; 600 MG/ML SOL INJ CX 25 FA X 100 ML; NO_ACR
540713080001914; RELIEV; RELIEV; NOT FOUND; 600 MG/ML SOL INJ CX 25 FA X 20 ML; NO_ACR
515000502154411; RELIEV; RELIEV; NOT FOUND; 600 MG/ML SOL INJ CT FA X 20 ML; NO_ACR
515000505153416; RELIEV; RELIEV; NOT FOUND; 600 MG/ML SOL INJ CX 25 FA X 20 ML; NO_ACR
540713080002014; RELIEV; RELIEV; NOT FOUND; 600 MG/ML SOL INJ CX 25 FA X 50 ML; NO_ACR
515000503150411; RELIEV; RELIEV; NOT FOUND; 600 MG/ML SOL INJ CT FA X 50 ML; NO_ACR
515000506151417; RELIEV; RELIEV; NOT FOUND; 600 MG/ML SOL INJ CX 25 FA X 50 ML; NO_ACR
510612101117218; REVOLADE; REVOLADE; NOT FOUND; 25 MG COM REV CT BL AL/AL X 14; NO_ACR
510612102113216; REVOLADE; REVOLADE; NOT FOUND; 25 MG COM REV CT BL AL/AL X 28; NO_ACR
510612103111217; REVOLADE; REVOLADE; NOT FOUND; 50 MG COM REV CT BL AL/AL X 14; NO_ACR
510612104116212; REVOLADE; REVOLADE; NOT FOUND; 50 MG COM REV CT BL AL/AL X 28; NO_ACR
531614080076206; RISEDRONATO SODICO; RISEDRONATO SODICO; RISEDRONATO SODICO; 35 MG COM REV CT BL AL PLAS OPC X 4; NO_ACR
533213040001604; RELIPOIETIN; RELIPOIETIN; NOT FOUND; 4000 UI/ 04 ML SOL INJ CT X 1 SER PREENC INC; NO_ACR
533213040001704; RELIPOIETIN; RELIPOIETIN; NOT FOUND; 4000 UI/ 04 ML SOL INJ CT X 4 SER PREENC INC ; NO_ACR
533213040001804; RELIPOIETIN; RELIPOIETIN; NOT FOUND; 4000 UI/ 04 ML SOL INJ CT X 6 SER PREENC INC ; NO_ACR
533213040001304; RELIPOIETIN; RELIPOIETIN; NOT FOUND; 2000 UI/ 05 ML SOL INJ CT X 1 SER PREENC INC ; NO_ACR
533213040001404; RELIPOIETIN; RELIPOIETIN; NOT FOUND; 2000 UI/ 05 ML SOL INJ CT X 4 SER PREENC INC ; NO_ACR
533213040001504; RELIPOIETIN; RELIPOIETIN; NOT FOUND; 2000 UI/ 05 ML SOL INJ CT X 6 SER PREENC INC ; NO_ACR
527303401171311; RISELLE; RISELLE; NOT FOUND; 25 MG COM P/IMPL CT AMP VD INC + PINCA + APLIC; NO_ACR
507722202139419; RINIGRAN; RINIGRAN; NOT FOUND; 0.5 MG/ML SOL NAS CT FR PLAS TRANS GOT X 10 ML; NO_ACR
