538902001115412, YASMINELLE, YASMINELLE, NOT FOUND, 3 MG + 0.02 MG COM REV CT BL CALEND AL PLAS INC X 21 + 7, NO_ACR
538902002111410, YASMINELLE, YASMINELLE, NOT FOUND, 3 MG + 0.02 MG COM REV CT BL CALEND AL PLAS INC X 63 + 21, NO_ACR
542113080000904, YANG 30, YANG 30, NOT FOUND, 3MG + 0.03MG COM REV CT BL CALEND AL PLAS INC X 21 , NO_ACR
542113080001004, YANG 30, YANG 30, NOT FOUND, 3MG + 0.03MG COM REV CT BL CALEND AL PLAS INC X 63 , NO_ACR
538912050016313, YAZ, YAZ, NOT FOUND, 3 MG + 0.02 MG COM REV CT BL CALEND AL PLAS INC X 24, NO_ACR
538912120021103, YAZ, YAZ, NOT FOUND, 3 MG + 0.02 MG COM REV CT BL CALEND AL PLAS INC X 24 + 4 PLACEBO, NO_ACR
538913050022203, YAZ, YAZ, NOT FOUND, 3 MG + 0.02 MG COM REV CT BL CALEND AL PLAS INC X 72, NO_ACR
538913050022303, YAZ, YAZ, NOT FOUND, 3 MG + 0.02 MG COM REV CT BL CALEND AL PLAS INC X 72 + 12 PLACEBO, NO_ACR
538912050015713, YASMIN, YASMIN, NOT FOUND, 3 MG + 0.03 MG COM REV CT BL CALEND AL PLAS INC X 21, NO_ACR
538913050022003, YASMIN, YASMIN, NOT FOUND, 3 MG + 0.03 MG COM REV CT ENV BL CALEND AL PLAS INC X 21 + 7, NO_ACR
538912070018003, YASMIN, YASMIN, NOT FOUND, 3 MG + 0.03 MG COM REV CT BL CALEND AL PLAS INC X 63, NO_ACR
538913050022403, YASMIN, YASMIN, NOT FOUND, 3 MG + 0.03 MG COM REV CT BL CALEND AL PLAS INC X 63 + 21, NO_ACR
501603301118317, YOMAX, YOMAX, NOT FOUND, 5.4 MG COM CT BL AL PLAS INC X 60, NO_ACR
505112120019302, YERVOY, YERVOY, NOT FOUND, 50 MG SOL INJ INC CT 1 FA VD INC X 10 ML, NO_ACR
505112120019402, YERVOY, YERVOY, NOT FOUND, 200 MG SOL INJ INC CT 1 FA VD INC X 40 ML, NO_ACR
514508001155311, YONDELIS, YONDELIS, NOT FOUND, 1.0 MG PO LIOFINJ CT FA VD INC, NO_ACR
