531613701110411; AGLUCOSE; AGLUCOSE; NOT FOUND; 100 MG COM CT 3 BL AL PVDC LEIT X 10; NO_ACR
531613702117411; AGLUCOSE; AGLUCOSE; NOT FOUND; 50 MG COM CT 3 BL AL PVDC LEIT X 10; NO_ACR
521121501137116; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; NO_ACR
507728902132114; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 10 MG/ML XPE CT FR VD AMB X 120 ML + COP; NO_ACR
521121502133114; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED ; NO_ACR
507728901136116; ACEBROFILINA; ACEBROFILINA; ACEBROFILINA; 5 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; NO_ACR
541812060000106; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG  COM  REV CT BL AL PLAS OPC X 12; NO_ACR
541812070001306; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 100 MG  COM  REV CT BL AL AL X 12; NO_ACR
507737301162115; ACECLOFENACO; ACECLOFENACO; ACECLOFENACO; 15 MG/G CREM DERM CT BG AL X 30 G; NO_ACR
519508101118111; ACETATO DE CIPROTERONA; ACETATO CIPROTERONA; ACETATO CIPROTERONA; 50 MG COM CT BL AL PLAS INC X 20; NO_ACR
531606401115415; ARTEMIDIS 35; ARTEMIDIS 35; NOT FOUND; 2.00 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21  01; NO_ACR
519507902176111; ACETATO DE DESMOPRESSINA; ACETATO DESMOPRESSINA; ACETATO DESMOPRESSINA; 0.1 MG/ML SOL NAS CT FR SPR VD AMB X 2.5 ML; NO_ACR
507739001166111; ACETATO DE DEXAMETASONA; ACETATO DEXAMETASONA; ACETATO DEXAMETASONA; 1 MG/G CREM DERM CT BG AL X 10 G  ; NO_ACR
502400102161113; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G POM DERM CT BG AL X 15 G; NO_ACR
502400101163112; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G CREM DERM CT BG AL X 30 G; NO_ACR
502400103166119; ACETATO DE HIDROCORTISONA; ACETATO HIDROCORTISONA; ACETATO HIDROCORTISONA; 10 MG/G POM DERM CT BG AL X 30 G; NO_ACR
507700302114417; ACETOFLUX; ACETOFLUX; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 14; NO_ACR
505200101113410; ACEMEDROX; ACEMEDROX; NOT FOUND; 10 MG COM CT BL AL PLAST INC X 5; NO_ACR
507700301118419; ACETOFLUX; ACETOFLUX; NOT FOUND; 10 MG COM CT BL AL PLAS INC X 5; NO_ACR
540600401155417; ACETATO DE SÓDIO; ACETATO SODIO; NOT FOUND; 2 MEQ/ML SOL INJ IV CX 50 AMP VD INC X 10 ML; NO_ACR
507726207119117; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC); NO_ACR
507726206112119; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 100 MG GRAN CT 16 ENV AL POLIET X 5 G ; NO_ACR
531610102135110; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 100 ML + CP MED ; NO_ACR
507726201031129; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; XPE FR X 100ML; NO_ACR
507726204136118; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 20 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; NO_ACR
507726208115115; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 200 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC); NO_ACR
507726202176112; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 200 MG GRAN CT 16 ENV AL POLIET X 5 G ; NO_ACR
507726205132116; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 40 MG/ML XPE CT FR VD AMB X 120 ML + CP MED; NO_ACR
507726209111113; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 600 MG GRAN CT 10 ENV AL POLIET X 5 G (EMB FRAC) ; NO_ACR
507726203131112; ACETILCISTEÍNA; ACETILCISTEINA; ACETILCISTEINA; 600 MG GRAN CT 16 ENV AL POLIET X 5 G; NO_ACR
516200101135414; ACROMAX; ACROMAX; NOT FOUND; CX C/ 10 ML FLACONETES; NO_ACR
516200102131412; ACROMAX; ACROMAX; NOT FOUND; CX C/ 50 ML FLACONETES; NO_ACR
505200201118414; ACIVERAL; ACIVERAL; NOT FOUND; 200 MG CX 25 COMP; NO_ACR
521126202111116; ACICLOVIR; ACICLOVIR; ACICLOVIR; 200 MG COM CT BL AL PLAS INC X 25; NO_ACR
505200203110410; ACIVERAL; ACIVERAL; NOT FOUND; 400 MG COM REV CT 7 BL AL PLAS INC X 10; NO_ACR
505200202165416; ACIVERAL; ACIVERAL; NOT FOUND; 50 MG/G CREM DERM CT BG AL X 10 G; NO_ACR
521126201166111; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; NO_ACR
507700401163114; ACICLOVIR; ACICLOVIR; ACICLOVIR; 50 MG/G CREM DERM CT BG AL X 10 G; NO_ACR
515100203167410; ACICLOR; ACICLOR; NOT FOUND; 50 MG/G CREM  CT BG AL X 10 G; NO_ACR
507702501114413; ANTIVIRAX; ANTIVIRAX; NOT FOUND; 200 MG 3 BL X 10 COMP; NO_ACR
507702503151413; ANTIVIRAX; ANTIVIRAX; NOT FOUND; 250 MG PO LIOF CT 5 FA VD INC; NO_ACR
507702502161415; ANTIVIRAX; ANTIVIRAX; NOT FOUND; 50 MG/G CREM CT BG AL X 10 G; NO_ACR
531610301162118; ADAPALENO; ADAPALENO; ADAPALENO; 1 MG/G CREM DERM CT BG AL X 30 G; NO_ACR
531610302169116; ADAPALENO; ADAPALENO; ADAPALENO; 1 MG/G GEL CT BG AL X 30 G; NO_ACR
521122601161114; ADAPALENO; ADAPALENO; ADAPALENO; 1 MG/G GEL DERM CT BG PE OPC X 30 G; NO_ACR
