540914120013604; LYDIAN; LYDIAN; NOT FOUND; 2.0 MG + 0.035 MG COM REV CT BL AL PLAS INC X 21 ; NO_ACR
540914120013704; LYDIAN; LYDIAN; NOT FOUND; 2.0 MG + 0.035 MG COM REV CT BL AL PLAS INC X 63; NO_ACR
519506901151419; LORELIN DEPOT; LORELIN DEPOT; NOT FOUND; 3.75 MG PO LIOF INJ CT FA VD INC + AMP DIL X 2 ML; NO_ACR
519512060020103; LORELIN DEPOT; LORELIN DEPOT; NOT FOUND; 3.75 MG PO LIOF INJ CT FA VD INC + AMP DIL X 2 ML  + 1 SER + 2 AGU + MAT P/ ASSEP; NO_ACR
524700701116416; LFM-ALBENDAZOL; LFM ALBENDAZOL; NOT FOUND; 200 MG COM CX 150 ENV KRAFT POLIET X 2 (EMB. HOSP.); NO_ACR
519702801162419; LQFEX - SULFATO DE NEOMICINA + BACITRACINA ZINCICA; LQFEX SULFATO NEOMICINA BACITRACINA ZINCICA; NOT FOUND; 5 MG/G + 250 UI/G POM DERM CX 50 BG AL X 10 G; NO_ACR
517015010008803; LAFEPE BENZNIDAZOL; LAFEPE BENZNIDAZOL; NOT FOUND; 12.5 MG COM CX 24 BL AL PVC CRISTAL X 10; NO_ACR
517006102111316; LAFEPE BENZNIDAZOL; LAFEPE BENZNIDAZOL; NOT FOUND; 100 MG COM CT BL AL PVC X 100; NO_ACR
517006103118314; LAFEPE BENZNIDAZOL; LAFEPE BENZNIDAZOL; NOT FOUND; 100 MG COM CT BL AL PVDC X 100; NO_ACR
517006101115318; LAFEPE BENZNIDAZOL; LAFEPE BENZNIDAZOL; NOT FOUND; 100 MG COM CX 35 FR VD AMB X 100; NO_ACR
517006104114312; LAFEPE BENZNIDAZOL; LAFEPE BENZNIDAZOL; NOT FOUND; 100 MG COM CX 35 FR PLAS OPC X 100; NO_ACR
519700701179410; LQFEX BENZOATO DE BENZILA; LQFEX BENZOATO BENZILA; NOT FOUND; 250 MG/ML EMU TOP CX 50 FR VD AMB X 100 ML; NO_ACR
521109203113317; LOTAR; LOTAR; NOT FOUND; 5.0 MG + 50.0 MG CAP GEL DURA CT STR X 30; NO_ACR
521109204111318; LOTAR; LOTAR; NOT FOUND; 5.0 MG + 100.0 MG CAP GEL DURA CT STR X 7; NO_ACR
521109205116313; LOTAR; LOTAR; NOT FOUND; 2.5 MG + 50.0 MG CAP GEL DURA CT STR X 7; NO_ACR
521109206112311; LOTAR; LOTAR; NOT FOUND; 5.0 MG + 50.0 MG CAP GEL DURA CT STR X 7   ; NO_ACR
521109201110418; LOTAR; LOTAR; NOT FOUND; 2.5 MG + 50.0 MG CAP GEL DURA CT STR X 30 ; NO_ACR
521109202117416; LOTAR; LOTAR; NOT FOUND; 5.0 MG + 100.0 MG CAP GEL DURA CT STR X 30; NO_ACR
532312110006504; LACTON; LACTON; NOT FOUND; 5 MG COM REV CT 25 BL AL/PLAS INC X 04; NO_ACR
540912030005414; LACTO PURGA; LACTO PURGA; NOT FOUND; 5 MG COM REV DISP BL AL PLAS INC X 150 (EMB MULT); NO_ACR
540912050005803; LACTO PURGA; LACTO PURGA; NOT FOUND; 5 MG COM REV CT BL AL PLAS INC X 16; NO_ACR
519600701118415; LAQFA CAPTOPRIL; LAQFA CAPTOPRIL; NOT FOUND; 12.5 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); NO_ACR
519600702114413; LAQFA CAPTOPRIL; LAQFA CAPTOPRIL; NOT FOUND; 25 MG COM CX BL AL PLAS INC X 500 (EMB HOSP); NO_ACR
518001301114417; LIFAL - CAPTOPRIL; LIFAL CAPTOPRIL; NOT FOUND; 25 MG COM CX BL AL PLAS INC X 500; NO_ACR
524701401116419; LFM-CARBAMAZEPINA; LFM CARBAMAZEPINA; NOT FOUND; 200 MG COM CX 50 ENV AL POLIET X 10; NO_ACR
503100901162419; LIPOSIC; LIPOSIC; NOT FOUND; 2.0 MG/G + 48.5 MG/G GEL OFT CT BG PLAS LAMINADO X 10 G; NO_ACR
519701001111412; LQFEX CIMETIDINA; LQFEX CIMETIDINA; NOT FOUND; 200 MG COM CX ENV KRAFT X 500; NO_ACR
510604901118315; LEUKERAN; LEUKERAN; NOT FOUND;  2 MG COM REV CT FR VD AMB X 25; NO_ACR
540912050006513; LISADOR; LISADOR; NOT FOUND; (500 MG + 5 MG + 10 MG) / 1.5 ML SOL OR CT FR PLAS OPC X 10 ML; NO_ACR
540912050006813; LISADOR; LISADOR; NOT FOUND; (500 MG + 5 MG + 10 MG) / 1.5 ML SOL OR CT FR PLAS OPC X 15 ML; NO_ACR
540912050007013; LISADOR; LISADOR; NOT FOUND; (500 MG + 5 MG + 10 MG) / 1.5 ML SOL OR CT FR PLAS OPC X 20 ML; NO_ACR
540912050006713; LISADOR; LISADOR; NOT FOUND; 500 MG + 5 MG + 10 MG COM CT BL AL PLAS AMB X 100; NO_ACR
540912050006613; LISADOR; LISADOR; NOT FOUND; 500 MG + 5 MG + 10 MG COM CT BL AL PLAS AMB X 16; NO_ACR
540912050006913; LISADOR; LISADOR; NOT FOUND; 500 MG + 5 MG + 10 MG COM CT BL AL PLAS AMB X 200; NO_ACR
521113070058306; LEVODOPA+CLORIDRATO DE BENSERAZIDA; LEVODOPA CLORIDRATO BENSERAZIDA; NOT FOUND; 200 MG + 50 MG COM CT FR VD AMB X 30; NO_ACR
524701701136415; LFM-BROMEXINA 0,08%; LFM BROMEXINA 0 08; NOT FOUND; 0.8 MG/ML XPE CX 50 FR VD AMB X 150 ML; NO_ACR
528600401156418; LIDOSTESIM S.V; LIDOSTESIM S V; NOT FOUND; 2% SOL INJ CT 50 CARP PLAS TRANS X 1.8 ML; NO_ACR
501804401152410; LIDOSTON; LIDOSTON; NOT FOUND; 5 MG/ML SOL INJ CX 10 AMP VD INC X 10 ML; NO_ACR
528600301151414; LIDOSTESIM; LIDOSTESIM; NOT FOUND; 20 MG/ML + 0.04 MG/ML SOL INJ CX 50 CARP PLAS TRANS X 1.8 ML; NO_ACR
528600302158412; LIDOSTESIM; LIDOSTESIM; NOT FOUND; 30 MG/ML + 0.04 MG/ML SOL INJ CX 50 CARP PLAS TRANS X 1.8 ML; NO_ACR
505205501152414; LINCOFLAN; LINCOFLAN; NOT FOUND; 300 MG/ML SOL INJ CX AMP VD INC X 1 ML; NO_ACR
541312030001204; LINATRON; LINATRON; NOT FOUND; 300 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML (EMB HOSP); NO_ACR
505205502159412; LINCOFLAN; LINCOFLAN; NOT FOUND; 300 MG/ML SOL INJ CX AMP VD INC X 2 ML; NO_ACR
501807201154414; LINATRON; LINATRON; NOT FOUND; 300 MG/ML SOL INJ CX 50 AMP VD INC X 2 ML (EMB HOSP); NO_ACR
