525504502112211, JANUMET, JANUMET, NOT FOUND, 50 MG / 1000MG COM REV CT BL AL AL X 28, NO_ACR
525504503119211, JANUMET, JANUMET, NOT FOUND, 50 MG / 1000MG COM REV CT BL AL AL X 56, NO_ACR
525504501116213, JANUMET, JANUMET, NOT FOUND, 50 MG / 500MG COM REV CT BL AL AL X 28, NO_ACR
525504504115218, JANUMET, JANUMET, NOT FOUND, 50 MG / 500MG COM REV CT BL AL AL X 56, NO_ACR
525504505111216, JANUMET, JANUMET, NOT FOUND, 50 MG / 850MG COM REV CT BL AL AL X 28, NO_ACR
525504506118214, JANUMET, JANUMET, NOT FOUND, 50 MG / 850MG COM REV CT BL AL AL X 56, NO_ACR
508502102117411, JUMEXIL, JUMEXIL, NOT FOUND, 10 MG DRG CT 3 BL AL PLAS INC X 10, NO_ACR
508502101110413, JUMEXIL, JUMEXIL, NOT FOUND, 5 MG COM CT 2 BL AL PLAS INC X 10, NO_ACR
525503703114213, JANUVIA, JANUVIA, NOT FOUND, 100 MG COM REV CT BL AL PVC/PE/PVDC X 14, NO_ACR
525503702118215, JANUVIA, JANUVIA, NOT FOUND, 100 MG COM REV CT BL AL PVC/PE/PVDC X 28, NO_ACR
525503701111217, JANUVIA, JANUVIA, NOT FOUND, 25 MG COM REV CT BL AL PVC/PE/PVDC X 28, NO_ACR
525503704110211, JANUVIA, JANUVIA, NOT FOUND, 50 MG COM REV CT BL AL PVC/PE/PVDC X 28, NO_ACR
514800201134417, JOSVERM, JOSVERM, NOT FOUND, (200 + 33.2) MG/ML SUS OR CT FR VD AMB X 30 ML, NO_ACR
