511302301116419; HINOX; HINOX; NOT FOUND; COM REV CX FR PLAS INC X 30; NO_ACR
511302302112417; HINOX; HINOX; NOT FOUND; COM REV CT FR PLAS X 90; NO_ACR
510610001115217; HEPSERA; HEPSERA; NOT FOUND; 10 MG COM CT FR PLAS OPC X 30; NO_ACR
519501404158414; HEMOPREX; HEMOPREX; NOT FOUND; 10000 UI/ML SOL INJ CT 1 SER VD INC PREENCH X 1.0 ML; NO_ACR
519501403151416; HEMOPREX; HEMOPREX; NOT FOUND; 4000 UI/ML SOL INJ CT 6 FA VD INC X 1.0 ML; NO_ACR
541312030010604; HIOARISTON; HIOARISTON; NOT FOUND; 4 MG/ML  + 500 MG/ML SOL INJ CX 50 AMP VD AMB X 5 ML (EMB HOSP); NO_ACR
501804301158417; HIOARISTON; HIOARISTON; NOT FOUND; 4 MG/ML + 500 MG/ML SOL INJ CX 50 AMP VD AMB X 5 ML (EMB HOSP); NO_ACR
535601501114411; HIPOTENSIL; HIPOTENSIL; NOT FOUND; 25 MG COM CT 1 BL AL PVC X 10; NO_ACR
535601502110411; HIPOTENSIL; HIPOTENSIL; NOT FOUND; 25 MG COM CT 2 BL AL PVC X 10; NO_ACR
514600604111412; HEMOPRESS; HEMOPRESS; NOT FOUND; 25.0 MG COM CT 2 BL AL PLAS INC X 15; NO_ACR
535601507112410; HIPOTENSIL; HIPOTENSIL; NOT FOUND; 25 MG COM CT 3 BL AL PVC X 10; NO_ACR
535601503117418; HIPOTENSIL; HIPOTENSIL; NOT FOUND; 25 MG COM CT 6 BL AL PVC X 10; NO_ACR
535601504113416; HIPOTENSIL; HIPOTENSIL; NOT FOUND; 50 MG COM CT 1 BL AL PVC X 10; NO_ACR
535601505111417; HIPOTENSIL; HIPOTENSIL; NOT FOUND; 50 MG COM CT 2 BL AL PVC X 10; NO_ACR
514600606114419; HEMOPRESS; HEMOPRESS; NOT FOUND; 50 MG COM CT 2 BL AL PLAS INC X 15; NO_ACR
535601506116412; HIPOTENSIL; HIPOTENSIL; NOT FOUND; 50 MG COM CT 6 BL AL PVC X 10; NO_ACR
516201201133411; HEPAVITOSE; HEPAVITOSE; NOT FOUND; FR C/ 160 ML; NO_ACR
505205001168419; HIPODEX; HIPODEX; NOT FOUND; POM DERM CT BG PLAS X 20 G; NO_ACR
512700201136412; HIDROMAX; HIDROMAX; NOT FOUND; PO PREP EXTEMP CT 4 SACH AL POLIET X 7.337 G; NO_ACR
512700202132410; HIDROMAX; HIDROMAX; NOT FOUND; PO PREP EXTEMP CT 50 SACH AL POLIET X 7.337 G; NO_ACR
508503102110318; HIPERTIL; HIPERTIL; NOT FOUND; 30 MG + 10 MG COM CT FR VD AMB X 14; NO_ACR
508503101114311; HIPERTIL; HIPERTIL; NOT FOUND; 30 MG + 10 MG COM CT FR VD AMB X 28 ; NO_ACR
508503103117316; HIPERTIL; HIPERTIL; NOT FOUND; 30 MG + 10 MG COM CT FR VD AMB X 7; NO_ACR
507742001112410; HEMOSEV; HEMOSEV; NOT FOUND; 800 MG COM REV CT FR PLAS OPC X 180; NO_ACR
510615020053605; HYCAMTIN; HYCAMTIN; NOT FOUND; 0.25 MG CAP GEL DURA CT BL ALU PLAS OPC X 10; NO_ACR
510615020053705; HYCAMTIN; HYCAMTIN; NOT FOUND; 1.0 MG CAP GEL DURA CT BL ALU PLAS OPC X 10; NO_ACR
531623002118410; HERPSTAL; HERPSTAL; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 10; NO_ACR
531623001111412; HERPSTAL; HERPSTAL; NOT FOUND; 500 MG COM REV CT BL AL PLAS LEIT X 42; NO_ACR
531622701136411; HIDROALERG; HIDROALERG; NOT FOUND; 2 MG/ ML SOL OR CT FR PLAS OPC X 120 ML + CP MED; NO_ACR
505603302151417; HEPTRON; HEPTRON; NOT FOUND; 20 MG/0.2 ML SOL INJ CX 10 SER PRE-ENCHIDA X 0.2 ML; NO_ACR
505613010036503; HEPTRON; HEPTRON; NOT FOUND; 20MG SOL INJ CT 10 SER PREENC VD TRANS X 0.2ML + SIST SEGURANCA; NO_ACR
505603303156412; HEPTRON; HEPTRON; NOT FOUND; 40 MG/0.4 ML SOL INJ CX 10 SER PRE-ENCHIDA X 0.4 ML; NO_ACR
505613010036603; HEPTRON; HEPTRON; NOT FOUND; 40MG SOL INJ CT 10 SER PREENC VD TRANS X 0.4ML + SIST SEGURANCA; NO_ACR
505603304152410; HEPTRON; HEPTRON; NOT FOUND; 60 MG/0.6 ML SOL INJ CX 10 SER PRE-ENCHIDA X 0.6 ML; NO_ACR
505613010036703; HEPTRON; HEPTRON; NOT FOUND; 60MG SOL INJ CT 10 SER PREENC VD TRANS X 0.6ML + SIST SEGURANCA; NO_ACR
505603305159419; HEPTRON; HEPTRON; NOT FOUND; 80 MG/0.8 ML SOL INJ CX 10 SER PRE-ENCHIDA X 0.8 ML; NO_ACR
505613010036803; HEPTRON; HEPTRON; NOT FOUND; 80MG SOL INJ CT 10 SER PREENC VD TRANS X 0.8ML + SIST SEGURANCA; NO_ACR
505613010036303; HEPTRON; HEPTRON; NOT FOUND; 100 MG/ML SOL INJ CX 2 SER PRE-ENCHIDA X 1.0 ML; NO_ACR
505613010036403; HEPTRON; HEPTRON; NOT FOUND; 100MG SOL INJ CT 2 SER PREENC VD TRANS X 1.0ML + SIST SEGURANCA; NO_ACR
521107401155419; HEMAX; HEMAX; NOT FOUND; 10.000 UI PO LIOF INJ CT FA VD INC + AMP DIL X 2 ML; NO_ACR
521107403158415; HEMAX; HEMAX; NOT FOUND; 2000 UI PO LIOF INJ CT FA VD INC + AMP DIL X 2 ML; NO_ACR
521107406157411; HEMAX; HEMAX; NOT FOUND; 2.000 UI/ML SOL INJ CT SER PRE-ENCH X 0.25 ML; NO_ACR
521107404154413; HEMAX; HEMAX; NOT FOUND; 3000 UI PO LIOF INJ CT FA VD INC + AMP DIL X 2 ML; NO_ACR
521107405150411; HEMAX; HEMAX; NOT FOUND; 4000 UI PO LIOF INJ CT FA VD INC + AMP DIL X 2 ML; NO_ACR
521107407153418; HEMAX; HEMAX; NOT FOUND; 4.000 UI/ML SOL INJ CT SER PRE-ENCH X 0.5 ML; NO_ACR
522701402116411; HARMONET; HARMONET; NOT FOUND; 0.075 MG + 0.02 MG DRG CT BL AL PLAS INC X 21; NO_ACR
527314090015004; HETORI; HETORI; NOT FOUND; 60 MG COM REV CT BL AL/AL X 7; NO_ACR
527314090015104; HETORI; HETORI; NOT FOUND; 60 MG COM REV CT BL AL/AL X 14; NO_ACR
527314090015204; HETORI; HETORI; NOT FOUND; 90 MG COM REV CT BL AL/AL X 2; NO_ACR
527314090015304; HETORI; HETORI; NOT FOUND; 90 MG COM REV CT BL AL/AL X 7; NO_ACR
527314090015404; HETORI; HETORI; NOT FOUND; 90 MG COM REV CT BL AL/AL X 14; NO_ACR
502600905150411; HAEMATE P; HAEMATE P; NOT FOUND; 1000 UI + 2400 UI PO LIOF INJ CT FA VD INC + FA VD INC DIL X 15 ML + DISP TRANSFERENCIA; NO_ACR
502612020006003; HAEMATE P; HAEMATE P; NOT FOUND; 1000 UI + 2400 UI PO LIOF INJ CT FA VD INC + FA VD INC DIL X 15 ML + DISP TRANSF COM FLTR; NO_ACR
502600901155419; HAEMATE P; HAEMATE P; NOT FOUND; 25 UI/ML + 55 UI/ML PO LIOF INJ CT FA VD INC + FA VD INC DIL X 10 ML + DISP TRANSFERENCIA; NO_ACR
502600902151417; HAEMATE P; HAEMATE P; NOT FOUND; 25 UI/ML + 55 UI/ML PO LIOF INJ CT FA VD INC + FA VD INC DIL X 20 ML + DISP TRANSFERENCIA; NO_ACR
502600903158415; HAEMATE P; HAEMATE P; NOT FOUND; 250 UI + 600 UI PO LIOF INJ CT FA VD INC + FA VD INC DIL X 5 ML + DISP TRANSFERENCIA; NO_ACR
502612020005803; HAEMATE P; HAEMATE P; NOT FOUND; 250 UI + 600 UI PO LIOF INJ CT FA VD INC + FA VD INC DIL X 5 ML + DISP TRANSF COM FLTR; NO_ACR
502600904154413; HAEMATE P; HAEMATE P; NOT FOUND; 500 UI + 1200 UI PO LIOF INJ CT FA VD INC + FA VD INC DIL X 10 ML + DISP TRANSFERENCIA; NO_ACR
502612020005903; HAEMATE P; HAEMATE P; NOT FOUND; 500 UI + 1200 UI PO LIOF INJ CT FA VD INC + FA VD INC DIL X 10 ML + DISP TRANSF COM FLTR; NO_ACR
542914010000204; HEMO-8R; HEMO 8R; NOT FOUND; 1000 UI PO LIOF INJ CT 1 FA VD INC + FA DIL X 5 ML + CONJ REC E INFUS ; NO_ACR
542914010000304; HEMO-8R; HEMO 8R; NOT FOUND; 1500 UI PO LIOF INJ CT 1 FA VD INC + FA DIL X 5 ML + CONJ REC E INFUS ; NO_ACR
542914010000004; HEMO-8R; HEMO 8R; NOT FOUND; 250 UI PO LIOF INJ CT 1 FA VD INC + FA DIL X 5 ML + CONJ REC E INFUS ; NO_ACR
542914010000104; HEMO-8R; HEMO 8R; NOT FOUND; 500 UI PO LIOF INJ CT 1 FA VD INC + FA DIL X 5 ML + CONJ REC E INFUS ; NO_ACR
502601701151310; HAEMOCOMPLETTAN P	; HAEMOCOMPLETTAN P; NOT FOUND; 1G PO LIOF CT FA VD INC ; NO_ACR
502601702156316; HAEMOCOMPLETTAN P	; HAEMOCOMPLETTAN P; NOT FOUND; 2G PO LIOF CT FA VD INC ; NO_ACR
507739401164116; HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA; HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA; NOT FOUND; 40 MG/G + 0.5 MG/G +0.1 MG/G  CREM DERM CT BG AL X 15 G ; NO_ACR
507739402160114; HIDROQUINONA + TRETINOÍNA + FLUOCINOLONA ACETONIDA; HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA; NOT FOUND; 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 30 G; NO_ACR
531613070069606; HIDROQUINONA + TRETINOINA + FLUOCINOLONA ACETONIDA; HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA; NOT FOUND; 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 15 G; NO_ACR
531613070069506; HIDROQUINONA + TRETINOINA + FLUOCINOLONA ACETONIDA; HIDROQUINONA TRETINOINA FLUOCINOLONA ACETONIDA; NOT FOUND; 40 MG/G + 0.5 MG/G +0.1 MG/G CREM DERM CT BG AL X 30 G ; NO_ACR
531612001131116; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; NO_ACR
507731801139113; HALOPERIDOL; HALOPERIDOL; HALOPERIDOL; 2 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML ; NO_ACR
522714120044306; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 25 MG COM REV CT BL AL PVC OPC X 10; NO_ACR
522714120044406; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 25 MG COM REV CT BL AL PVC OPC X 15; NO_ACR
522714120044506; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 25 MG COM REV CT BL AL PVC OPC X 20; NO_ACR
522714120044606; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 25 MG COM REV CT BL AL PVC OPC X 30; NO_ACR
522714120044706; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 25 MG COM REV CT BL AL PVDC OPC X10; NO_ACR
522714120044806; HEMIFUMARATO DE QUETIAPINA; HEMIFUMARATO QUETIAPINA; HEMIFUMARATO QUETIAPINA; 25 MG COM REV CT BL AL PVDC OPC X15; NO_ACR
