502813030064504, VECLESA, VECLESA, NOT FOUND, 2 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 21, NO_ACR
502813030064604, VECLESA, VECLESA, NOT FOUND, 2 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 42, NO_ACR
502813030064704, VECLESA, VECLESA, NOT FOUND, 2 MG + 0.03 MG COM REV CT BL AL PLAS TRANS X 63, NO_ACR
514002201110416, VITAMINA E DELTA, VITAMINA E DELTA, NOT FOUND, 400 MG CAP GEL MOLE CT BL AL PLAS INC X 20, NO_ACR
505208801114415, VIETA, VIETA, NOT FOUND, CX 30 CAPS, NO_ACR
517300801110319, VITFORTE, VITFORTE, NOT FOUND, CAPS CX COM 3 BL X 10, NO_ACR
517300802117317, VITFORTE, VITFORTE, NOT FOUND, CAPS CX COM 5 BL X 10, NO_ACR
533019201115416, VITA ANTI-OX, VITA ANTI OX, NOT FOUND, COM REV CT FR PLAS OPC X 30, NO_ACR
524803201116426, VITERGAN ZINCO PL, VITERGAN ZINCO PL, NOT FOUND, COMP REV CX COM 30, NO_ACR
524803101111422, VITERGAN ZINCO, VITERGAN ZINCO, NOT FOUND, COMP REV CX COM 30, NO_ACR
524802901114428, VITERGAN MASTER, VITERGAN MASTER, NOT FOUND, CAPS CX COM 30, NO_ACR
524803001117429, VITERGAN PRÉ-NATAL, VITERGAN PRE NATAL, NOT FOUND, COMP REV CX COM 30, NO_ACR
533020901133410, VITA JR, VITA JR, NOT FOUND, SOL OR CT FR PLAS OPC X 120 ML C/DOSAD, NO_ACR
533020904132415, VITA JR, VITA JR, NOT FOUND, SOL OR CT FR VD AMB X 120 ML C/DOSAD, NO_ACR
533020902131411, VITA JR, VITA JR, NOT FOUND, SOL OR CT FR PLAS OPC X 200 ML C/DOSAD, NO_ACR
533020903136417, VITA JR, VITA JR, NOT FOUND, SOL OR CT FR VD AMB X 200 ML C/DOSAD, NO_ACR
533020905139413, VITA JR, VITA JR, NOT FOUND, SOL OR CT FR VD AMB X 240 ML C/DOSAD, NO_ACR
533020906135411, VITA JR, VITA JR, NOT FOUND, SOL OR CT FR PLAS OPC X 240 ML C/DOSAD, NO_ACR
505606701111413, VIROTIN, VIROTIN, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 25  , NO_ACR
505606702116419, VIROTIN, VIROTIN, NOT FOUND, 400 MG COM CT BL AL PLAS INC X 70   , NO_ACR
531302301110312, VALDOXAN, VALDOXAN, NOT FOUND, 25 MG COM REV CT BL AL PLAS INC X 14, NO_ACR
531302302117310, VALDOXAN, VALDOXAN, NOT FOUND, 25 MG COM REV CT BL AL PLAS INC X 28, NO_ACR
517104901116416, VERMITAL, VERMITAL, NOT FOUND, 200 MG COM CT ENV PAPEL KRAFT POLIET X 2, NO_ACR
527903603113416, VERDAZOL, VERDAZOL, NOT FOUND, 200 MG COM CT BL AL PLAS INC X 200 (EMB HOSP), NO_ACR
517104902139411, VERMITAL, VERMITAL, NOT FOUND, 40 MG/ML SUS OR CT FR VD AMB X 10 ML 01, NO_ACR
539400201159410, VIALEBEX, VIALEBEX, NOT FOUND, 20% SOL INJ CT 1 FA VD INC X 50 ML, NO_ACR
527600401158415, VENTIA, VENTIA, NOT FOUND, 1000 MG SOL INJ CT FA VD INC X 50 ML, NO_ACR
540213090000602, VPRIV, VPRIV, NOT FOUND, 400 U PO LIOF INJ CT FA VD INC X 1, NO_ACR
510612202118211, VOLIBRIS, VOLIBRIS, NOT FOUND, 10 MG COM REV CT BL AL PVC X 30, NO_ACR
510612201111211, VOLIBRIS, VOLIBRIS, NOT FOUND,  5 MG COM REV CT BL AL PVC X 30, NO_ACR
531604207117411, VELAMOX, VELAMOX, NOT FOUND, 875 MG COM REV CT BL AL/AL X 14, NO_ACR
531604202115419, VELAMOX, VELAMOX, NOT FOUND, 1 G COM CT BL AL PVDC BCO LEIT X 12, NO_ACR
531604203138412, VELAMOX, VELAMOX, NOT FOUND, 100 MG/ML SUS OR CT FR PLAS OPC X 150 ML + CP MED, NO_ACR
531604204134410, VELAMOX, VELAMOX, NOT FOUND, 250 MG/ 5 ML PO SUS OR CT FR PLAS OPC X 150 ML + CP MED + SER DOSAD., NO_ACR
531604206110411, VELAMOX, VELAMOX, NOT FOUND, 500 MG COM CT BL AL PVDC BCO LEIT X 18, NO_ACR
531604205130419, VELAMOX, VELAMOX, NOT FOUND, 400 MG/ 5 ML PO SUS OR CT FR PLAS OPC X 100 ML + CP MED + SER DOSAD, NO_ACR
525073801116414, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 10, NO_ACR
508013100099303, VAST, VAST, NOT FOUND, 10 MG COM REV CT BL AL/AL X 10, NO_ACR
525073802112412, VOLUNTA, VOLUNTA, NOT FOUND, 10 MG COM REV CT BL AL/AL X 200 (EMB HOSP), NO_ACR
