525500301155311; CANCIDAS; CANCIDAS; NOT FOUND; 50 MG PO LIOF SOL INJ CT FA VD INC; NO_ACR
525500302151318; CANCIDAS; CANCIDAS; NOT FOUND; 70 MG PO LIOF SOL INJ CT FA VD INC; NO_ACR
540913040011104; CETIVA AE; CETIVA AE; NOT FOUND; 5000 UI/ML + 65 MG/ML + 30 MG/ML SOL OR CT FR VD AMB X 30 ML; NO_ACR
510613040051304; CETIKLINE; CETIKLINE; NOT FOUND; 120 MG/G GRAN CX 1000 ENV AL/PLAS X 5 G (EMB MULT); NO_ACR
510613040051104; CETIKLINE; CETIKLINE; NOT FOUND; 120 MG/G GRAN CT 16 ENV AL/PLAS X 5 G; NO_ACR
510613040051204; CETIKLINE; CETIKLINE; NOT FOUND; 120 MG/G GRAN CT 200 ENV AL/PLAS X 5 G (EMB MULT); NO_ACR
510613040050304; CETIKLINE; CETIKLINE; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 100 ML + COP; NO_ACR
510613040050604; CETIKLINE; CETIKLINE; NOT FOUND; 20 MG/ML XPE CX 50 FR VD AMB X 100 ML + 50 COP; NO_ACR
510613040050404; CETIKLINE; CETIKLINE; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 150 ML + COP; NO_ACR
510613040050704; CETIKLINE; CETIKLINE; NOT FOUND; 20 MG/ML XPE CX 50 FR VD AMB X 150 ML + 50 COP; NO_ACR
510613040050204; CETIKLINE; CETIKLINE; NOT FOUND; 20 MG/ML XPE CT FR VD AMB X 80 ML + COP; NO_ACR
510613040050504; CETIKLINE; CETIKLINE; NOT FOUND; 20 MG/ML XPE CX 50 FR VD AMB X 80 ML + 50 COP; NO_ACR
510613040051004; CETIKLINE; CETIKLINE; NOT FOUND; 40 MG/G GRAN CX 1000 ENV AL/PLAS X 5 G (EMB MULT); NO_ACR
510613040050804; CETIKLINE; CETIKLINE; NOT FOUND; 40 MG/G GRAN CT 16 ENV AL/PLAS X 5 G; NO_ACR
510613040050904; CETIKLINE; CETIKLINE; NOT FOUND; 40 MG/G GRAN CT 200 ENV AL/PLAS X 5 G (EMB MULT); NO_ACR
535601401111410; CICLOVIRAL; CICLOVIRAL; NOT FOUND; 200 MG COM CT 2 BL AL PVC X 10; NO_ACR
535601402116416; CICLOVIRAL; CICLOVIRAL; NOT FOUND; 200 MG COM CT 3 BL AL PVC X 10; NO_ACR
535601403112414; CICLOVIRAL; CICLOVIRAL; NOT FOUND; 200 MG COM CT 6 BL AL PVC X 10; NO_ACR
535601404119412; CICLOVIRAL; CICLOVIRAL; NOT FOUND; 400 MG COM CT 2 BL AL PVC X 10; NO_ACR
535601405115410; CICLOVIRAL; CICLOVIRAL; NOT FOUND; 400 MG COM CT 3 BL AL PVC X 10; NO_ACR
535601406111419; CICLOVIRAL; CICLOVIRAL; NOT FOUND; 400 MG COM CT 6 BL AL PVC X 10; NO_ACR
510602203154417; CLAVULIN IV; CLAVULIN IV; NOT FOUND;  1 G + 200 MG PO LIOF INJ CT 10 FA VD INC; NO_ACR
510602201151410; CLAVULIN IV; CLAVULIN IV; NOT FOUND;  500 MG + 100 MG PO LIOF INJ CT 10 FA VD INC; NO_ACR
510602101130411; CLAVULIN BD; CLAVULIN BD; NOT FOUND; 200 MG + 28.5 MG/5 ML PO EXT CT FR VD INC X 70 ML; NO_ACR
510602102137411; CLAVULIN BD; CLAVULIN BD; NOT FOUND; 400 MG + 57MG/5 ML PO EXT CT FR VD INC X 70 ML; NO_ACR
510612060048003; CLAVULIN; CLAVULIN; NOT FOUND; 400 MG + 57MG/5 ML PO EXT CT FR VD INC X 140 ML; NO_ACR
510602104113410; CLAVULIN BD; CLAVULIN BD; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS TRANS+ ENV X 14; NO_ACR
510602105111411; CLAVULIN BD; CLAVULIN BD; NOT FOUND; 875 MG + 125 MG COM REV CT BL AL PLAS TRANS + ENV X 20; NO_ACR
510602007134311; CLAVULIN; CLAVULIN; NOT FOUND; 125 MG + 31.25 MG / 5 ML PO SUS OR CT FR VD TRANS X 100 ML; NO_ACR
510602008130318; CLAVULIN; CLAVULIN; NOT FOUND; 250 MG + 62.50 MG / 5 ML PO SUS OR CT FR VD TRANS X 100 ML ; NO_ACR
510602010119318; CLAVULIN; CLAVULIN; NOT FOUND; 500 MG + 125 MG COM REV CT BL AL PLAS TRANS+ ENV X 21 ; NO_ACR
