8117; PAVULON ; PAVULON; NOT FOUND; AMP. 2 MG 2 ML x 25 (/ML); MSD
58439; PEGINTRON ; PEGINTRON; NOT FOUND; F.AMP SOLV 100 Y x 1; MSD
58440; PEGINTRON ; PEGINTRON; NOT FOUND; F.AMP SOLV 120 Y x 1; MSD
58438; PEGINTRON ; PEGINTRON; NOT FOUND; F.AMP SOLV 80 Y x 1; MSD
75093; PEGINTRON REDIPEN ; PEGINTRON REDIPEN; NOT FOUND; F.AM+SER/DIL 100 Y 0.50 ML x 1; MSD
75092; PEGINTRON REDIPEN ; PEGINTRON REDIPEN; NOT FOUND; F.AM+SER/DIL 120 Y 0.50 ML x 1; MSD
75094; PEGINTRON REDIPEN ; PEGINTRON REDIPEN; NOT FOUND; F.AM+SER/DIL 80 Y 0.50 ML x 1; MSD
46906; PRINIVIL ; PRINIVIL; NOT FOUND; CPR 10 MG x 30; MSD
47104; PRINIVIL ; PRINIVIL; NOT FOUND; CPR 20 MG x 30; MSD
46831; PRINIVIL ; PRINIVIL; NOT FOUND; CPR 5 MG x 30; MSD
52292; PRINZIDE ; PRINZIDE; NOT FOUND; CPR 10 MG x 30 (/12); MSD
50550; PRINZIDE ; PRINZIDE; NOT FOUND; CPR 20 MG x 30 (/12); MSD
53158; PROPECIA ; PROPECIA; NOT FOUND; CPR REVEST 1 MG x 30; MSD
49248; PROSCAR ; PROSCAR; NOT FOUND; CPR 5 MG x 15; MSD
49249; PROSCAR ; PROSCAR; NOT FOUND; CPR 5 MG x 30; MSD
51982; PUREGON ; PUREGON; NOT FOUND; AMP. LIOF 100 IU x 1; MSD
62017; PUREGON ; PUREGON; NOT FOUND; CARP 600 IU 0.80 ML x 1; MSD
62016; PUREGON ; PUREGON; NOT FOUND; CARTUCHO 300 IU 0.50 ML x 1; MSD
51981; PUREGON ; PUREGON; NOT FOUND; F AMP LIOF 50 IU 0.50 ML x 1; MSD
