58101, CANCIDAS , CANCIDAS, NOT FOUND, F.IV INFUSAO 50 MG x 1, MSD
58102, CANCIDAS , CANCIDAS, NOT FOUND, F.IV INFUSAO 70 MG x 1, MSD
57594, CERAZETTE , CERAZETTE, NOT FOUND, CPR REVEST 75 Y x 28, MSD
102145, CERAZETTE , CERAZETTE, NOT FOUND, CPR REVEST 75 Y x 84, MSD
47369, CLARITIN , CLARITIN, NOT FOUND, CPR 10 MG x 12, MSD
46866, CLARITIN , CLARITIN, NOT FOUND, CPR 10 MG x 6, MSD
47370, CLARITIN , CLARITIN, NOT FOUND, XAROPE PED. 5 MG 100 ML x 1 (/5ML), MSD
86851, CLARITIN , CLARITIN, NOT FOUND, XAROPE UVA 1 MG 60 ML x 1 (/ML), MSD
48670, CLARITIN-D , CLARITIN D, NOT FOUND, REPETABS x 12, MSD
56273, CLARITIN-D , CLARITIN D, NOT FOUND, TABL 24 HOUR 240 MG x 6 (/10), MSD
77325, CLARITIN-D , CLARITIN D, NOT FOUND, XAR. 30 ML x 1, MSD
49637, CLARITIN-D , CLARITIN D, NOT FOUND, XAR. 60 ML x 1, MSD
78925, CORDAPTIVE , CORDAPTIVE, NOT FOUND, CPR 1 G x 14 (/20), MSD
78923, CORDAPTIVE , CORDAPTIVE, NOT FOUND, CPR 1 G x 28 (/20), MSD
78924, CORDAPTIVE , CORDAPTIVE, NOT FOUND, CPR 1 G x 56 (/20), MSD
46428, CO-RENITEC , CO RENITEC, NOT FOUND, CPR 12.5 MG x 30 (/20), MSD
49991, CO-RENITEC , CO RENITEC, NOT FOUND, CPR 25 MG x 30 (/10), MSD
80118, COSOPT , COSOPT, NOT FOUND, COLIRIO 10 ML x 1, MSD
54410, COSOPT , COSOPT, NOT FOUND, COLIRIO 5 ML x 1, MSD
51245, CRIXIVAN , CRIXIVAN, NOT FOUND, CAPS 400 MG x 180, MSD
48100, CRONOMET , CRONOMET, NOT FOUND, CPR x 20, MSD
