526532502111313; GILENYA; GILENYA; NOT FOUND; 0.5 MG CAP GEL DURA CT BL AL PLAS INC X 14; NVR
526532501115315; GILENYA; GILENYA; NOT FOUND; 0.5 MG CAP GEL DURA CT BL AL PLAS INC X 28; NVR
526532503118311; GILENYA; GILENYA; NOT FOUND; 0.5 MG CAP GEL DURA CT BL AL PLAS INC X 84; NVR
526529902112317; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 1000 MG COM REV CT BL AL/AL X 56; NVR
526529905111311; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 1000 MG COM REV CT BL AL/AL X 7; NVR
526529907114318; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 1000 MG COM REV CT BL AL/AL X 14; NVR
526529908110316; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 500 MG COM REV CT BL AL/AL X 14; NVR
526529901116319; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 500 MG COM REV CT BL AL/AL X 56; NVR
526529904115313; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 500 MG COM REV CT BL AL/AL X 7; NVR
526529909117314; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 850 MG COM REV CT BL AL/AL X 14; NVR
526529903119315; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 850 MG COM REV CT BL AL/AL X 56; NVR
526529906118311; GALVUS MET; GALVUS MET; NOT FOUND; 50 MG + 850 MG COM REV CT BL AL/AL X 7; NVR
526506901179419; GENTEAL; GENTEAL; NOT FOUND; 3 MG/ML COL OFT FR PLAS OPC GOT X 10 ML; NVR
526507102113210; GLIVEC; GLIVEC; NOT FOUND; 100 MG COM REV CT BL AL PVC/PE/PVDC X 60; NVR
526507103111211; GLIVEC; GLIVEC; NOT FOUND; 400 MG COM REV CT BL AL PVC/PE/PVDC X 30; NVR
526507104116314; GLIVEC; GLIVEC; NOT FOUND; 400 MG COM REV CT BL AL/AL X 30; NVR
526507201111410; GLYVENOL; GLYVENOL; NOT FOUND; 200 MG DRG CT BL AL PLAS INC X 40; NVR
526528904111212; GALVUS; GALVUS; NOT FOUND; 50 MG COM CT BL AL/AL X 14; NVR
526528901112315; GALVUS; GALVUS; NOT FOUND; 50 MG COM CT BL AL/AL X 28; NVR
526528903115311; GALVUS; GALVUS; NOT FOUND; 50 MG COM CT BL AL/AL X 56; NVR
526528905118210; GALVUS; GALVUS; NOT FOUND; 50 MG COM CT BL AL/AL X 07; NVR
