526512120076503; VACINA INFLUENZA (SUBUNITÁRIA, INATIVADA); VACINA INFLUENZA SUBUNITARIA INATIVADA; NOT FOUND; SUS INJ CT 10 SER PREENC VD INC X 0.5 ML; NVR
526512120076603; VACINA INFLUENZA (INATIVADA, SUBUNITÁRIA, ADJUVADA); VACINA INFLUENZA INATIVADA SUBUNITARIA ADJUVADA; NOT FOUND; SUS INJ CT 10 SER VD INC PREENCH X 0.5 ML; NVR
526516201110413; VISKALDIX; VISKALDIX; NOT FOUND; 10 MG + 5 MG COM CT 2 BL AL PLAS INC X 10; NVR
526516508119314; VOLTAREN; VOLTAREN; NOT FOUND; 100 MG COM DESINT LENTA CT BL AL PLAS INC X 10; NVR
526516501157318; VOLTAREN; VOLTAREN; NOT FOUND; 25 MG/ML SOL INJ CT 5 AMP VD INC X 3 ML; NVR
526516502153316; VOLTAREN; VOLTAREN; NOT FOUND; 25 MG/ML SOL INJ CT 50 AMP VD INC X 3 ML (EMB HOSP); NVR
526516503117313; VOLTAREN; VOLTAREN; NOT FOUND; 50 MG COM REV CT BL AL PLAS INC X 20 ; NVR
526516504148311; VOLTAREN; VOLTAREN; NOT FOUND; 50 MG SUP RET CT STR X 5; NVR
526516509115312; VOLTAREN; VOLTAREN; NOT FOUND; 75 MG COM DESINT LENTA CT 2 BL AL PLAS INC X 10; NVR
526514030078903; VACINA MENINGOCÓCICA ACWY (CONJUGADA); VACINA MENINGOCOCICA ACWY CONJUGADA; VACINA MENINGOCOCICA ACWY CONJUGADA; 10 MCG PO LIOF SOL INJ X 1 DOSE CT FA VD TRANS + 5-5-5 MCG SOL INJ FA VD TRANS X 0.6 ML; NVR
526514030079003; VACINA MENINGOCÓCICA ACWY (CONJUGADA); VACINA MENINGOCOCICA ACWY CONJUGADA; VACINA MENINGOCOCICA ACWY CONJUGADA; 10 MCG PO LIOF SOL INJ X 5 DOSE CT 5 FA VD TRANS + 5-5-5 MCG SOL INJ 5 FA VD TRANS X 0.6 ML; NVR
526532401153411; VACINA MENINGOCÓCICA ACWY (CONJUGADA); VACINA MENINGOCOCICA ACWY CONJUGADA; VACINA MENINGOCOCICA ACWY CONJUGADA; 10 MCG PO LIOF FA VD INC + 5-5-5 MCG SOL INJ SER PREENCH VD INC X 0.6 ML; NVR
526516301115417; VISKEN; VISKEN; NOT FOUND; 10 MG COM CT 2 BL AL PLAS INC X 10; NVR
526516302111415; VISKEN; VISKEN; NOT FOUND; 5 MG COM CT 2 BL AL PLAS INC X 10; NVR
526515902115413; VENORUTON; VENORUTON; NOT FOUND; 300 MG CAP GEL DURA CT 2 BL AL PLAS  INC X 10; NVR
526515903111411; VENORUTON; VENORUTON; NOT FOUND; 500 MG COM REV CT 2 BL AL PLAS INC X 10; NVR
526531501154411; VACINA ADSORVIDA MENINGOCÓCICA C (CONJUGADA - CRM197); VACINA ADSORVIDA MENINGOCOCICA C CONJUGADA CRM197; NOT FOUND; 10 MCG PO LIOF INJ CT FA VD INC + SER PREENC X 0.6 ML; NVR
526531901152317; VACINA INFLUENZA (SUBUNITÁRIA, INATIVADA); VACINA INFLUENZA SUBUNITARIA INATIVADA; NOT FOUND; SUS INJ CT 1 SER PREENCH VD INC X 0.5 ML; NVR
526532201154412; VACINA INFLUENZA (INATIVADA, SUBUNITÁRIA, ADJUVADA); VACINA INFLUENZA INATIVADA SUBUNITARIA ADJUVADA; NOT FOUND; SUS INJ CT 1 SER VD INC PREENCH X 0.5 ML; NVR
526516402175210; VISUDYNE; VISUDYNE; NOT FOUND; 15 MG PO LIOF CT FA VD INC X 826 MG; NVR
526516101175416; VISCOTEARS; VISCOTEARS; NOT FOUND; 2.0 MG/G GEL OFT CT TB LAM X 10 G; NVR
