538912120020914, UROGRAFINA, UROGRAFINA, NOT FOUND, 60 % SOL INJ CT FA VD INC X 100 ML + EQUIPO, BYP
538913020021503, UROGRAFINA, UROGRAFINA, NOT FOUND, 60 % SOL INJ CT FA VD INC X 100 ML, BYP
538912120020814, UROGRAFINA, UROGRAFINA, NOT FOUND, 60 % SOL INJ CT FA VD INC X 50 ML, BYP
538912080018714, ULTRAPROCT LDO, ULTRAPROCT LDO, NOT FOUND, 1MG/G + 20 MG/G CREM RET CT BG AL X 30 G + APLIC , BYP
538912080018814, ULTRAPROCT LDO, ULTRAPROCT LDO, NOT FOUND, 1 MG + 40MG SUP RET CT STR AL X 10, BYP
538912120020214, ULTRAVIST, ULTRAVIST, NOT FOUND, 623.40 MG/ML SOL INJ CX 10 FA VD INC X 100 ML , BYP
538912120020014, ULTRAVIST, ULTRAVIST, NOT FOUND, 623.40 MG/ML SOL INJ CX 10 FA VD INC X 20 ML , BYP
538912120020314, ULTRAVIST, ULTRAVIST, NOT FOUND, 623.40 MG/ML SOL INJ CX 10 FA VD INC X 200 ML , BYP
538912120020114, ULTRAVIST, ULTRAVIST, NOT FOUND, 623.40 MG/ML SOL INJ CX 10 FA VD INC X 50 ML , BYP
538912120020414, ULTRAVIST, ULTRAVIST, NOT FOUND, 623.40 MG/ML SOL INJ CT FA VD INC X 500 ML , BYP
538912120020614, ULTRAVIST, ULTRAVIST, NOT FOUND, 768.86 MG/ML SOL INJ CX 10 FA VD INC X 100 ML , BYP
538912120020714, ULTRAVIST, ULTRAVIST, NOT FOUND, 768.86 MG/ML SOL INJ CX 10 FA VD INC X 200 ML  , BYP
538912120020514, ULTRAVIST, ULTRAVIST, NOT FOUND, 768.86 MG/ML SOL INJ CX 10 FA VD INC X 50 ML , BYP
